"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","918.11","919.50","919.75","917.45","","-0.16%"
"05/27/2024","919.58","916.42","920.40","914.96","","0.29%"
"05/24/2024","916.94","911.40","917.70","907.25","11.31K","0.09%"
"05/23/2024","916.13","916.70","920.75","908.35","11.19K","0.37%"
"05/22/2024","912.76","914.55","914.55","908.25","7.42K","-0.11%"
"05/21/2024","913.79","915.15","915.15","910.70","8.56K","-0.38%"
"05/20/2024","917.31","917.05","918.05","914.90","7.54K","0.19%"
"05/17/2024","915.57","912.40","917.15","910.55","14.31K","-0.05%"
"05/16/2024","916.04","915.55","916.65","911.95","11.31K","0.25%"
"05/15/2024","913.71","913.15","916.00","909.55","8.89K","0.32%"
"05/14/2024","910.77","911.10","913.40","909.30","13.11K","-0.16%"
"05/13/2024","912.19","912.05","913.70","910.60","4.25K","0.14%"
"05/10/2024","910.91","904.90","912.50","904.60","0.97K","0.71%"
"05/09/2024","904.46","899.70","905.40","899.50","1.67K","0.61%"
"05/08/2024","898.96","900.85","900.85","898.65","0.03K","-0.06%"
"05/07/2024","899.49","895.60","900.60","894.95","0.02K","1.02%"
"05/06/2024","890.44","892.05","892.70","890.50","0.01K","0.41%"
"05/03/2024","886.77","881.95","887.50","881.95","0.02K","0.98%"
"05/02/2024","878.20","875.00","879.35","875.00","0.01K","0.04%"
"04/30/2024","877.85","878.15","878.15","876.40","0.00K","-0.39%"
"04/29/2024","881.31","886.75","886.75","882.80","0.00K","0.00%"
"04/26/2024","881.33","876.85","883.35","876.60","0.01K","1.49%"
"04/25/2024","868.38","872.85","872.85","862.95","0.01K","-0.47%"
"04/24/2024","872.51","880.00","880.72","871.67","0.06K","0.13%"
"04/23/2024","871.36","869.40","870.15","869.40","0.00K","0.97%"
"04/22/2024","863.03","863.70","868.00","863.70","0.00K","0.74%"
"04/19/2024","856.69","857.00","857.00","857.00","0.00K","-0.60%"
"04/18/2024","861.85","862.28","862.95","861.65","0.05K","-0.04%"
"04/17/2024","862.16","865.95","871.20","861.00","0.01K","-1.08%"
"04/16/2024","871.61","869.78","872.05","869.00","0.01K","-1.07%"
"04/15/2024","881.05","886.60","886.60","886.60","0.00K","0.06%"
"04/12/2024","880.48","889.60","895.00","877.02","","-0.01%"
"04/11/2024","880.54","879.15","879.20","879.15","0.01K","-0.35%"
"04/10/2024","883.67","885.55","891.88","879.45","","0.62%"
"04/09/2024","878.21","883.85","889.36","879.55","","-0.45%"
"04/08/2024","882.17","880.40","880.40","880.40","0.01K","0.46%"
"04/05/2024","878.09","875.88","884.28","874.12","","-0.41%"
"04/04/2024","881.67","884.52","887.67","873.70","","-0.01%"
"04/03/2024","881.77","881.75","881.75","881.75","0.00K","0.29%"
"04/02/2024","879.25","886.85","893.86","881.38","","-0.08%"
