"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","0.6679","0.6656","0.6679","0.6654","","0.41%"
"05/27/2024","0.6651","0.6625","0.6661","0.6621","","0.36%"
"05/24/2024","0.6627","0.6605","0.6638","0.6591","","0.32%"
"05/23/2024","0.6606","0.6619","0.6654","0.6597","","-0.18%"
"05/22/2024","0.6618","0.6665","0.6686","0.6607","","-0.69%"
"05/21/2024","0.6664","0.6668","0.6680","0.6646","","-0.04%"
"05/20/2024","0.6667","0.6693","0.6711","0.6661","","-0.37%"
"05/17/2024","0.6692","0.6679","0.6701","0.6647","","0.15%"
"05/16/2024","0.6682","0.6700","0.6715","0.6654","","-0.27%"
"05/15/2024","0.6700","0.6624","0.6702","0.6623","","1.16%"
"05/14/2024","0.6623","0.6609","0.6629","0.6579","","0.24%"
"05/13/2024","0.6607","0.6602","0.6630","0.6585","","0.07%"
"05/10/2024","0.6603","0.6618","0.6623","0.6596","","-0.22%"
"05/09/2024","0.6617","0.6578","0.6623","0.6565","","0.60%"
"05/08/2024","0.6578","0.6589","0.6594","0.6557","","-0.28%"
"05/07/2024","0.6596","0.6621","0.6646","0.6586","","-0.42%"
"05/06/2024","0.6624","0.6626","0.6640","0.6604","","0.24%"
"05/03/2024","0.6608","0.6564","0.6649","0.6561","","0.69%"
"05/02/2024","0.6563","0.6523","0.6574","0.6514","","0.61%"
"05/01/2024","0.6523","0.6473","0.6540","0.6464","","0.79%"
"04/30/2024","0.6472","0.6563","0.6568","0.6471","","-1.43%"
"04/29/2024","0.6566","0.6533","0.6587","0.6521","","0.51%"
"04/26/2024","0.6533","0.6518","0.6556","0.6517","","0.25%"
"04/25/2024","0.6517","0.6496","0.6539","0.6485","","0.31%"
"04/24/2024","0.6497","0.6487","0.6531","0.6482","","0.19%"
"04/23/2024","0.6485","0.6449","0.6492","0.6441","","0.56%"
"04/22/2024","0.6449","0.6410","0.6457","0.6409","","0.50%"
"04/19/2024","0.6417","0.6423","0.6434","0.6362","","-0.05%"
"04/18/2024","0.6420","0.6438","0.6457","0.6416","","-0.22%"
"04/17/2024","0.6434","0.6403","0.6447","0.6399","","0.52%"
"04/16/2024","0.6401","0.6440","0.6446","0.6389","","-0.62%"
"04/15/2024","0.6441","0.6465","0.6495","0.6437","","-0.34%"
"04/12/2024","0.6463","0.6538","0.6544","0.6456","","-1.12%"
"04/11/2024","0.6536","0.6511","0.6554","0.6501","","0.40%"
"04/10/2024","0.6510","0.6630","0.6633","0.6498","","-1.77%"
"04/09/2024","0.6627","0.6604","0.6646","0.6597","","0.36%"
"04/08/2024","0.6603","0.6579","0.6611","0.6558","","0.38%"
"04/05/2024","0.6578","0.6589","0.6593","0.6549","","-0.14%"
"04/04/2024","0.6587","0.6564","0.6621","0.6561","","0.37%"
"04/03/2024","0.6563","0.6514","0.6571","0.6502","","0.71%"
"04/02/2024","0.6517","0.6489","0.6525","0.6482","","0.45%"
"04/01/2024","0.6488","0.6521","0.6540","0.6480","","-0.51%"
"03/29/2024","0.6521","0.6516","0.6535","0.6504","","0.09%"
"03/28/2024","0.6515","0.6535","0.6542","0.6485","","-0.28%"
"03/27/2024","0.6533","0.6533","0.6540","0.6510","","0.02%"
"03/26/2024","0.6532","0.6539","0.6561","0.6529","","-0.11%"
"03/25/2024","0.6539","0.6522","0.6547","0.6508","","0.38%"
"03/22/2024","0.6514","0.6570","0.6581","0.6510","","-0.84%"
"03/21/2024","0.6569","0.6586","0.6636","0.6561","","-0.24%"
"03/20/2024","0.6585","0.6533","0.6589","0.6510","","0.86%"
"03/19/2024","0.6529","0.6559","0.6565","0.6503","","-0.46%"
"03/18/2024","0.6559","0.6562","0.6575","0.6550","","-0.02%"
