"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","51,435.00","50,459.10","51,870.00","50,455.20","5.85M","1.98%"
"06/18/2024","50,434.95","50,168.40","50,449.00","49,994.85","1.98M","0.78%"
"06/14/2024","50,042.40","50,000.00","50,175.00","49,750.00","1.70M","0.26%"
"06/13/2024","49,912.65","50,101.00","50,155.80","49,850.40","1.42M","0.00%"
"06/12/2024","49,914.95","49,791.95","50,289.95","49,739.80","2.89M","0.29%"
"06/11/2024","49,768.75","49,639.90","50,080.00","49,572.00","2.24M","0.07%"
"06/10/2024","49,732.20","49,995.50","50,289.75","49,616.90","2.69M","-0.35%"
"06/07/2024","49,908.95","49,130.00","50,025.00","48,547.00","3.42M","0.96%"
"06/06/2024","49,435.75","49,335.30","49,751.50","49,060.00","3.53M","0.65%"
"06/05/2024","49,117.65","47,400.00","49,473.75","46,781.70","8.19M","4.31%"
"06/04/2024","47,088.55","50,800.00","51,098.00","46,184.95","10.29M","-8.18%"
"06/03/2024","51,283.05","50,606.05","51,486.00","50,352.00","4.36M","3.91%"
"05/31/2024","49,352.35","49,200.00","49,444.00","48,850.25","3.32M","0.64%"
"05/30/2024","49,037.40","48,990.00","49,480.00","48,810.00","3.53M","1.11%"
"05/29/2024","48,501.35","48,948.90","49,054.65","48,423.80","2.71M","-1.39%"
"05/28/2024","49,182.80","49,400.00","49,537.40","49,106.30","1.94M","-0.23%"
"05/27/2024","49,297.50","49,124.00","49,840.00","49,050.00","2.38M","0.51%"
"05/24/2024","49,045.15","48,838.65","49,115.90","48,702.05","2.20M","0.42%"
"05/23/2024","48,838.65","48,055.30","48,924.45","48,000.00","3.34M","1.80%"
"05/22/2024","47,974.10","48,190.00","48,193.00","47,611.10","3.59M","-0.37%"
"05/21/2024","48,153.10","48,174.10","48,420.00","48,054.00","1.85M","-0.28%"
"05/18/2024","48,288.10","48,299.00","48,300.05","48,163.55","193.10K","0.19%"
"05/17/2024","48,195.10","48,140.05","48,348.00","47,930.00","1.72M","0.21%"
"05/16/2024","48,092.35","48,047.90","48,175.00","47,063.65","3.31M","0.38%"
"05/15/2024","47,908.55","48,091.65","48,145.15","47,731.00","1.98M","-0.38%"
"05/14/2024","48,091.65","48,075.00","48,225.00","47,825.10","1.73M","0.18%"
"05/13/2024","48,003.70","47,600.00","48,075.00","47,200.00","2.84M","0.82%"
"05/10/2024","47,612.40","47,706.00","48,088.00","47,487.55","2.03M","-0.12%"
"05/09/2024","47,669.20","48,235.00","48,367.25","47,636.00","2.46M","-1.14%"
"05/08/2024","48,221.00","48,255.30","48,345.00","48,019.95","2.41M","-0.23%"
"05/07/2024","48,331.00","49,079.95","49,098.75","48,294.85","2.62M","-1.46%"
"05/06/2024","49,045.65","49,240.00","49,420.00","48,885.00","2.24M","-0.10%"
"05/03/2024","49,094.75","49,506.05","49,650.00","48,870.00","2.83M","-0.59%"
"05/02/2024","49,388.35","49,300.20","49,588.00","49,170.85","1.67M","-0.13%"
"04/30/2024","49,450.55","49,600.00","49,927.45","49,380.00","3.45M","-0.20%"
"04/29/2024","49,549.75","48,555.00","49,581.45","48,497.50","3.29M","2.22%"
"04/26/2024","48,475.05","48,660.00","48,798.90","48,265.15","1.82M","-0.32%"
"04/25/2024","48,632.40","48,005.40","48,732.60","47,999.90","2.20M","0.92%"
"04/24/2024","48,189.00","48,102.10","48,236.70","48,000.00","1.57M","0.41%"
"04/23/2024","47,991.65","48,175.55","48,175.55","47,895.05","1.52M","0.01%"
"04/22/2024","47,989.10","47,990.00","48,037.85","47,596.45","2.29M","0.87%"
"04/19/2024","47,575.60","46,865.00","47,682.35","46,611.20","2.76M","0.85%"
"04/18/2024","47,175.05","47,750.00","47,953.85","47,040.00","2.75M","-1.12%"
"04/16/2024","47,711.00","47,600.05","47,734.90","47,431.80","1.84M","-0.29%"
"04/15/2024","47,851.15","47,573.75","48,449.85","47,573.75","2.32M","-1.77%"
"04/12/2024","48,714.10","48,751.00","48,914.75","48,666.10","1.79M","-0.62%"
"04/10/2024","49,019.05","48,901.10","49,086.00","48,760.05","1.89M","0.45%"
"04/09/2024","48,799.85","48,857.00","49,074.95","48,622.05","1.93M","0.22%"
"04/08/2024","48,691.15","48,705.10","48,847.00","48,567.05","1.41M","0.07%"
"04/05/2024","48,658.10","48,170.00","48,725.00","48,014.05","2.29M","0.95%"
"04/04/2024","48,199.10","48,185.00","48,323.50","47,920.00","2.54M","0.60%"
"04/03/2024","47,912.30","47,699.00","47,967.00","47,580.00","1.87M","0.04%"
"04/02/2024","47,892.90","47,805.40","48,051.00","47,750.15","1.60M","-0.04%"
"04/01/2024","47,913.70","47,702.95","47,947.25","47,647.65","2.96M","0.78%"
"03/28/2024","47,545.15","47,549.50","47,763.00","47,264.80","3.05M","1.62%"
"03/27/2024","46,785.95","46,708.30","46,960.90","46,649.05","2.11M","0.15%"
"03/26/2024","46,717.55","46,805.40","46,878.10","46,610.30","1.72M","-0.45%"
"03/22/2024","46,929.00","46,719.70","47,075.00","46,610.00","2.09M","0.29%"
"03/21/2024","46,794.65","46,726.25","47,142.00","46,629.85","2.48M","0.74%"
"03/20/2024","46,449.05","46,475.00","46,789.55","46,002.00","3.47M","0.00%"
"03/19/2024","46,449.05","46,679.55","46,777.00","46,364.00","1.87M","-0.63%"
"03/18/2024","46,741.60","46,649.95","46,900.00","46,210.00","2.38M","0.10%"
"03/15/2024","46,694.70","46,825.00","46,987.20","46,440.25","2.77M","-0.64%"
"03/14/2024","46,996.15","47,000.00","47,447.00","46,791.00","2.65M","-0.18%"
"03/13/2024","47,081.35","47,600.00","47,684.30","46,947.55","3.10M","-0.94%"
"03/12/2024","47,527.25","47,499.90","48,034.00","47,162.55","3.86M","0.08%"
"03/11/2024","47,489.85","47,898.00","47,978.40","47,403.30","2.32M","-0.98%"
"03/07/2024","47,958.30","48,200.00","48,202.35","47,880.30","2.10M","-0.33%"
"03/06/2024","48,117.45","47,705.30","48,344.95","47,705.30","3.89M","0.43%"
"03/05/2024","47,909.05","47,535.05","48,048.20","47,487.00","2.33M","0.46%"
"03/04/2024","47,691.25","47,625.00","47,780.00","47,424.10","2.08M","0.06%"
"03/02/2024","47,665.00","47,642.00","47,675.00","47,512.00","391.67K","0.18%"
"03/01/2024","47,578.00","46,675.00","47,637.40","46,629.80","3.51M","2.07%"
"02/29/2024","46,613.35","45,787.55","46,613.35","45,635.10","2.95M","1.66%"
"02/28/2024","45,852.25","46,602.05","46,767.10","45,772.75","3.49M","-1.60%"
"02/27/2024","46,596.00","46,536.60","46,744.50","46,317.75","2.34M","-0.03%"
"02/26/2024","46,607.70","46,694.70","46,934.60","46,526.00","2.47M","-0.50%"
"02/23/2024","46,842.65","47,100.00","47,399.00","46,764.55","3.05M","-0.29%"
"02/22/2024","46,980.30","46,999.90","47,089.00","46,506.00","3.24M","-0.09%"
"02/21/2024","47,024.85","47,400.05","47,400.05","46,900.85","3.35M","-0.35%"
"02/20/2024","47,188.00","46,648.00","47,225.20","46,464.35","2.89M","1.18%"
"02/19/2024","46,638.90","46,599.00","46,885.00","46,403.00","2.30M","0.29%"
"02/16/2024","46,503.40","46,580.00","46,885.75","46,350.00","2.61M","0.26%"
"02/15/2024","46,385.05","46,250.00","46,465.25","45,678.90","3.28M","0.64%"
"02/14/2024","46,089.95","45,199.95","46,350.00","45,021.10","5.76M","0.78%"
"02/13/2024","45,732.50","45,205.35","46,012.00","45,011.30","4.48M","1.42%"
"02/12/2024","45,090.85","45,949.90","45,999.90","44,803.75","3.34M","-1.76%"
"02/09/2024","45,899.55","45,179.85","45,975.00","45,110.15","3.30M","1.52%"
"02/08/2024","45,212.45","46,276.25","46,475.70","45,053.20","4.06M","-1.99%"
"02/07/2024","46,131.90","46,201.05","46,296.00","45,901.00","2.71M","0.35%"
"02/06/2024","45,971.00","45,959.55","46,165.00","45,740.00","2.53M","-0.15%"
