"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","3,533.40","3,533.80","3,549.20","3,526.40","52.59K","0.12%"
"06/17/2024","3,529.20","3,515.20","3,536.60","3,514.60","49.88K","-0.10%"
"06/14/2024","3,532.80","3,512.60","3,540.20","3,498.00","58.88K","0.58%"
"06/13/2024","3,512.60","3,536.80","3,542.60","3,507.40","47.30K","-0.63%"
"06/12/2024","3,535.00","3,533.40","3,541.60","3,521.20","42.34K","-0.03%"
"06/11/2024","3,536.20","3,548.00","3,554.40","3,517.60","54.31K","-0.65%"
"06/07/2024","3,559.40","3,595.00","3,598.40","3,539.00","66.75K","-0.66%"
"06/06/2024","3,583.20","3,598.00","3,618.40","3,570.60","66.36K","-0.11%"
"06/05/2024","3,587.20","3,593.00","3,609.80","3,583.00","44.89K","-0.38%"
"06/04/2024","3,601.00","3,570.20","3,611.80","3,565.80","58.08K","1.02%"
"06/03/2024","3,564.60","3,570.00","3,587.60","3,552.80","59.65K","-0.26%"
"05/31/2024","3,574.00","3,596.00","3,606.80","3,568.80","51.59K","-0.25%"
"05/30/2024","3,582.80","3,590.00","3,614.80","3,576.60","57.09K","-0.41%"
"05/29/2024","3,597.60","3,598.20","3,623.00","3,588.80","53.32K","0.13%"
"05/28/2024","3,593.00","3,612.80","3,621.80","3,587.00","48.80K","-0.55%"
"05/27/2024","3,612.80","3,598.60","3,619.40","3,588.60","51.76K","0.47%"
"05/24/2024","3,596.00","3,618.80","3,637.60","3,586.00","61.13K","-0.79%"
"05/23/2024","3,624.60","3,654.20","3,655.00","3,615.00","63.50K","-1.26%"
"05/22/2024","3,670.80","3,662.20","3,677.00","3,653.80","50.56K","0.40%"
"05/21/2024","3,656.20","3,663.40","3,674.00","3,649.00","46.78K","-0.48%"
"05/20/2024","3,674.00","3,676.20","3,695.60","3,662.00","64.29K","0.73%"
"05/17/2024","3,647.20","3,642.00","3,652.80","3,626.60","14.44K","0.22%"
"05/16/2024","3,639.20","3,636.80","3,657.40","3,626.60","29.24K","0.26%"
"05/15/2024","3,629.80","3,650.00","3,656.60","3,622.20","33.46K","-0.67%"
"05/14/2024","3,654.40","3,666.80","3,678.00","3,644.20","37.33K","-0.22%"
"05/13/2024","3,662.40","3,645.00","3,673.80","3,618.00","43.59K","-0.02%"
"05/10/2024","3,663.20","3,670.40","3,681.00","3,637.60","43.71K","0.01%"
"05/09/2024","3,663.00","3,635.00","3,673.00","3,631.20","38.08K","0.90%"
"05/08/2024","3,630.20","3,654.00","3,654.00","3,626.40","33.02K","-0.78%"
"05/07/2024","3,658.80","3,656.00","3,666.20","3,648.20","32.72K","0.01%"
"05/06/2024","3,658.40","3,666.00","3,678.80","3,647.60","47.58K","1.17%"
"04/30/2024","3,616.00","3,638.40","3,638.40","3,608.20","39.06K","-0.53%"
"04/29/2024","3,635.20","3,594.00","3,656.40","3,587.80","59.29K","1.29%"
"04/26/2024","3,589.00","3,544.40","3,597.20","3,543.80","61.87K","1.69%"
"04/25/2024","3,529.40","3,514.20","3,549.80","3,505.00","48.01K","0.26%"
"04/24/2024","3,520.40","3,519.00","3,530.00","3,497.40","41.59K","0.32%"
"04/23/2024","3,509.00","3,535.20","3,541.20","3,501.60","46.89K","-0.74%"
"04/22/2024","3,535.20","3,544.80","3,565.40","3,527.20","46.89K","-0.14%"
"04/19/2024","3,540.00","3,559.00","3,564.60","3,529.00","17.10K","-1.06%"
"04/18/2024","3,577.80","3,552.20","3,607.20","3,552.20","41.97K","0.51%"
"04/17/2024","3,559.60","3,520.40","3,570.00","3,501.20","57.74K","1.20%"
"04/16/2024","3,517.40","3,534.00","3,546.20","3,500.80","62.52K","-0.53%"
"04/15/2024","3,536.00","3,479.60","3,559.80","3,477.20","71.89K","1.62%"
"04/12/2024","3,479.60","3,506.00","3,518.00","3,465.20","48.35K","-0.71%"
"04/11/2024","3,504.40","3,490.20","3,527.20","3,485.40","49.92K","-0.01%"
"04/10/2024","3,504.60","3,529.60","3,535.20","3,489.80","51.31K","-0.86%"
"04/09/2024","3,535.00","3,546.00","3,549.00","3,523.60","42.86K","-0.21%"
"04/08/2024","3,542.40","3,558.20","3,570.40","3,536.20","50.58K","-0.88%"
"04/03/2024","3,573.80","3,589.00","3,590.00","3,564.00","40.03K","-0.30%"
"04/02/2024","3,584.60","3,595.40","3,604.80","3,577.20","42.44K","-0.39%"
"04/01/2024","3,598.60","3,555.60","3,612.80","3,555.60","52.28K","1.79%"
"03/29/2024","3,535.40","3,520.40","3,544.80","3,518.20","45.78K","0.29%"
"03/28/2024","3,525.20","3,508.60","3,559.60","3,492.20","67.42K","0.01%"
"03/27/2024","3,524.80","3,536.00","3,547.20","3,504.60","55.56K","-0.58%"
"03/26/2024","3,545.40","3,538.20","3,553.60","3,524.60","53.58K","0.24%"
"03/25/2024","3,536.80","3,535.00","3,566.00","3,522.60","54.64K","-0.21%"
"03/22/2024","3,544.20","3,582.40","3,582.40","3,521.00","68.03K","-1.28%"
"03/21/2024","3,590.00","3,595.60","3,609.20","3,579.80","49.23K","0.07%"
"03/20/2024","3,587.40","3,580.00","3,596.40","3,572.00","51.05K","0.06%"
"03/19/2024","3,585.20","3,597.60","3,615.00","3,578.20","49.20K","-0.45%"
"03/18/2024","3,601.40","3,578.00","3,608.00","3,574.00","53.80K","1.33%"
"03/15/2024","3,554.20","3,560.20","3,569.20","3,536.00","25.26K","-0.21%"
"03/14/2024","3,561.60","3,582.00","3,602.40","3,550.00","46.62K","-0.53%"
"03/13/2024","3,580.60","3,594.00","3,599.60","3,567.60","53.16K","-0.50%"
"03/12/2024","3,598.60","3,594.20","3,611.80","3,580.00","64.79K","0.56%"
"03/11/2024","3,578.60","3,540.00","3,591.80","3,537.20","65.94K","1.08%"
