"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","12,243.0","12,236.0","12,276.0","12,176.0","","0.20%"
"06/18/2024","12,218.0","12,235.0","12,269.0","12,155.0","144.47K","-0.16%"
"06/17/2024","12,238.0","12,250.0","12,272.0","12,149.0","203.49K","-0.11%"
"06/14/2024","12,252.0","12,160.0","12,296.0","12,053.0","329.43K","0.76%"
"06/13/2024","12,160.0","12,198.0","12,265.0","12,137.0","173.63K","-0.34%"
"06/12/2024","12,202.0","12,197.0","12,254.0","12,173.0","164.02K","0.02%"
"06/11/2024","12,200.0","12,380.0","12,392.0","12,164.0","236.83K","-1.46%"
"06/10/2024","12,381.0","12,389.0","12,415.0","12,346.0","61.14K","-0.12%"
"06/07/2024","12,396.0","12,531.0","12,564.0","12,331.0","247.73K","-1.10%"
"06/06/2024","12,534.0","12,494.0","12,629.0","12,482.0","227.58K","0.34%"
"06/05/2024","12,491.0","12,507.0","12,590.0","12,481.0","175.00K","-0.17%"
"06/04/2024","12,512.0","12,454.0","12,587.0","12,396.0","196.88K","0.48%"
"06/03/2024","12,452.0","12,368.0","12,515.0","12,352.0","270.99K","0.73%"
"05/31/2024","12,362.0","12,442.0","12,558.0","12,362.0","251.84K","-1.23%"
"05/30/2024","12,516.0","12,621.0","12,664.0","12,484.0","102.31K","-0.83%"
"05/29/2024","12,621.0","12,585.0","12,714.0","12,561.0","324.14K","0.21%"
"05/28/2024","12,594.0","12,661.0","12,704.0","12,583.0","462.07K","-0.51%"
"05/27/2024","12,658.0","12,548.0","12,679.0","12,544.0","258.03K","0.91%"
"05/24/2024","12,544.0","12,722.0","12,743.0","12,542.0","315.89K","-1.38%"
"05/23/2024","12,719.0","12,849.0","12,849.0","12,705.0","215.56K","-1.00%"
"05/22/2024","12,848.0","12,826.0","12,882.0","12,781.0","169.51K","0.15%"
"05/21/2024","12,829.0","12,884.0","12,885.0","12,786.0","187.32K","-0.45%"
"05/20/2024","12,887.0","12,871.0","12,959.0","12,840.0","279.76K","0.12%"
"05/17/2024","12,871.0","12,636.0","12,879.0","12,633.0","285.34K","1.87%"
"05/16/2024","12,635.0","12,567.0","12,712.0","12,530.0","249.68K","0.59%"
"05/15/2024","12,561.0","12,630.0","12,672.0","12,555.0","169.78K","-0.56%"
"05/14/2024","12,632.0","12,657.0","12,699.0","12,580.0","185.55K","-0.22%"
"05/13/2024","12,660.0","12,720.0","12,751.0","12,567.0","217.35K","-0.47%"
"05/10/2024","12,720.0","12,714.0","12,796.0","12,647.0","209.79K","0.05%"
"05/09/2024","12,714.0","12,670.0","12,753.0","12,629.0","162.55K","0.31%"
"05/08/2024","12,675.0","12,755.0","12,772.0","12,662.0","163.13K","-0.65%"
"05/07/2024","12,758.0","12,756.0","12,794.0","12,682.0","192.82K","0.01%"
"05/06/2024","12,757.0","12,757.0","12,842.0","12,694.0","300.07K","-0.05%"
"05/03/2024","12,763.0","12,676.0","12,805.0","12,644.0","103.92K","0.73%"
"05/02/2024","12,671.0","12,493.0","12,720.0","12,473.0","119.02K","1.40%"
"05/01/2024","12,496.0","12,556.0","12,556.0","12,420.0","71.88K","-0.50%"
"04/30/2024","12,559.0","12,570.0","12,677.0","12,540.0","236.98K","0.19%"
"04/29/2024","12,535.0","12,473.0","12,689.0","12,407.0","61.06K","0.42%"
"04/26/2024","12,483.0","12,322.0","12,502.0","12,261.0","325.22K","1.28%"
"04/25/2024","12,325.0","12,240.0","12,328.0","12,184.0","324.35K","0.69%"
"04/24/2024","12,240.0","12,215.0","12,333.0","12,177.0","284.88K","0.20%"
"04/23/2024","12,216.0","12,210.0","12,264.0","12,125.0","203.04K","0.07%"
"04/22/2024","12,207.0","12,194.0","12,339.0","12,189.0","223.93K","0.13%"
"04/19/2024","12,191.0","12,302.0","12,313.0","12,149.0","232.11K","-0.92%"
"04/18/2024","12,304.0","12,275.0","12,429.0","12,206.0","266.24K","0.24%"
