"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2024","6,680.0","6,605.0","6,699.0","6,565.0","201.06K","1.21%"
"05/24/2024","6,600.0","6,720.0","6,742.0","6,577.0","169.25K","-1.86%"
"05/23/2024","6,725.0","6,818.0","6,829.0","6,662.0","141.30K","-2.18%"
"05/22/2024","6,875.0","6,814.0","6,890.0","6,798.0","105.04K","1.10%"
"05/21/2024","6,800.0","6,970.0","6,970.0","6,807.0","140.69K","-2.51%"
"05/20/2024","6,975.0","6,948.0","7,030.0","6,929.0","141.37K","0.36%"
"05/17/2024","6,950.0","6,864.0","6,975.0","6,857.0","165.63K","1.31%"
"05/16/2024","6,860.0","6,756.0","6,900.0","6,700.0","168.79K","1.63%"
"05/14/2024","6,750.0","6,769.0","6,851.0","6,739.0","121.13K","-0.25%"
"05/13/2024","6,767.0","6,729.0","6,784.0","6,653.0","129.85K","0.25%"
"05/10/2024","6,750.0","6,561.0","6,746.0","6,552.0","153.10K","3.05%"
"05/09/2024","6,550.0","6,457.0","6,577.0","6,424.0","116.42K","0.38%"
"05/08/2024","6,525.0","6,530.0","6,592.0","6,456.0","121.89K","0.00%"
"05/07/2024","6,525.0","6,588.0","6,628.0","6,520.0","110.07K","-0.38%"
"05/06/2024","6,550.0","6,556.0","6,662.0","6,521.0","126.05K","0.38%"
"05/03/2024","6,525.0","6,454.0","6,629.0","6,437.0","148.14K","1.16%"
"05/02/2024","6,450.0","6,289.0","6,466.0","6,204.0","136.54K","2.38%"
"04/30/2024","6,300.0","6,287.0","6,353.0","6,256.0","123.58K","-0.24%"
"04/29/2024","6,315.0","6,282.0","6,372.0","6,241.0","27.46K","0.53%"
"04/26/2024","6,282.0","6,137.0","6,323.0","6,068.0","235.21K","1.73%"
"04/25/2024","6,175.0","6,116.0","6,194.0","6,060.0","296.24K","0.93%"
"04/24/2024","6,118.0","5,971.0","6,120.0","5,938.0","274.90K","2.39%"
"04/23/2024","5,975.0","5,831.0","5,974.0","5,807.0","159.30K","2.49%"
"04/22/2024","5,830.0","5,758.0","5,896.0","5,748.0","121.15K","1.39%"
"04/19/2024","5,750.0","5,799.0","5,828.0","5,676.0","161.33K","-1.29%"
"04/18/2024","5,825.0","5,765.0","5,857.0","5,716.0","114.98K","1.30%"
"04/17/2024","5,750.0","5,757.0","5,777.0","5,712.0","111.92K","0.44%"
"04/16/2024","5,725.0","5,856.0","5,875.0","5,729.0","136.18K","-2.14%"
"04/15/2024","5,850.0","5,890.0","5,890.0","5,755.0","115.39K","-0.85%"
"04/12/2024","5,900.0","6,013.0","6,017.0","5,880.0","135.66K","-2.07%"
"04/11/2024","6,025.0","6,033.0","6,043.0","5,893.0","129.57K","0.42%"
"04/10/2024","6,000.0","5,907.0","6,062.0","5,907.0","141.40K","1.27%"
"04/09/2024","5,925.0","5,881.0","5,986.0","5,877.0","84.55K","0.66%"
"04/08/2024","5,886.0","5,870.0","5,950.0","5,814.0","99.18K","0.27%"
"04/05/2024","5,870.0","5,885.0","5,933.0","5,766.0","116.44K","-0.51%"
"04/03/2024","5,900.0","5,979.0","6,022.0","5,875.0","110.60K","-1.26%"
"04/02/2024","5,975.0","5,814.0","6,005.0","5,805.0","136.52K","2.58%"
"03/28/2024","5,825.0","5,731.0","5,902.0","5,725.0","133.94K","1.01%"
"03/27/2024","5,767.0","5,842.0","5,848.0","5,732.0","26.28K","-1.30%"
"03/26/2024","5,843.0","5,760.0","5,885.0","5,734.0","264.96K","1.39%"
"03/25/2024","5,763.0","5,764.0","5,818.0","5,729.0","297.48K","0.05%"
"03/22/2024","5,760.0","5,900.0","5,900.0","5,697.0","289.88K","-2.39%"
