"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","18,283.0","18,364.6","18,366.0","18,247.0","11.62K","-0.23%"
"06/18/2024","18,325.0","18,368.0","18,411.0","18,267.0","37.45K","0.28%"
"06/17/2024","18,274.0","18,223.0","18,359.0","18,168.0","24.47K","0.29%"
"06/14/2024","18,222.0","18,497.0","18,548.0","18,162.0","6.81K","-1.34%"
"06/13/2024","18,470.0","18,831.0","18,835.0","18,447.0","2.23K","-2.09%"
"06/12/2024","18,864.0","18,633.0","18,868.0","18,633.0","3.06K","1.46%"
"06/11/2024","18,593.0","18,746.0","18,761.0","18,508.0","1.15K","-0.64%"
"06/10/2024","18,712.0","18,688.0","18,745.0","18,590.0","1.41K","-0.37%"
"06/07/2024","18,782.0","18,834.0","18,834.0","18,697.0","0.43K","-0.49%"
"06/06/2024","18,875.0","18,854.0","19,012.0","18,845.0","0.96K","0.38%"
"06/05/2024","18,804.0","18,746.0","18,866.0","18,726.0","0.06K","0.80%"
"06/04/2024","18,654.0","18,732.0","18,740.0","18,630.0","0.13K","-1.05%"
"06/03/2024","18,851.0","18,923.0","18,927.0","18,840.0","0.11K","1.73%"
"05/31/2024","18,531.0","18,511.0","18,643.0","18,469.0","41.12K","-0.18%"
"05/30/2024","18,564.0","18,521.0","18,588.0","18,435.0","32.78K","0.16%"
"05/29/2024","18,534.0","18,720.0","18,736.0","18,492.0","42.99K","-1.14%"
"05/28/2024","18,747.0","18,845.0","18,916.0","18,680.0","34.87K","-0.42%"
"05/27/2024","18,826.0","18,748.0","18,862.0","18,731.0","19.95K","0.35%"
"05/24/2024","18,760.0","18,661.0","18,774.0","18,577.0","35.71K","0.03%"
"05/23/2024","18,755.0","18,737.0","18,833.0","18,617.0","41.11K","-0.01%"
"05/22/2024","18,756.0","18,831.0","18,837.0","18,665.0","32.46K","-0.24%"
"05/21/2024","18,802.0","18,823.0","18,830.0","18,710.0","26.87K","-0.24%"
"05/20/2024","18,848.0","18,818.0","18,887.0","18,804.0","22.47K","0.29%"
"05/17/2024","18,793.0","18,785.0","18,814.0","18,708.0","31.11K","-0.11%"
"05/16/2024","18,814.0","19,003.0","19,018.0","18,773.0","37.53K","-0.90%"
"05/15/2024","18,985.0","18,899.0","19,003.0","18,855.0","34.99K","0.76%"
"05/14/2024","18,842.0","18,854.0","18,890.0","18,736.0","27.91K","-0.06%"
"05/13/2024","18,853.0","18,892.0","18,918.0","18,819.0","25.84K","-0.13%"
"05/10/2024","18,877.0","18,838.0","18,966.0","18,829.0","38.60K","0.39%"
"05/09/2024","18,804.0","18,657.0","18,843.0","18,612.0","41.71K","0.94%"
"05/08/2024","18,629.0","18,599.0","18,691.0","18,560.0","39.69K","0.22%"
