"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","39,179.00","39,180.00","39,218.00","39,162.00","32.11K","0.00%"
"05/27/2024","39,180.00","39,120.00","39,231.00","39,095.00","21.05K","0.16%"
"05/26/2024","39,119.00","39,163.00","39,169.00","39,109.00","1.00K","-0.10%"
"05/24/2024","39,157.00","39,143.00","39,315.00","39,105.00","108.40K","0.01%"
"05/23/2024","39,153.00","39,730.00","39,882.00","39,114.00","193.14K","-1.58%"
"05/22/2024","39,783.00","39,992.00","40,033.00","39,668.00","125.63K","-0.56%"
"05/21/2024","40,006.00","39,946.00","40,034.00","39,907.00","90.81K","0.16%"
"05/20/2024","39,944.00","40,133.00","40,213.00","39,919.00","107.16K","-0.47%"
"05/18/2024","40,134.00","40,134.00","40,134.00","40,134.00","","-0.01%"
"05/17/2024","40,137.00","39,995.00","40,147.00","39,955.00","89.43K","0.32%"
"05/16/2024","40,010.00","40,016.00","40,191.00","39,979.00","120.77K","-0.07%"
"05/15/2024","40,039.00","39,680.00","40,063.00","39,652.00","103.69K","0.91%"
"05/14/2024","39,677.00","39,542.00","39,736.00","39,405.00","109.44K","0.30%"
"05/13/2024","39,559.00","39,620.00","39,781.00","39,519.00","85.73K","-0.15%"
"05/11/2024","39,618.00","39,618.00","39,618.00","39,618.00","","-0.06%"
"05/10/2024","39,642.00","39,562.00","39,718.00","39,531.00","98.77K","0.27%"
"05/09/2024","39,536.00","39,198.00","39,592.00","39,086.00","105.73K","0.87%"
"05/08/2024","39,195.00","39,016.00","39,236.00","38,936.00","91.39K","0.43%"
"05/07/2024","39,027.00","38,985.00","39,127.00","38,976.00","79.87K","0.08%"
"05/06/2024","38,997.00","38,920.00","39,028.00","38,834.00","77.49K","0.33%"
"05/04/2024","38,869.00","38,869.00","38,869.00","38,869.00","","0.10%"
"05/03/2024","38,832.00","38,642.00","38,958.00","38,584.00","148.52K","1.17%"
"05/02/2024","38,382.00","38,126.00","38,643.00","38,037.00","149.30K","0.82%"
"05/01/2024","38,069.00","37,923.00","38,527.00","37,866.00","174.07K","0.20%"
"04/30/2024","37,993.00","38,576.00","38,576.00","37,925.00","146.97K","-1.47%"
"04/29/2024","38,559.00","38,490.00","38,593.00","38,392.00","97.40K","0.28%"
"04/27/2024","38,453.00","38,453.00","38,453.00","38,453.00","","0.03%"
"04/26/2024","38,441.00","38,343.00","38,535.00","38,242.00","129.53K","0.40%"
"04/25/2024","38,288.00","38,577.00","38,637.00","37,944.00","176.05K","-1.01%"
"04/24/2024","38,680.00","38,749.00","38,801.00","38,520.00","137.06K","-0.12%"
"04/23/2024","38,726.00","38,507.00","38,789.00","38,431.00","119.78K","0.67%"
"04/22/2024","38,468.00","38,271.00","38,682.00","38,208.00","149.91K","0.68%"
"04/20/2024","38,208.00","38,208.00","38,208.00","38,208.00","","0.00%"
"04/19/2024","38,208.00","38,008.00","38,344.00","37,463.00","222.80K","0.53%"
"04/18/2024","38,007.00","37,987.00","38,317.00","37,900.00","182.15K","0.04%"
"04/17/2024","37,990.00","38,080.00","38,257.00","37,842.00","203.27K","-0.15%"
"04/16/2024","38,046.00","37,993.00","38,284.00","37,838.00","220.45K","0.14%"
"04/15/2024","37,993.00","38,150.00","38,637.00","37,911.00","222.75K","-0.62%"
"04/13/2024","38,230.00","38,230.00","38,230.00","38,230.00","","-0.02%"
"04/12/2024","38,238.00","38,756.00","38,836.00","38,132.00","184.08K","-1.28%"
"04/11/2024","38,732.00","38,716.00","38,880.00","38,472.00","189.70K","-0.06%"
"04/10/2024","38,757.00","39,220.00","39,345.00","38,590.00","210.14K","-1.12%"
"04/09/2024","39,196.00","39,248.00","39,307.00","38,873.00","173.29K","-0.06%"
"04/08/2024","39,219.00","39,280.00","39,344.00","39,117.00","123.20K","-0.01%"
"04/05/2024","39,223.00","38,921.00","39,369.00","38,864.00","199.87K","0.79%"
"04/04/2024","38,916.00","39,501.00","39,759.00","38,876.00","187.34K","-1.43%"
"04/03/2024","39,482.00","39,512.00","39,634.00","39,345.00","133.15K","-0.07%"
"04/02/2024","39,508.00","39,789.00","39,805.00","39,368.00","145.10K","-0.97%"
"04/01/2024","39,894.00","40,158.00","40,358.00","39,709.00","122.81K","-0.70%"
"03/28/2024","40,176.00","40,140.00","40,240.00","40,086.00","105.26K","0.08%"
"03/27/2024","40,144.00","39,754.00","40,181.00","39,742.00","128.24K","1.17%"
"03/26/2024","39,680.00","39,711.00","39,822.00","39,657.00","96.70K","-0.05%"
"03/25/2024","39,699.00","39,848.00","39,853.00","39,681.00","96.10K","-0.42%"
"03/22/2024","39,868.00","40,231.00","40,267.00","39,820.00","127.83K","-0.84%"
"03/21/2024","40,206.00","39,980.00","40,316.00","39,948.00","145.32K","0.67%"
"03/20/2024","39,940.00","39,545.00","39,988.00","39,425.00","157.55K","1.01%"
