"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","0.8500","0.8504","0.8519","0.8499","","-0.04%"
"05/27/2024","0.8503","0.8518","0.8524","0.8495","","-0.11%"
"05/24/2024","0.8512","0.8516","0.8533","0.8511","","-0.02%"
"05/23/2024","0.8514","0.8511","0.8543","0.8493","","0.07%"
"05/22/2024","0.8508","0.8540","0.8545","0.8501","","-0.34%"
"05/21/2024","0.8537","0.8545","0.8553","0.8532","","-0.06%"
"05/20/2024","0.8542","0.8560","0.8571","0.8540","","-0.18%"
"05/17/2024","0.8557","0.8577","0.8583","0.8553","","-0.21%"
"05/16/2024","0.8575","0.8583","0.8590","0.8573","","-0.03%"
"05/15/2024","0.8578","0.8593","0.8603","0.8574","","-0.12%"
"05/14/2024","0.8588","0.8590","0.8616","0.8586","","-0.01%"
"05/13/2024","0.8589","0.8601","0.8611","0.8589","","-0.10%"
"05/10/2024","0.8598","0.8609","0.8616","0.8593","","-0.13%"
"05/09/2024","0.8609","0.8602","0.8620","0.8591","","0.09%"
"05/08/2024","0.8602","0.8599","0.8619","0.8596","","0.03%"
"05/07/2024","0.8599","0.8572","0.8602","0.8571","","0.33%"
"05/06/2024","0.8571","0.8577","0.8583","0.8555","","-0.02%"
"05/03/2024","0.8573","0.8558","0.8587","0.8533","","0.21%"
"05/02/2024","0.8555","0.8550","0.8566","0.8544","","0.09%"
"05/01/2024","0.8547","0.8538","0.8561","0.8534","","0.12%"
"04/30/2024","0.8537","0.8536","0.8565","0.8529","","0.07%"
"04/29/2024","0.8531","0.8561","0.8572","0.8530","","-0.32%"
"04/26/2024","0.8558","0.8576","0.8586","0.8550","","-0.17%"
"04/25/2024","0.8573","0.8584","0.8594","0.8553","","-0.09%"
"04/24/2024","0.8581","0.8595","0.8602","0.8582","","-0.13%"
"04/23/2024","0.8592","0.8628","0.8648","0.8591","","-0.38%"
"04/22/2024","0.8625","0.8612","0.8645","0.8607","","0.19%"
"04/19/2024","0.8609","0.8559","0.8618","0.8552","","0.60%"
"04/18/2024","0.8558","0.8570","0.8575","0.8548","","-0.09%"
"04/17/2024","0.8566","0.8546","0.8575","0.8519","","0.27%"
"04/16/2024","0.8543","0.8536","0.8552","0.8526","","0.12%"
"04/15/2024","0.8533","0.8547","0.8554","0.8525","","-0.14%"
"04/12/2024","0.8545","0.8544","0.8554","0.8526","","0.06%"
"04/11/2024","0.8540","0.8566","0.8573","0.8540","","-0.27%"
"04/10/2024","0.8563","0.8564","0.8579","0.8543","","0.02%"
"04/09/2024","0.8561","0.8581","0.8585","0.8559","","-0.20%"
"04/08/2024","0.8578","0.8575","0.8587","0.8572","","0.07%"
"04/05/2024","0.8572","0.8571","0.8589","0.8557","","0.04%"
"04/04/2024","0.8569","0.8564","0.8583","0.8559","","0.08%"
"04/03/2024","0.8562","0.8562","0.8589","0.8555","","0.01%"
"04/02/2024","0.8561","0.8559","0.8577","0.8539","","0.05%"
"04/01/2024","0.8557","0.8546","0.8565","0.8537","","0.12%"
"03/29/2024","0.8547","0.8547","0.8557","0.8529","","0.05%"
"03/28/2024","0.8543","0.8566","0.8573","0.8543","","-0.25%"
"03/27/2024","0.8564","0.8578","0.8587","0.8563","","-0.14%"
"03/26/2024","0.8576","0.8576","0.8590","0.8568","","0.03%"
"03/25/2024","0.8573","0.8576","0.8587","0.8564","","0.01%"
"03/22/2024","0.8572","0.8580","0.8604","0.8565","","-0.08%"
"03/21/2024","0.8579","0.8540","0.8584","0.8528","","0.46%"
"03/20/2024","0.8540","0.8541","0.8560","0.8530","","0.01%"
"03/19/2024","0.8539","0.8541","0.8558","0.8530","","0.00%"
"03/18/2024","0.8539","0.8550","0.8565","0.8538","","-0.06%"
"03/15/2024","0.8544","0.8534","0.8555","0.8530","","0.15%"
"03/14/2024","0.8531","0.8553","0.8561","0.8532","","-0.23%"
"03/13/2024","0.8551","0.8542","0.8561","0.8536","","0.15%"
"03/12/2024","0.8538","0.8527","0.8571","0.8523","","0.15%"
"03/11/2024","0.8525","0.8504","0.8536","0.8502","","0.25%"
"03/08/2024","0.8504","0.8548","0.8551","0.8502","","-0.48%"
"03/07/2024","0.8545","0.8559","0.8565","0.8522","","-0.15%"
"03/06/2024","0.8558","0.8545","0.8565","0.8540","","0.18%"
"03/05/2024","0.8543","0.8553","0.8562","0.8529","","-0.08%"
"03/04/2024","0.8550","0.8565","0.8571","0.8548","","-0.16%"
"03/01/2024","0.8564","0.8558","0.8587","0.8553","","0.11%"
"02/29/2024","0.8555","0.8557","0.8573","0.8548","","-0.01%"
"02/28/2024","0.8556","0.8548","0.8568","0.8544","","0.11%"
"02/27/2024","0.8547","0.8552","0.8569","0.8547","","-0.04%"
"02/26/2024","0.8550","0.8543","0.8564","0.8532","","0.16%"
"02/23/2024","0.8536","0.8551","0.8554","0.8526","","-0.13%"
"02/22/2024","0.8547","0.8561","0.8577","0.8544","","-0.11%"
"02/21/2024","0.8556","0.8560","0.8574","0.8554","","0.01%"
"02/20/2024","0.8555","0.8558","0.8580","0.8544","","-0.01%"
"02/19/2024","0.8556","0.8550","0.8561","0.8536","","0.08%"
"02/16/2024","0.8549","0.8550","0.8566","0.8539","","0.01%"
"02/15/2024","0.8548","0.8537","0.8574","0.8534","","0.13%"
"02/14/2024","0.8537","0.8504","0.8551","0.8497","","0.42%"
"02/13/2024","0.8501","0.8529","0.8551","0.8498","","-0.30%"
"02/12/2024","0.8527","0.8541","0.8548","0.8526","","-0.12%"
"02/09/2024","0.8537","0.8543","0.8551","0.8530","","-0.02%"
