"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","4,938","4,962","4,972","4,934","383.50K","0.55%"
"06/18/2024","4,911","4,908","4,929","4,881","1.71M","0.61%"
"06/17/2024","4,881","4,846","4,908","4,837","1.68M","0.83%"
"06/14/2024","4,841","4,951","4,962","4,818","1.93M","-1.86%"
"06/13/2024","4,933","5,038","5,041","4,927","1.20M","-2.14%"
"06/12/2024","5,041","4,979","5,046","4,976","952.58K","1.45%"
"06/11/2024","4,969","5,031","5,040","4,943","1.00M","-0.90%"
"06/10/2024","5,014","5,036","5,040","4,974","814.63K","-0.83%"
"06/07/2024","5,056","5,075","5,082","5,021","723.60K","-0.35%"
"06/06/2024","5,074","5,061","5,088","5,053","696.95K","0.69%"
"06/05/2024","5,039","4,978","5,064","4,976","744.26K","1.53%"
"06/04/2024","4,963","5,007","5,012","4,947","782.66K","-0.98%"
"06/03/2024","5,012","5,023","5,047","4,982","680.93K","0.56%"
"05/31/2024","4,984","4,988","5,020","4,974","852.16K","-0.18%"
"05/30/2024","4,993","4,971","5,006","4,950","568.65K","0.40%"
"05/29/2024","4,973","5,043","5,046","4,962","824.27K","-1.29%"
"05/28/2024","5,038","5,067","5,082","5,023","556.31K","-0.43%"
"05/27/2024","5,060","5,038","5,069","5,033","242.12K","0.36%"
"05/24/2024","5,042","5,015","5,048","4,998","526.63K","0.00%"
"05/23/2024","5,042","5,036","5,072","5,002","643.28K","0.16%"
"05/22/2024","5,034","5,061","5,066","5,010","492.00K","-0.42%"
"05/21/2024","5,055","5,068","5,071","5,033","458.31K","-0.43%"
"05/20/2024","5,077","5,074","5,084","5,064","312.61K","0.30%"
"05/17/2024","5,062","5,058","5,070","5,038","531.91K","-0.16%"
"05/16/2024","5,070","5,107","5,110","5,052","678.61K","-0.51%"
"05/15/2024","5,096","5,089","5,103","5,070","591.58K","0.35%"
"05/14/2024","5,078","5,077","5,089","5,047","545.96K","0.08%"
"05/13/2024","5,074","5,078","5,086","5,063","406.92K","0.02%"
"05/10/2024","5,073","5,054","5,090","5,050","703.70K","0.56%"
"05/09/2024","5,045","5,024","5,055","5,003","604.41K","0.48%"
"05/08/2024","5,021","4,998","5,030","4,988","605.37K","0.44%"
"05/07/2024","4,999","4,959","5,006","4,948","634.82K","1.26%"
