"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","8,316.8","8,353.8","8,354.8","8,314.2","","-0.33%"
"05/27/2024","8,344.3","8,325.4","8,352.3","8,324.6","","0.13%"
"05/24/2024","8,333.5","8,301.0","8,343.5","8,261.0","67.30K","-0.28%"
"05/23/2024","8,357.0","8,394.0","8,400.5","8,291.5","89.62K","-0.36%"
"05/22/2024","8,387.5","8,436.5","8,458.0","8,350.5","90.24K","-0.59%"
"05/21/2024","8,437.5","8,423.0","8,445.0","8,381.5","75.88K","-0.10%"
"05/20/2024","8,446.0","8,464.0","8,473.5","8,418.0","48.76K","-0.25%"
"05/19/2024","8,467.4","8,456.4","8,468.4","8,454.6","","0.29%"
"05/17/2024","8,443.0","8,459.5","8,464.0","8,423.5","76.81K","-0.13%"
"05/16/2024","8,454.0","8,455.5","8,483.5","8,430.0","81.75K","0.03%"
"05/15/2024","8,451.5","8,451.0","8,489.0","8,440.0","79.40K","0.11%"
"05/14/2024","8,442.0","8,424.5","8,460.0","8,403.0","76.86K","0.24%"
"05/13/2024","8,422.0","8,434.5","8,459.0","8,408.0","63.77K","-0.20%"
"05/12/2024","8,438.5","8,432.4","8,440.2","8,431.5","","-0.15%"
"05/10/2024","8,451.0","8,430.0","8,469.5","8,411.0","82.02K","0.67%"
"05/09/2024","8,395.0","8,377.0","8,427.5","8,363.0","84.16K","0.35%"
"05/08/2024","8,366.0","8,349.0","8,378.0","8,338.5","90.83K","0.43%"
"05/07/2024","8,330.5","8,283.5","8,350.5","8,283.5","110.70K","0.91%"
"05/05/2024","8,255.6","8,255.6","8,255.6","8,255.6","","0.40%"
"05/03/2024","8,222.5","8,200.5","8,262.5","8,198.5","80.81K","0.43%"
"05/02/2024","8,187.5","8,147.0","8,207.0","8,133.0","87.55K","0.68%"
"05/01/2024","8,132.5","8,153.0","8,191.5","8,109.0","59.28K","-0.32%"
"04/30/2024","8,158.5","8,162.0","8,215.0","8,145.0","99.47K","-0.06%"
"04/29/2024","8,163.5","8,181.0","8,209.5","8,148.0","72.89K","-0.24%"
"04/28/2024","8,183.4","8,179.4","8,184.1","8,170.9","","0.28%"
"04/26/2024","8,160.5","8,106.0","8,180.5","8,094.0","84.28K","0.87%"
"04/25/2024","8,090.5","8,041.0","8,121.5","8,040.5","99.05K","0.44%"
"04/24/2024","8,055.0","8,086.0","8,133.5","8,042.0","74.35K","-0.09%"
"04/23/2024","8,062.5","8,063.0","8,097.5","8,036.0","86.22K","0.17%"
"04/22/2024","8,049.0","7,971.0","8,084.5","7,966.0","117.13K","1.08%"
"04/21/2024","7,963.0","7,962.6","7,965.9","7,951.3","","0.63%"
"04/19/2024","7,913.0","7,875.5","7,951.5","7,766.5","101.95K","0.15%"
"04/18/2024","7,901.0","7,892.0","7,920.0","7,862.0","84.13K","0.30%"
"04/17/2024","7,877.5","7,857.5","7,912.0","7,808.0","118.09K","0.60%"
"04/16/2024","7,830.5","7,929.5","7,931.5","7,809.0","165.81K","-1.85%"
"04/15/2024","7,978.5","7,977.5","8,031.5","7,920.5","103.85K","0.07%"
"04/14/2024","7,972.9","7,965.7","7,977.9","7,956.1","","-0.53%"
"04/12/2024","8,015.0","7,963.5","8,068.5","7,943.0","125.32K","0.93%"
"04/11/2024","7,941.0","7,972.0","8,002.5","7,907.0","97.28K","-0.40%"
"04/10/2024","7,972.5","7,962.5","8,015.0","7,927.0","92.73K","0.34%"
"04/09/2024","7,945.5","7,954.5","7,977.5","7,930.5","80.70K","-0.17%"
"04/08/2024","7,959.0","7,938.0","7,969.5","7,901.0","74.17K","0.31%"
"04/07/2024","7,934.4","7,943.4","7,944.1","7,931.9","","0.21%"
"04/05/2024","7,918.0","7,911.5","7,944.0","7,873.5","116.73K","-0.93%"
"04/04/2024","7,992.0","7,951.0","8,010.5","7,897.5","85.09K","0.50%"
"04/03/2024","7,952.0","7,966.0","7,966.0","7,901.0","92.44K","-0.10%"
"04/02/2024","7,960.0","7,978.0","8,042.0","7,945.0","105.02K","-0.35%"
"03/28/2024","7,988.0","7,976.5","8,005.5","7,972.5","91.90K","0.42%"
"03/27/2024","7,954.5","7,951.5","7,972.5","7,913.5","78.80K","-0.08%"
"03/26/2024","7,961.0","7,948.0","7,964.0","7,918.5","74.12K","0.14%"
"03/25/2024","7,949.5","7,964.0","7,971.5","7,920.5","75.73K","-0.24%"
"03/24/2024","7,968.4","7,963.6","7,968.8","7,958.1","","0.02%"
"03/22/2024","7,967.0","7,915.0","7,995.0","7,907.0","101.53K","0.61%"
"03/21/2024","7,918.5","7,796.0","7,934.5","7,796.0","140.53K","1.98%"
"03/20/2024","7,765.0","7,753.5","7,803.0","7,733.0","63.35K","0.05%"
"03/19/2024","7,761.5","7,734.0","7,769.0","7,718.5","73.81K","0.12%"
"03/18/2024","7,752.0","7,765.0","7,779.0","7,740.0","57.42K","-0.10%"
"03/15/2024","7,760.0","7,762.5","7,791.0","7,745.0","122.58K","-0.15%"
"03/14/2024","7,772.0","7,815.0","7,815.5","7,740.5","107.06K","-0.42%"
"03/13/2024","7,805.0","7,785.5","7,818.0","7,766.0","140.74K","0.30%"
"03/12/2024","7,781.5","7,731.5","7,795.0","7,729.5","302.45K","1.06%"
"03/11/2024","7,700.0","7,675.0","7,724.5","7,642.0","300.46K","0.11%"
"03/08/2024","7,691.5","7,732.0","7,743.5","7,676.0","76.29K","-0.52%"
"03/07/2024","7,732.0","7,687.5","7,743.5","7,676.0","19.53K","0.60%"
"03/06/2024","7,686.0","7,646.5","7,704.5","7,646.5","2.92K","0.46%"
"03/05/2024","7,651.0","7,622.0","7,655.5","7,611.5","0.24K","0.13%"
"03/04/2024","7,641.0","7,688.0","7,688.0","7,639.0","1.29K","-0.71%"
"03/01/2024","7,696.0","7,702.5","7,703.5","7,677.0","0.14K","0.59%"
"02/29/2024","7,651.0","7,644.0","7,678.5","7,643.0","0.08K","0.24%"
"02/28/2024","7,633.0","7,677.0","7,677.0","7,622.0","0.04K","-0.77%"
"02/27/2024","7,692.0","7,693.0","7,693.0","7,691.0","0.08K","-0.01%"
"02/26/2024","7,693.0","7,688.0","7,688.0","7,688.0","0.01K","-0.32%"
"02/23/2024","7,718.0","7,692.5","7,693.0","7,692.5","0.42K","0.25%"
"02/22/2024","7,699.0","7,669.0","7,685.0","7,669.0","0.01K","0.59%"
"02/21/2024","7,654.0","7,709.0","7,709.0","7,644.0","0.13K","-0.75%"
"02/20/2024","7,712.0","7,723.5","7,724.0","7,723.5","0.00K","-0.16%"
"02/19/2024","7,724.0","7,709.0","7,728.0","7,709.0","0.01K","0.22%"
"02/16/2024","7,707.0","7,645.0","7,705.0","7,645.0","0.02K","1.55%"
"02/15/2024","7,589.5","7,585.0","7,585.0","7,585.0","0.00K","0.62%"
"02/14/2024","7,543.0","7,457.5","7,558.5","7,447.5","108.84K","0.65%"
"02/13/2024","7,494.0","7,539.0","7,539.0","7,486.0","0.00K","-0.89%"
"02/12/2024","7,561.0","7,574.0","7,574.0","7,561.0","0.00K","0.01%"
"02/09/2024","7,560.5","7,575.0","7,575.0","7,555.5","0.00K","-0.29%"
"02/08/2024","7,582.5","7,610.0","7,610.0","7,580.0","0.05K","-0.49%"
"02/07/2024","7,619.5","7,625.0","7,625.0","7,625.0","0.00K","-0.81%"
"02/06/2024","7,681.5","7,675.5","7,675.5","7,675.5","0.01K","1.08%"
"02/05/2024","7,599.5","7,637.0","7,637.0","7,601.0","0.01K","-0.12%"
"02/02/2024","7,608.5","7,642.0","7,665.0","7,587.5","80.80K","-0.03%"
"02/01/2024","7,611.0","7,619.0","7,619.0","7,619.0","0.00K","-0.44%"
"01/31/2024","7,645.0","7,621.0","7,621.0","7,621.0","0.05K","-0.36%"
"01/30/2024","7,672.5","7,648.5","7,671.0","7,627.5","0.06K","0.48%"
"01/29/2024","7,636.0","7,625.0","7,652.5","7,617.0","73.69K","-0.15%"
"01/26/2024","7,647.5","7,655.0","7,655.0","7,655.0","0.00K","1.48%"
"01/25/2024","7,536.0","7,508.5","7,547.0","7,493.5","88.74K","-0.07%"
"01/24/2024","7,541.5","7,540.5","7,540.5","7,538.0","0.00K","0.49%"
"01/23/2024","7,504.5","7,499.0","7,499.0","7,499.0","0.04K","-0.01%"
"01/22/2024","7,505.0","7,501.0","7,506.5","7,447.0","78.84K","0.41%"
"01/19/2024","7,474.0","7,511.5","7,511.5","7,508.0","0.00K","0.03%"
"01/18/2024","7,471.5","7,438.0","7,476.0","7,421.0","104.24K","0.25%"
"01/17/2024","7,453.0","7,501.0","7,501.0","7,450.0","0.01K","-1.54%"
"01/16/2024","7,569.5","7,570.0","7,570.0","7,555.0","0.00K","-0.47%"
"01/15/2024","7,605.0","7,600.0","7,610.5","7,600.0","0.00K","-0.51%"
"01/12/2024","7,644.0","7,644.5","7,644.5","7,644.5","0.00K","0.61%"
"01/11/2024","7,598.0","7,667.0","7,667.0","7,595.0","0.00K","-0.98%"
"01/10/2024","7,673.5","7,680.0","7,680.0","7,672.0","0.00K","-0.42%"
"01/09/2024","7,706.0","7,719.0","7,727.5","7,674.0","62.30K","-0.03%"
"01/08/2024","7,708.5","7,745.0","7,745.0","7,745.0","0.00K","-0.03%"
"01/05/2024","7,710.5","7,679.0","7,710.5","7,672.0","0.18K","-0.52%"
"01/04/2024","7,750.5","7,709.0","7,738.5","7,683.5","74.95K","0.57%"
"01/03/2024","7,706.5","7,701.0","7,701.0","7,690.0","0.01K","-0.45%"
"01/02/2024","7,741.5","7,763.0","7,777.0","7,763.0","0.02K","-0.35%"
"12/29/2023","7,768.5","7,736.5","7,766.5","7,736.5","35.50K","0.14%"
"12/28/2023","7,757.5","7,758.5","7,783.5","7,727.5","0.00K","-0.10%"
"12/27/2023","7,765.5","7,760.0","7,790.0","7,760.0","0.00K","0.06%"
"12/26/2023","7,761.0","7,761.0","7,761.0","7,761.0","","0.19%"
"12/22/2023","7,746.5","7,717.5","7,742.5","7,687.5","0.01K","0.12%"
"12/21/2023","7,737.5","7,731.5","7,732.0","7,731.5","0.00K","-0.39%"
"12/20/2023","7,768.0","7,770.0","7,770.0","7,770.0","0.00K","1.07%"
"12/19/2023","7,686.0","7,643.0","7,684.5","7,630.5","71.44K","0.30%"
"12/18/2023","7,663.0","7,589.5","7,659.5","7,580.5","81.04K","0.56%"
"12/15/2023","7,620.5","7,635.0","7,635.0","7,635.0","0.00K","-0.96%"
"12/14/2023","7,694.5","7,620.0","7,727.5","7,609.5","143.90K","1.22%"
"12/13/2023","7,601.5","7,567.5","7,605.0","7,548.0","175.95K","0.07%"
"12/12/2023","7,596.5","7,566.0","7,615.0","7,546.5","228.46K","-0.03%"
"12/11/2023","7,599.0","7,568.0","7,570.0","7,498.0","265.45K","-0.07%"
"12/08/2023","7,604.0","7,530.0","7,590.5","7,516.0","105.07K","0.52%"
"12/07/2023","7,564.5","7,507.0","7,533.5","7,486.0","26.18K","-0.21%"
"12/06/2023","7,580.5","7,509.5","7,556.0","7,497.0","6.15K","0.54%"
"12/05/2023","7,540.0","7,517.0","7,518.0","7,471.0","4.38K","-0.26%"
"12/04/2023","7,559.5","7,536.0","7,552.5","7,488.5","0.27K","-0.31%"
"12/01/2023","7,583.0","7,483.5","7,558.5","7,480.5","0.05K","1.14%"
"11/30/2023","7,497.5","7,445.5","7,513.5","7,400.0","0.09K","0.23%"
"11/29/2023","7,480.5","7,460.0","7,475.5","7,424.0","0.14K","-0.42%"
"11/28/2023","7,512.0","7,480.5","7,483.5","7,419.5","0.59K","-0.08%"
"11/27/2023","7,518.0","7,506.0","7,514.5","7,470.5","0.08K","-0.38%"
"11/24/2023","7,546.5","7,511.5","7,522.0","7,469.0","0.01K","0.01%"
"11/23/2023","7,545.5","7,489.5","7,518.0","7,470.0","0.00K","0.39%"
"11/22/2023","7,516.5","7,501.5","7,523.5","7,467.0","0.00K","-0.19%"
"11/21/2023","7,531.0","7,514.0","7,518.0","7,462.5","0.03K","-0.25%"
"11/20/2023","7,549.5","7,529.5","7,529.5","7,488.5","1.77K","-0.08%"
"11/17/2023","7,555.5","7,449.0","7,536.0","7,443.5","0.01K","1.23%"
"11/16/2023","7,464.0","7,493.0","7,515.5","7,423.5","0.02K","-0.84%"
"11/15/2023","7,527.5","7,444.5","7,546.5","7,439.0","0.02K","0.45%"
"11/14/2023","7,493.5","7,441.5","7,468.0","7,397.0","0.04K","0.28%"
"11/13/2023","7,472.5","7,394.0","7,449.5","7,371.0","0.02K","0.86%"
"11/10/2023","7,408.5","7,431.0","7,436.5","7,332.0","0.02K","-1.33%"
