"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","33,507.50","33,582.50","33,685.00","33,315.00","","-0.16%"
"06/18/2024","33,562.50","33,355.00","33,590.00","33,275.00","","1.42%"
"06/17/2024","33,091.00","32,990.00","33,290.00","32,760.00","33.72K","0.68%"
"06/14/2024","32,866.00","33,820.00","33,920.00","32,670.00","6.05K","-2.81%"
"06/13/2024","33,815.00","34,472.00","34,635.00","33,745.00","1.70K","-2.21%"
"06/12/2024","34,579.00","34,240.00","34,670.00","34,217.00","0.36K","1.42%"
"06/11/2024","34,096.00","34,775.00","34,775.00","33,995.00","1.79K","-1.92%"
"06/10/2024","34,764.00","34,805.00","34,825.00","34,355.00","0.26K","-0.38%"
"06/07/2024","34,896.00","35,145.00","35,175.00","34,835.00","0.06K","-0.49%"
"06/06/2024","35,069.00","34,960.00","35,280.00","34,845.00","0.12K","0.91%"
"06/05/2024","34,754.00","34,700.00","34,995.00","34,695.00","0.04K","0.67%"
"06/04/2024","34,523.00","34,730.00","34,730.00","34,435.00","0.04K","-1.15%"
"06/03/2024","34,926.00","34,930.00","35,235.00","34,920.00","0.03K","0.51%"
"05/31/2024","34,748.00","34,745.00","34,850.00","34,700.00","0.02K","0.11%"
"05/30/2024","34,711.00","34,120.00","34,800.00","34,120.00","0.01K","0.84%"
"05/29/2024","34,421.00","34,795.00","34,815.00","34,407.00","1.21K","-1.44%"
"05/28/2024","34,923.00","34,840.00","34,915.00","34,840.00","0.01K","-0.31%"
"05/27/2024","35,032.00","34,775.00","35,066.00","34,775.00","0.01K","0.77%"
"05/24/2024","34,764.00","34,410.00","34,680.00","34,410.00","0.01K","0.05%"
"05/23/2024","34,748.00","34,905.00","34,905.00","34,760.00","0.01K","-0.01%"
"05/22/2024","34,750.00","34,725.00","34,755.00","34,435.00","11.61K","-0.42%"
"05/21/2024","34,896.00","34,850.00","34,850.00","34,800.00","0.00K","-0.65%"
"05/20/2024","35,126.00","35,355.00","35,355.00","35,190.00","0.01K","-0.35%"
"05/17/2024","35,250.00","35,230.00","35,320.00","35,205.00","0.01K","-0.05%"
"05/16/2024","35,267.00","35,259.00","35,325.00","35,215.00","0.04K","0.12%"
"05/15/2024","35,223.00","35,100.00","35,190.00","35,080.00","0.02K","0.61%"
"05/14/2024","35,009.00","34,750.00","35,030.00","34,745.00","0.01K","0.96%"
"05/13/2024","34,676.00","34,565.00","34,565.00","34,565.00","0.00K","0.43%"
"05/10/2024","34,527.00","34,450.00","34,520.00","34,450.00","0.00K","0.94%"
"05/09/2024","34,207.00","34,130.00","34,210.00","34,130.00","0.01K","0.52%"
"05/08/2024","34,031.00","34,000.00","34,000.00","33,880.00","0.01K","-0.28%"
