"Date","Price","Open","High","Low","Change %"
"05/28/2024","3.053","3.035","3.053","3.021","0.86%"
"05/27/2024","3.027","3.065","3.085","3.013","-1.46%"
"05/24/2024","3.072","3.087","3.105","3.056","-0.23%"
"05/23/2024","3.079","3.022","3.094","2.999","1.65%"
"05/22/2024","3.029","3.039","3.051","3.010","1.30%"
"05/21/2024","2.990","3.013","3.020","2.980","-0.96%"
"05/20/2024","3.019","3.029","3.032","2.998","0.27%"
"05/17/2024","3.011","2.973","3.013","2.957","1.86%"
"05/16/2024","2.956","2.904","2.957","2.897","1.13%"
"05/15/2024","2.923","3.025","3.029","2.918","-4.29%"
"05/14/2024","3.054","3.013","3.059","2.990","1.29%"
"05/13/2024","3.015","3.003","3.026","2.985","-0.17%"
"05/10/2024","3.020","2.968","3.025","2.960","0.60%"
"05/09/2024","3.002","2.976","3.014","2.972","1.45%"
"05/08/2024","2.959","2.950","2.975","2.930","1.44%"
"05/07/2024","2.917","2.948","2.962","2.915","-1.88%"
"05/06/2024","2.973","3.002","3.000","2.936","-0.64%"
"05/03/2024","2.992","3.030","3.045","2.959","-1.58%"
"05/02/2024","3.040","3.049","3.079","3.017","-1.17%"
"05/01/2024","3.076","3.020","3.076","3.076","-0.06%"
"04/30/2024","3.078","3.020","3.094","3.011","1.58%"
"04/29/2024","3.030","3.067","3.071","3.009","-1.05%"
"04/26/2024","3.062","3.102","3.112","3.040","-2.14%"
"04/25/2024","3.129","3.098","3.149","3.062","1.26%"
"04/24/2024","3.090","3.036","3.103","3.013","3.00%"
"04/23/2024","3.000","2.967","3.027","2.962","0.47%"
"04/22/2024","2.986","3.027","3.054","2.982","-0.73%"
"04/19/2024","3.008","2.957","3.033","2.956","0.07%"
"04/18/2024","3.006","2.943","3.006","2.942","0.64%"
"04/17/2024","2.987","3.023","3.030","2.963","-0.67%"
"04/16/2024","3.007","2.952","3.030","2.948","1.55%"
"04/15/2024","2.961","2.896","2.967","2.880","3.31%"
"04/12/2024","2.866","2.949","2.989","2.820","-2.45%"
"04/11/2024","2.938","2.909","2.960","2.934","0.55%"
"04/10/2024","2.922","2.909","2.938","2.830","2.24%"
"04/09/2024","2.858","2.909","2.922","2.851","-2.36%"
"04/08/2024","2.927","2.953","2.955","2.918","0.52%"
"04/05/2024","2.912","2.862","2.918","2.852","1.53%"
"04/04/2024","2.868","2.888","2.909","2.846","-1.61%"
"04/03/2024","2.915","2.910","2.953","2.886","-0.31%"
"04/02/2024","2.924","2.887","2.947","2.842","4.13%"
"04/01/2024","2.808","2.799","2.808","2.808","0.25%"
"03/29/2024","2.801","2.799","2.801","2.801","-0.07%"
"03/28/2024","2.803","2.799","2.835","2.795","0.61%"
"03/27/2024","2.786","2.817","2.829","2.781","-1.76%"
"03/26/2024","2.836","2.834","2.849","2.809","-0.49%"
"03/25/2024","2.850","2.796","2.856","2.790","1.93%"
"03/22/2024","2.796","2.833","2.840","2.787","-1.65%"
"03/21/2024","2.843","2.855","2.877","2.818","-1.15%"
"03/20/2024","2.876","2.863","2.878","2.844","-0.55%"
"03/19/2024","2.892","2.887","2.898","2.862","0.10%"
"03/18/2024","2.889","2.871","2.907","2.871","0.45%"
"03/15/2024","2.876","2.881","2.905","2.861","0.28%"
"03/14/2024","2.868","2.824","2.874","2.779","2.47%"
"03/13/2024","2.799","2.739","2.814","2.739","0.83%"
"03/12/2024","2.776","2.757","2.793","2.723","0.65%"
"03/11/2024","2.758","2.715","2.777","2.693","1.40%"
"03/08/2024","2.720","2.730","2.745","2.687","-0.87%"
"03/07/2024","2.744","2.799","2.811","2.696","-1.51%"
"03/06/2024","2.786","2.796","2.825","2.774","-0.18%"
"03/05/2024","2.791","2.846","2.851","2.760","-2.85%"
"03/04/2024","2.873","2.906","2.911","2.860","-1.24%"
"03/01/2024","2.909","2.915","2.958","2.879","1.01%"
"02/29/2024","2.880","2.920","2.987","2.874","-1.77%"
"02/28/2024","2.932","2.934","2.944","2.907","-0.27%"
"02/27/2024","2.940","2.912","2.940","2.882","1.17%"
"02/26/2024","2.906","2.848","2.908","2.842","2.87%"
"02/23/2024","2.825","2.915","2.950","2.823","-2.85%"
"02/22/2024","2.908","2.942","2.984","2.884","-0.68%"
"02/21/2024","2.928","2.872","2.932","2.846","2.77%"
"02/20/2024","2.849","2.875","2.882","2.836","-1.28%"
"02/19/2024","2.886","2.872","2.896","2.859","0.42%"
"02/16/2024","2.874","2.865","2.902","2.852","1.16%"
"02/15/2024","2.841","2.800","2.841","2.779","0.46%"
"02/14/2024","2.828","2.881","2.884","2.823","-2.15%"
"02/13/2024","2.890","2.880","2.915","2.828","0.91%"
"02/12/2024","2.864","2.869","2.874","2.861","-1.07%"
"02/09/2024","2.895","2.885","2.903","2.833","1.05%"
"02/08/2024","2.865","2.841","2.875","2.801","1.34%"
"02/07/2024","2.827","2.779","2.827","2.775","0.78%"
"02/06/2024","2.805","2.806","2.845","2.785","-0.53%"
"02/05/2024","2.820","2.757","2.835","2.754","2.92%"
"02/02/2024","2.740","2.681","2.750","2.658","3.55%"
"02/01/2024","2.646","2.702","2.724","2.630","-0.56%"
"01/31/2024","2.661","2.715","2.734","2.650","-3.59%"
"01/30/2024","2.760","2.684","2.786","2.678","1.47%"
"01/29/2024","2.720","2.747","2.760","2.712","-2.33%"
"01/26/2024","2.785","2.725","2.804","2.724","0.07%"
"01/25/2024","2.783","2.849","2.871","2.768","-2.08%"
"01/24/2024","2.842","2.820","2.842","2.782","-0.14%"
"01/23/2024","2.846","2.803","2.850","2.796","2.08%"
"01/22/2024","2.788","2.791","2.808","2.766","-1.52%"
"01/19/2024","2.831","2.831","2.850","2.797","-0.56%"
"01/18/2024","2.847","2.809","2.850","2.793","1.10%"
"01/17/2024","2.816","2.795","2.829","2.750","2.40%"
"01/16/2024","2.750","2.736","2.757","2.699","0.55%"
"01/15/2024","2.735","2.707","2.752","2.697","2.13%"
"01/12/2024","2.678","2.684","2.727","2.657","-2.37%"
"01/11/2024","2.743","2.731","2.767","2.691","-0.18%"
"01/10/2024","2.748","2.715","2.760","2.684","0.88%"
"01/09/2024","2.724","2.700","2.745","2.685","2.33%"
"01/08/2024","2.662","2.708","2.760","2.647","-0.67%"
"01/05/2024","2.680","2.674","2.762","2.652","1.02%"
"01/04/2024","2.653","2.523","2.689","2.509","3.75%"
"01/03/2024","2.557","2.623","2.643","2.549","-1.46%"
"01/02/2024","2.595","2.623","2.655","2.571","1.49%"
"01/01/2024","2.557","2.477","2.557","2.552","-0.04%"
"12/29/2023","2.558","2.477","2.570","2.452","3.35%"
"12/28/2023","2.475","2.426","2.491","2.405","2.74%"
"12/27/2023","2.409","2.464","2.470","2.395","-2.82%"
"12/26/2023","2.479","2.493","2.479","2.479","0.00%"
"12/25/2023","2.479","2.493","2.479","2.475","0.12%"
"12/22/2023","2.476","2.493","2.500","2.452","0.41%"
"12/21/2023","2.466","2.477","2.501","2.440","-0.52%"
"12/20/2023","2.479","2.488","2.516","2.461","-1.70%"
"12/19/2023","2.522","2.568","2.574","2.519","-3.30%"
"12/18/2023","2.608","2.572","2.617","2.534","2.31%"
"12/15/2023","2.549","2.675","2.678","2.534","-3.45%"
"12/14/2023","2.640","2.602","2.683","2.554","-2.73%"
"12/13/2023","2.714","2.754","2.762","2.707","-2.06%"
"12/12/2023","2.771","2.771","2.802","2.740","-1.84%"
"12/11/2023","2.823","2.819","2.839","2.802","-0.14%"
"12/08/2023","2.827","2.748","2.850","2.744","3.63%"
"12/07/2023","2.728","2.773","2.786","2.699","-0.66%"
"12/06/2023","2.746","2.814","2.848","2.744","-1.93%"
"12/05/2023","2.800","2.858","2.893","2.789","-4.21%"
"12/04/2023","2.923","2.927","2.952","2.879","-0.20%"
"12/01/2023","2.929","3.025","3.040","2.914","-3.24%"
"11/30/2023","3.027","2.987","3.068","2.966","1.17%"
"11/29/2023","2.992","2.991","3.036","2.972","-2.32%"
"11/28/2023","3.063","3.093","3.146","3.052","-1.61%"
"11/27/2023","3.113","3.188","3.211","3.107","-2.75%"
"11/24/2023","3.201","3.204","3.232","3.184","0.53%"
"11/23/2023","3.184","3.122","3.196","3.122","1.86%"
"11/22/2023","3.126","3.155","3.161","3.075","0.00%"
"11/21/2023","3.126","3.128","3.164","3.108","-1.64%"
"11/20/2023","3.178","3.169","3.205","3.145","0.82%"
"11/18/2023","3.152","3.152","3.152","3.152","-0.22%"
"11/17/2023","3.159","3.127","3.163","3.071","0.38%"
"11/16/2023","3.147","3.172","3.196","3.122","-1.96%"
"11/15/2023","3.210","3.157","3.217","3.121","1.78%"
"11/14/2023","3.154","3.283","3.301","3.154","-4.10%"
"11/13/2023","3.289","3.298","3.333","3.259","-0.33%"
"11/10/2023","3.300","3.289","3.336","3.265","2.07%"
"11/09/2023","3.233","3.210","3.254","3.197","0.87%"
"11/08/2023","3.205","3.256","3.268","3.192","-1.60%"
"11/07/2023","3.257","3.355","3.366","3.253","-2.34%"
"11/06/2023","3.335","3.276","3.346","3.270","3.15%"
"11/03/2023","3.233","3.311","3.330","3.225","-2.24%"
"11/02/2023","3.307","3.337","3.373","3.267","-2.25%"
"11/01/2023","3.383","3.462","3.478","3.361","-1.37%"
"10/31/2023","3.430","3.402","3.440","3.368","-0.32%"
"10/30/2023","3.441","3.405","3.477","3.377","-0.32%"
"10/27/2023","3.452","3.477","3.500","3.440","-0.80%"
"10/26/2023","3.480","3.562","3.569","3.457","-1.05%"
"10/25/2023","3.517","3.427","3.531","3.426","1.56%"
"10/24/2023","3.463","3.450","3.473","3.393","-0.55%"
"10/23/2023","3.482","3.540","3.598","3.471","-0.88%"
"10/20/2023","3.513","3.548","3.571","3.500","-0.82%"
"10/19/2023","3.542","3.588","3.601","3.523","-0.28%"
"10/18/2023","3.552","3.520","3.572","3.491","1.40%"
"10/17/2023","3.503","3.444","3.529","3.411","2.76%"
"10/16/2023","3.409","3.391","3.432","3.385","2.94%"
"10/14/2023","3.312","3.312","3.312","3.312","-0.29%"
"10/13/2023","3.321","3.341","3.366","3.273","-0.63%"
"10/12/2023","3.342","3.247","3.356","3.231","2.01%"
"10/11/2023","3.276","3.357","3.361","3.258","-1.83%"
"10/10/2023","3.337","3.367","3.418","3.330","-0.77%"
"10/09/2023","3.363","3.439","3.476","3.350","-3.47%"
"10/06/2023","3.484","3.487","3.551","3.470","0.43%"
"10/05/2023","3.469","3.505","3.545","3.453","-0.86%"
"10/04/2023","3.499","3.586","3.602","3.496","-0.96%"
"10/03/2023","3.533","3.465","3.538","3.452","1.44%"
"10/02/2023","3.483","3.436","3.485","3.401","1.99%"
"09/29/2023","3.415","3.474","3.477","3.367","-2.62%"
"09/28/2023","3.507","3.420","3.555","3.403","3.06%"
"09/27/2023","3.403","3.363","3.404","3.324","1.28%"
"09/26/2023","3.360","3.356","3.376","3.315","0.60%"
"09/25/2023","3.340","3.310","3.364","3.296","1.67%"
"09/22/2023","3.285","3.275","3.319","3.222","0.09%"
"09/21/2023","3.282","3.296","3.324","3.259","1.30%"
"09/20/2023","3.240","3.276","3.291","3.234","-1.28%"
"09/19/2023","3.282","3.256","3.299","3.231","0.71%"
"09/18/2023","3.259","3.249","3.271","3.222","1.15%"
"09/15/2023","3.222","3.147","3.228","3.134","3.04%"
"09/14/2023","3.127","3.188","3.206","3.089","-2.37%"
"09/13/2023","3.203","3.198","3.245","3.181","0.50%"
"09/12/2023","3.187","3.180","3.189","3.142","0.38%"
"09/11/2023","3.175","3.176","3.186","3.148","1.15%"
"09/09/2023","3.139","3.139","3.139","3.139","-0.10%"
"09/08/2023","3.142","3.103","3.161","3.095","-0.22%"
"09/07/2023","3.149","3.185","3.188","3.135","-1.22%"
"09/06/2023","3.188","3.145","3.200","3.125","1.50%"
"09/05/2023","3.141","3.118","3.143","3.094","1.16%"
"09/04/2023","3.105","3.085","3.118","3.070","1.14%"
"09/01/2023","3.070","3.001","3.074","2.961","2.99%"
"08/31/2023","2.981","3.083","3.105","2.971","-2.58%"
"08/30/2023","3.060","3.078","3.114","3.046","0.96%"
"08/29/2023","3.031","3.058","3.101","3.017","-1.65%"
"08/28/2023","3.082","3.078","3.128","3.064","0.10%"
"08/25/2023","3.079","3.076","3.112","3.044","1.05%"
"08/24/2023","3.047","3.014","3.068","2.969","0.03%"
"08/23/2023","3.046","3.159","3.170","3.040","-3.88%"
"08/22/2023","3.169","3.239","3.243","3.169","-2.46%"
"08/21/2023","3.249","3.200","3.254","3.163","2.52%"
"08/18/2023","3.169","3.178","3.186","3.135","-2.37%"
"08/17/2023","3.246","3.255","3.255","3.211","1.63%"
"08/16/2023","3.194","3.216","3.221","3.172","-0.81%"
"08/15/2023","3.220","3.197","3.285","3.196","1.35%"
"08/14/2023","3.177","3.160","3.191","3.131","0.54%"
"08/11/2023","3.160","3.115","3.161","3.086","3.13%"
"08/10/2023","3.064","3.057","3.074","3.022","1.09%"
"08/09/2023","3.031","2.997","3.055","2.982","0.93%"
"08/08/2023","3.003","3.069","3.072","2.968","-4.03%"
"08/07/2023","3.129","3.090","3.170","3.075","1.29%"
"08/04/2023","3.089","3.155","3.188","3.085","-0.96%"
"08/03/2023","3.119","3.112","3.140","3.073","1.00%"
"08/02/2023","3.088","3.082","3.097","3.032","-0.35%"
"08/01/2023","3.099","3.019","3.101","3.009","2.41%"
"07/31/2023","3.026","3.059","3.074","3.011","-0.20%"
"07/28/2023","3.032","3.117","3.122","2.984","1.07%"
"07/27/2023","3.000","2.979","3.031","2.927","-0.23%"
"07/26/2023","3.007","2.972","3.026","2.959","1.73%"
"07/25/2023","2.956","2.993","3.000","2.942","0.27%"
"07/24/2023","2.948","2.999","3.013","2.921","-1.34%"
"07/21/2023","2.988","3.007","3.033","2.970","-0.86%"
"07/20/2023","3.014","2.953","3.021","2.940","1.79%"
"07/19/2023","2.961","2.849","2.968","2.834","1.79%"
"07/18/2023","2.909","2.986","2.996","2.886","-3.26%"
"07/17/2023","3.007","3.026","3.050","2.973","-0.82%"
"07/14/2023","3.032","3.017","3.048","2.993","0.50%"
"07/13/2023","3.017","3.074","3.081","2.985","-2.61%"
"07/12/2023","3.098","3.176","3.193","3.093","-3.58%"
"07/11/2023","3.213","3.175","3.219","3.148","0.31%"
"07/10/2023","3.203","3.203","3.238","3.171","0.44%"
"07/07/2023","3.189","3.177","3.233","3.146","-0.06%"
"07/06/2023","3.191","3.074","3.200","3.027","5.49%"
"07/05/2023","3.025","3.002","3.028","2.954","0.77%"
"07/04/2023","3.002","2.992","3.034","2.981","0.81%"
"07/03/2023","2.978","2.928","2.992","2.898","1.40%"
"06/30/2023","2.937","2.958","2.997","2.919","-0.41%"
"06/29/2023","2.949","2.868","2.978","2.849","3.73%"
"06/28/2023","2.843","2.885","2.902","2.822","-1.35%"
"06/27/2023","2.882","2.865","2.892","2.812","1.73%"
"06/26/2023","2.833","2.888","2.898","2.817","-1.60%"
"06/23/2023","2.879","2.950","3.040","2.847","-4.57%"
"06/22/2023","3.017","2.950","3.040","2.938","1.96%"
"06/21/2023","2.959","2.973","2.982","2.912","1.09%"
"06/20/2023","2.927","3.019","3.019","2.916","-3.46%"
"06/19/2023","3.032","2.947","3.045","2.938","2.12%"
"06/16/2023","2.969","3.048","3.071","2.957","-1.59%"
"06/15/2023","3.017","3.028","3.086","2.960","1.55%"
"06/14/2023","2.971","2.980","2.997","2.940","0.64%"
"06/13/2023","2.952","2.914","2.957","2.860","1.44%"
"06/12/2023","2.910","2.925","2.944","2.851","-0.58%"
"06/09/2023","2.927","2.959","2.985","2.908","-1.38%"
"06/08/2023","2.968","3.045","3.045","2.963","-1.10%"
"06/07/2023","3.001","2.898","3.009","2.889","2.81%"
"06/06/2023","2.919","2.953","2.958","2.855","0.07%"
"06/05/2023","2.917","2.914","2.944","2.889","1.82%"
"06/02/2023","2.865","2.817","2.872","2.810","1.31%"
"06/01/2023","2.828","2.860","2.881","2.801","-0.70%"
"05/31/2023","2.848","2.851","2.875","2.807","-2.37%"
"05/30/2023","2.917","2.998","3.011","2.902","-2.80%"
"05/29/2023","3.001","3.100","3.109","2.991","-3.66%"
"05/26/2023","3.115","3.123","3.141","3.072","0.48%"
"05/25/2023","3.100","3.065","3.105","3.007","1.91%"
"05/24/2023","3.042","3.064","3.089","2.993","-0.20%"
"05/23/2023","3.048","3.040","3.074","3.031","0.36%"
"05/22/2023","3.037","3.018","3.043","2.972","1.06%"
"05/19/2023","3.005","3.058","3.085","2.990","-0.99%"
"05/18/2023","3.035","2.945","3.045","2.937","3.94%"
"05/17/2023","2.920","2.915","2.930","2.872","-0.58%"
"05/16/2023","2.937","2.848","2.941","2.831","1.80%"
"05/15/2023","2.885","2.892","2.900","2.856","1.12%"
"05/12/2023","2.853","2.811","2.857","2.799","1.89%"
"05/11/2023","2.800","2.855","2.885","2.754","-2.74%"
"05/10/2023","2.879","2.948","2.963","2.858","-2.14%"
"05/09/2023","2.942","2.906","2.944","2.882","1.10%"
"05/08/2023","2.910","2.874","2.942","2.866","1.04%"
"05/05/2023","2.880","2.841","2.902","2.825","2.93%"
"05/04/2023","2.798","2.847","2.922","2.777","-1.31%"
"05/03/2023","2.835","2.856","2.867","2.814","-0.87%"
"05/02/2023","2.860","2.993","3.004","2.844","-0.81%"
"05/01/2023","2.884","2.884","2.884","2.884","-0.29%"
"04/28/2023","2.892","3.007","3.066","2.884","-4.49%"
"04/27/2023","3.028","2.995","3.040","2.963","2.26%"
"04/26/2023","2.961","2.941","2.980","2.890","0.68%"
"04/25/2023","2.941","3.047","3.058","2.927","-4.20%"
"04/24/2023","3.070","3.024","3.070","3.000","2.80%"
"04/23/2023","2.987","2.987","2.987","2.987","-0.35%"
"04/21/2023","2.997","2.940","3.005","2.923","1.46%"
"04/20/2023","2.954","2.990","3.019","2.944","-1.99%"
"04/19/2023","3.014","3.031","3.038","2.980","1.21%"
"04/18/2023","2.978","2.981","3.002","2.926","0.37%"
"04/17/2023","2.967","2.928","2.998","2.926","0.87%"
"04/16/2023","2.941","2.941","2.941","2.941","-0.19%"
"04/14/2023","2.947","2.890","2.950","2.866","2.04%"
"04/13/2023","2.888","2.868","2.917","2.842","0.10%"
"04/12/2023","2.885","2.809","2.917","2.759","2.12%"
"04/11/2023","2.825","2.776","2.836","2.741","4.65%"
"04/07/2023","2.700","2.707","2.707","2.700","-0.39%"
"04/06/2023","2.710","2.710","2.723","2.629","0.82%"
"04/05/2023","2.688","2.798","2.826","2.675","-3.03%"
"04/04/2023","2.772","2.777","2.853","2.759","0.76%"
"04/03/2023","2.751","2.829","2.877","2.739","-1.61%"
"03/31/2023","2.796","2.863","2.925","2.791","-3.25%"
"03/30/2023","2.890","2.784","2.918","2.728","2.52%"
"03/29/2023","2.819","2.837","2.856","2.778","0.28%"
"03/28/2023","2.811","2.800","2.848","2.782","2.29%"
"03/27/2023","2.748","2.707","2.790","2.654","3.58%"
"03/25/2023","2.653","2.653","2.653","2.653","-0.26%"
"03/24/2023","2.660","2.687","2.688","2.541","-2.13%"
"03/23/2023","2.718","2.759","2.823","2.698","-4.67%"
"03/22/2023","2.851","2.860","2.924","2.829","1.50%"
"03/21/2023","2.809","2.652","2.817","2.618","5.52%"
"03/20/2023","2.662","2.549","2.684","2.526","-0.45%"
"03/17/2023","2.674","2.816","2.823","2.640","-4.70%"
"03/16/2023","2.806","2.812","2.849","2.673","4.47%"
"03/15/2023","2.686","3.008","3.025","2.665","-9.41%"
"03/14/2023","2.965","2.761","2.986","2.741","4.77%"
"03/13/2023","2.830","2.987","2.988","2.699","-6.10%"
