"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","18,412.5","18,080.0","18,457.5","18,038.0","","2.90%"
"06/18/2024","17,894.0","17,947.0","18,040.0","17,841.0","85.33K","-0.20%"
"06/17/2024","17,930.0","17,914.0","18,121.0","17,692.0","105.33K","0.09%"
"06/14/2024","17,913.0","18,093.0","18,173.0","17,868.0","110.57K","-1.02%"
"06/13/2024","18,098.0","17,917.0","18,166.0","17,880.0","100.68K","1.03%"
"06/12/2024","17,914.0","18,113.0","18,120.0","17,808.0","109.81K","-1.08%"
"06/11/2024","18,110.0","18,276.0","18,335.0","17,920.0","125.67K","-0.91%"
"06/07/2024","18,276.0","18,420.0","18,564.0","18,221.0","103.90K","-0.78%"
"06/06/2024","18,420.0","18,309.0","18,628.0","18,298.0","109.47K","0.61%"
"06/05/2024","18,308.0","18,314.0","18,634.0","18,228.0","116.40K","-0.36%"
"06/04/2024","18,375.0","18,342.0","18,440.0","18,121.0","105.69K","0.18%"
"06/03/2024","18,342.0","18,006.0","18,488.0","17,951.0","123.40K","1.87%"
"05/31/2024","18,006.0","18,126.0","18,467.0","17,962.0","136.49K","-0.68%"
"05/30/2024","18,129.0","18,425.0","18,459.0","18,093.0","130.16K","-1.63%"
"05/29/2024","18,430.0","18,727.0","18,758.0","18,375.0","113.34K","-1.65%"
"05/28/2024","18,740.0","18,741.0","18,911.0","18,672.0","81.92K","-0.01%"
"05/27/2024","18,741.0","18,537.0","18,781.0","18,427.0","77.19K","1.24%"
"05/24/2024","18,511.0","18,820.0","18,880.0","18,438.0","17.03K","-0.64%"
"05/23/2024","18,631.0","19,086.5","19,086.5","18,619.0","122.78K","-2.82%"
"05/22/2024","19,171.0","19,200.0","19,352.0","19,125.0","93.98K","-0.15%"
"05/21/2024","19,200.0","19,634.0","19,634.0","19,168.0","119.68K","-2.22%"
"05/20/2024","19,636.0","19,543.0","19,772.0","19,505.0","103.52K","0.18%"
"05/17/2024","19,600.0","19,343.0","19,607.0","19,332.0","128.86K","1.55%"
"05/16/2024","19,300.0","19,078.0","19,432.0","18,941.0","139.44K","1.17%"
