"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","2.4705","2.4508","2.4733","2.4508","","0.80%"
"05/27/2024","2.4510","2.4361","2.4660","2.4302","","0.63%"
"05/26/2024","2.4356","2.4338","2.4366","2.4330","","0.91%"
"05/24/2024","2.4136","2.4175","2.4302","2.3897","21.87K","0.07%"
"05/23/2024","2.4118","2.4273","2.4703","2.4009","30.05K","-0.82%"
"05/22/2024","2.4318","2.4587","2.4639","2.4229","26.36K","-1.24%"
"05/21/2024","2.4623","2.4826","2.4840","2.4432","31.79K","-1.00%"
"05/20/2024","2.4871","2.4884","2.5043","2.4598","37.28K","0.03%"
"05/17/2024","2.4863","2.4516","2.4924","2.4509","48.20K","1.74%"
"05/16/2024","2.4437","2.4276","2.4565","2.4187","49.40K","0.85%"
"05/15/2024","2.4231","2.4289","2.4397","2.3764","45.06K","0.13%"
"05/14/2024","2.4200","2.4402","2.4472","2.4014","54.38K","-0.69%"
"05/13/2024","2.4368","2.4314","2.4669","2.4230","53.50K","0.10%"
"05/10/2024","2.4344","2.4836","2.5012","2.4310","50.23K","-1.74%"
"05/09/2024","2.4776","2.4851","2.5102","2.4705","49.21K","0.06%"
"05/08/2024","2.4761","2.4611","2.4872","2.4264","56.05K","0.43%"
"05/07/2024","2.4656","2.4678","2.4814","2.4270","51.47K","0.17%"
"05/06/2024","2.4614","2.4430","2.4770","2.4340","52.51K","0.74%"
"05/03/2024","2.4434","2.4531","2.4625","2.4305","54.09K","0.01%"
"05/02/2024","2.4431","2.4579","2.4749","2.4219","60.72K","-0.36%"
"05/01/2024","2.4519","2.5220","2.5310","2.4458","57.89K","-2.45%"
"04/30/2024","2.5134","2.5355","2.5560","2.4746","2.76K","-0.71%"
"04/29/2024","2.5313","2.5441","2.5702","2.5264","19.32K","-0.66%"
"04/26/2024","2.5482","2.5588","2.5844","2.5447","18.87K","-0.09%"
"04/25/2024","2.5504","2.5557","2.5739","2.5183","20.57K","0.02%"
"04/24/2024","2.5499","2.5747","2.5852","2.5363","22.11K","-1.14%"
"04/23/2024","2.5792","2.5699","2.5888","2.5234","25.94K","0.73%"
"04/22/2024","2.5604","2.5369","2.5705","2.5039","20.05K","0.75%"
"04/19/2024","2.5413","2.5347","2.6488","2.5137","29.61K","0.29%"
"04/18/2024","2.5339","2.5787","2.5869","2.5260","34.69K","-1.58%"
"04/17/2024","2.5747","2.6549","2.6579","2.5620","46.96K","-2.89%"
"04/16/2024","2.6513","2.6654","2.6771","2.6243","34.63K","-0.11%"
"04/15/2024","2.6542","2.7000","2.7108","2.6162","39.56K","-1.15%"
"04/12/2024","2.6851","2.6675","2.7326","2.6651","42.43K","0.95%"
"04/11/2024","2.6598","2.7149","2.7244","2.6528","54.55K","-1.77%"
"04/10/2024","2.7076","2.6743","2.7179","2.6555","58.41K","1.14%"
"04/09/2024","2.6770","2.7296","2.7444","2.6731","49.97K","-1.89%"
"04/08/2024","2.7287","2.7511","2.7556","2.6955","51.98K","-1.60%"
"04/05/2024","2.7730","2.7553","2.7945","2.7479","49.66K","1.16%"
"04/04/2024","2.7413","2.7387","2.7632","2.6933","46.23K","0.33%"
"04/03/2024","2.7324","2.7270","2.7729","2.7135","60.03K","0.76%"
"04/02/2024","2.7119","2.6461","2.7257","2.6356","63.37K","3.23%"
"04/01/2024","2.6271","2.6215","2.6384","2.5787","44.78K","0.44%"
"03/28/2024","2.6156","2.5963","2.6225","2.5791","3.24K","0.65%"
"03/27/2024","2.5986","2.6109","2.6172","2.5884","20.97K","-0.88%"
"03/26/2024","2.6218","2.6845","2.6870","2.6097","24.09K","-2.12%"
"03/25/2024","2.6786","2.6644","2.7062","2.6533","29.06K","0.95%"
"03/22/2024","2.6534","2.6630","2.6904","2.6471","27.59K","-0.58%"
"03/21/2024","2.6688","2.6932","2.7026","2.6360","24.85K","-1.00%"
"03/20/2024","2.6957","2.7540","2.7588","2.6714","34.08K","-2.35%"
"03/19/2024","2.7607","2.7735","2.7812","2.7499","24.39K","-0.99%"
"03/18/2024","2.7882","2.7267","2.7963","2.7242","48.34K","2.24%"
"03/15/2024","2.7270","2.7047","2.7372","2.6767","49.82K","0.67%"
"03/14/2024","2.7088","2.6949","2.7260","2.6875","46.08K","0.88%"
"03/13/2024","2.6851","2.6291","2.7038","2.6226","59.32K","2.62%"
"03/12/2024","2.6165","2.6535","2.6769","2.6081","58.21K","-1.33%"
"03/11/2024","2.6518","2.6300","2.6643","2.5883","56.86K","0.41%"
"03/08/2024","2.6409","2.6981","2.7244","2.6209","50.37K","-2.00%"
"03/07/2024","2.6947","2.6595","2.7125","2.6416","59.38K","1.18%"
"03/06/2024","2.6633","2.6004","2.6810","2.5912","52.04K","2.18%"
"03/05/2024","2.6065","2.6495","2.6663","2.5988","43.59K","-1.54%"
"03/04/2024","2.6472","2.7129","2.7129","2.6354","53.20K","-2.11%"
"03/01/2024","2.7042","2.6523","2.7240","2.6417","53.35K","0.76%"
"02/29/2024","2.6838","2.6408","2.7050","2.6150","4.80K","0.96%"
"02/28/2024","2.6583","2.7386","2.7521","2.6414","20.37K","-3.19%"
"02/27/2024","2.7460","2.7717","2.7860","2.7339","19.69K","-0.60%"
"02/26/2024","2.7627","2.6891","2.7740","2.6650","28.08K","2.71%"
"02/23/2024","2.6897","2.7472","2.7501","2.6700","33.43K","-2.26%"
"02/22/2024","2.7520","2.7168","2.7566","2.6654","31.91K","1.73%"
"02/21/2024","2.7052","2.7410","2.7417","2.6819","35.72K","-0.96%"
"02/20/2024","2.7315","2.8066","2.8224","2.7274","44.53K","-2.96%"
"02/19/2024","2.8148","2.7946","2.8221","2.7601","","0.29%"
"02/16/2024","2.8066","2.8181","2.8233","2.7520","56.44K","-0.61%"
"02/15/2024","2.8237","2.8014","2.8623","2.7708","62.62K","0.48%"
"02/14/2024","2.8101","2.8965","2.9108","2.8000","79.30K","-2.96%"
