"Date","Price","Open","High","Low","Change %"
"05/28/2024","3.757","3.785","3.785","3.757","-0.74%"
"05/27/2024","3.786","3.767","3.786","3.767","-1.37%"
"05/24/2024","3.838","3.814","3.855","3.814","0.63%"
"05/23/2024","3.814","3.820","3.824","3.814","-0.16%"
"05/22/2024","3.820","3.799","3.820","3.799","0.08%"
"05/21/2024","3.817","3.825","3.836","3.817","-0.21%"
"05/20/2024","3.825","3.804","3.825","3.804","1.67%"
"05/17/2024","3.762","3.740","3.770","3.740","0.59%"
"05/16/2024","3.740","3.875","3.875","3.740","-1.98%"
"05/15/2024","3.816","3.816","3.816","3.816","-1.54%"
"05/14/2024","3.875","3.875","3.875","3.874","0.00%"
"05/13/2024","3.875","3.869","3.875","3.869","1.04%"
"05/10/2024","3.835","3.883","3.883","3.833","-1.26%"
"05/09/2024","3.884","3.837","3.884","3.837","1.22%"
"05/08/2024","3.837","3.837","3.837","3.837","0.05%"
"05/07/2024","3.835","3.869","3.869","3.835","-0.88%"
"05/06/2024","3.869","3.901","3.901","3.869","-2.64%"
"05/03/2024","3.974","4.025","4.025","3.972","-1.27%"
"05/02/2024","4.025","4.035","4.045","4.025","1.25%"
"05/01/2024","3.976","3.975","3.976","3.975","-1.47%"
"04/30/2024","4.035","4.008","4.035","4.008","0.67%"
"04/29/2024","4.008","4.017","4.017","4.008","-0.22%"
"04/26/2024","4.017","3.985","4.036","3.985","0.80%"
"04/25/2024","3.985","3.933","3.985","3.933","1.32%"
"04/24/2024","3.933","3.931","3.933","3.931","0.28%"
"04/23/2024","3.922","3.954","3.954","3.922","-0.81%"
"04/22/2024","3.954","3.975","3.975","3.954","0.00%"
"04/19/2024","3.954","3.955","3.955","3.880","-0.03%"
"04/18/2024","3.955","3.951","3.955","3.951","-1.79%"
"04/17/2024","4.027","4.014","4.027","4.014","0.32%"
"04/16/2024","4.014","3.943","4.014","3.943","1.80%"
"04/15/2024","3.943","3.912","3.943","3.912","0.03%"
"04/12/2024","3.942","3.962","3.962","3.942","-0.50%"
"04/11/2024","3.962","3.830","3.962","3.830","3.45%"
"04/10/2024","3.830","3.880","3.880","3.830","-1.29%"
"04/09/2024","3.880","3.912","3.912","3.880","-0.82%"
"04/08/2024","3.912","3.899","3.912","3.899","2.30%"
"04/05/2024","3.824","3.884","3.884","3.822","-0.03%"
"04/04/2024","3.825","3.825","3.825","3.825","-1.52%"
"04/03/2024","3.884","3.857","3.884","3.857","0.70%"
"04/02/2024","3.857","3.756","3.857","3.756","4.29%"
"04/01/2024","3.698","3.698","3.698","3.698","0.00%"
"03/29/2024","3.698","3.698","3.698","3.698","-1.54%"
"03/28/2024","3.756","3.778","3.778","3.756","-0.58%"
"03/27/2024","3.778","3.799","3.799","3.778","-0.55%"
"03/26/2024","3.799","3.778","3.808","3.778","0.56%"
"03/25/2024","3.778","3.781","3.781","3.778","-1.28%"
"03/22/2024","3.827","3.842","3.842","3.827","-0.39%"
"03/21/2024","3.842","3.858","3.858","3.837","-0.41%"
"03/20/2024","3.858","3.888","3.888","3.858","-0.77%"
"03/19/2024","3.888","3.881","3.888","3.881","0.18%"
"03/18/2024","3.881","3.881","3.881","3.881","0.81%"
"03/15/2024","3.850","3.772","3.850","3.772","2.07%"
"03/14/2024","3.772","3.703","3.772","3.703","1.86%"
"03/13/2024","3.703","3.678","3.708","3.678","0.68%"
"03/12/2024","3.678","3.673","3.678","3.673","0.14%"
"03/11/2024","3.673","3.674","3.674","3.673","-0.49%"
"03/08/2024","3.691","3.738","3.738","3.691","-1.26%"
"03/07/2024","3.738","3.737","3.738","3.737","-0.29%"
"03/06/2024","3.749","3.813","3.813","3.749","-1.68%"
"03/05/2024","3.813","3.822","3.822","3.813","-0.24%"
"03/04/2024","3.822","3.802","3.822","3.802","-1.06%"
"03/01/2024","3.863","3.855","3.863","3.852","0.21%"
"02/29/2024","3.855","3.852","3.855","3.842","0.10%"
"02/28/2024","3.851","3.854","3.854","3.851","0.23%"
"02/27/2024","3.842","3.831","3.842","3.831","1.37%"
"02/26/2024","3.790","3.790","3.790","3.790","-2.12%"
"02/23/2024","3.872","3.848","3.875","3.848","0.62%"
"02/22/2024","3.848","3.848","3.848","3.848","0.81%"
"02/21/2024","3.817","3.818","3.818","3.817","-0.81%"
"02/20/2024","3.848","3.857","3.857","3.848","-0.23%"
"02/19/2024","3.857","3.857","3.857","3.857","0.81%"
"02/16/2024","3.826","3.785","3.826","3.785","1.08%"
"02/15/2024","3.785","3.790","3.790","3.785","-1.43%"
"02/14/2024","3.840","3.851","3.851","3.840","5.54%"
"02/13/2024","3.638","3.638","3.638","3.638","0.00%"
"02/12/2024","3.638","3.638","3.638","3.638","-1.53%"
"02/09/2024","3.695","3.665","3.695","3.661","0.93%"
"02/08/2024","3.661","3.665","3.665","3.661","0.41%"
"02/07/2024","3.646","3.663","3.663","3.638","-0.46%"
"02/06/2024","3.663","3.626","3.682","3.626","1.02%"
"02/05/2024","3.626","3.620","3.626","3.620","4.77%"
"02/02/2024","3.461","3.435","3.461","3.435","-1.34%"
"02/01/2024","3.508","3.502","3.508","3.502","-1.98%"
"01/31/2024","3.579","3.574","3.579","3.574","0.14%"
"01/30/2024","3.574","3.619","3.619","3.574","-1.24%"
"01/29/2024","3.619","3.619","3.619","3.619","0.61%"
"01/26/2024","3.597","3.592","3.597","3.592","-0.85%"
"01/25/2024","3.628","3.644","3.644","3.628","1.54%"
"01/24/2024","3.573","3.592","3.592","3.573","-0.47%"
"01/23/2024","3.590","3.601","3.601","3.590","-0.31%"
"01/22/2024","3.601","3.598","3.601","3.598","-1.02%"
