"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","11,332.0","11,353.0","11,373.5","11,330.0","","-0.08%"
"05/27/2024","11,340.7","11,274.0","11,361.0","11,254.0","4.38K","0.67%"
"05/24/2024","11,265.5","11,280.0","11,283.0","11,184.0","7.72K","-0.47%"
"05/23/2024","11,319.2","11,364.0","11,382.0","11,283.0","6.48K","-0.27%"
"05/22/2024","11,349.3","11,363.0","11,378.0","11,290.0","4.98K","-0.07%"
"05/21/2024","11,357.8","11,319.0","11,395.0","11,312.0","5.55K","-0.05%"
"05/20/2024","11,363.8","11,366.0","11,395.0","11,325.0","4.20K","0.53%"
"05/17/2024","11,303.6","11,290.0","11,340.0","11,261.0","0.77K","0.10%"
"05/16/2024","11,292.8","11,380.0","11,385.0","11,279.0","11.98K","-0.70%"
"05/15/2024","11,372.7","11,269.0","11,380.0","11,248.0","16.56K","1.18%"
"05/14/2024","11,240.4","11,150.0","11,252.0","11,140.0","18.41K","0.83%"
"05/13/2024","11,147.5","11,122.0","11,161.0","11,077.0","12.05K","0.25%"
"05/10/2024","11,119.7","11,058.0","11,143.0","11,029.0","8.71K","0.53%"
"05/09/2024","11,060.8","11,140.0","11,166.0","11,010.0","8.89K","-0.91%"
"05/08/2024","11,162.2","11,089.0","11,172.0","11,079.0","7.28K","0.63%"
"05/07/2024","11,092.6","10,992.0","11,103.0","10,963.0","7.64K","1.43%"
"05/06/2024","10,936.5","10,889.0","10,966.0","10,857.0","7.00K","0.75%"
"05/03/2024","10,855.5","10,907.0","10,968.0","10,832.0","10.06K","-0.20%"
"05/02/2024","10,877.1","10,882.0","10,922.0","10,854.0","10.78K","0.11%"
"05/01/2024","10,865.0","10,865.0","10,865.0","10,865.0","","0.14%"
"04/30/2024","10,849.5","11,100.0","11,115.0","10,837.0","12.61K","-2.47%"
"04/29/2024","11,123.7","11,172.0","11,239.0","11,063.0","10.10K","0.00%"
"04/26/2024","11,123.9","11,002.0","11,129.0","10,996.0","7.18K","1.76%"
"04/25/2024","10,931.1","10,976.0","11,049.0","10,842.0","9.61K","-0.47%"
"04/24/2024","10,982.2","11,093.0","11,095.0","10,965.0","8.11K","-0.53%"
"04/23/2024","11,040.5","10,872.0","11,057.0","10,866.0","7.97K","1.67%"
"04/22/2024","10,859.6","10,751.0","10,898.0","10,749.0","8.52K","1.20%"
"04/19/2024","10,731.3","10,654.0","10,735.0","10,611.0","1.89K","-0.40%"
"04/18/2024","10,774.9","10,669.0","10,782.0","10,669.0","9.65K","1.23%"
"04/17/2024","10,644.0","10,536.0","10,710.0","10,512.0","22.86K","1.14%"
"04/16/2024","10,523.7","10,568.0","10,610.0","10,500.0","30.62K","-1.37%"
"04/15/2024","10,670.0","10,703.0","10,755.0","10,623.0","18.93K","0.18%"
"04/12/2024","10,651.0","10,653.0","10,747.0","10,622.0","0.70K","0.30%"
"04/11/2024","10,619.0","10,750.0","10,750.0","10,569.0","0.77K","-1.15%"
"04/10/2024","10,743.0","10,838.0","10,850.0","10,677.0","0.46K","-0.45%"
"04/09/2024","10,792.0","10,883.0","10,883.0","10,788.0","0.12K","-0.89%"
"04/08/2024","10,889.0","10,902.0","10,905.0","10,863.0","0.04K","0.36%"
"04/05/2024","10,850.0","10,890.0","10,909.0","10,835.0","0.03K","-1.67%"
"04/04/2024","11,034.0","10,956.0","11,041.0","10,956.0","0.01K","0.57%"
"04/03/2024","10,971.0","10,949.0","10,977.0","10,949.0","0.01K","0.50%"
"04/02/2024","10,916.0","11,002.0","11,002.0","10,907.0","0.01K","-1.31%"
"03/29/2024","11,061.0","11,061.0","11,061.0","11,061.0","","0.27%"
"03/28/2024","11,031.0","11,021.0","11,021.0","11,021.0","0.00K","0.02%"
"03/27/2024","11,029.0","10,932.0","11,048.0","10,932.0","0.01K","1.08%"
"03/26/2024","10,911.0","10,908.0","10,908.0","10,898.0","0.00K","0.40%"
"03/25/2024","10,867.0","10,851.0","10,881.0","10,851.0","0.00K","0.03%"
"03/22/2024","10,864.0","10,758.0","10,828.0","10,753.0","0.01K","0.64%"
"03/21/2024","10,795.0","10,760.0","10,832.0","10,760.0","0.01K","1.28%"
"03/20/2024","10,659.0","10,650.0","10,754.0","10,632.0","7.20K","0.35%"
"03/19/2024","10,622.0","10,519.0","10,600.0","10,519.0","0.00K","1.11%"
"03/18/2024","10,505.0","10,535.0","10,550.0","10,483.0","0.01K","-0.68%"
"03/15/2024","10,576.6","10,443.0","10,602.0","10,443.0","13.27K","1.21%"
"03/14/2024","10,450.0","10,529.0","10,575.0","10,429.0","8.78K","-0.84%"
"03/13/2024","10,538.0","10,372.0","10,562.0","10,345.0","17.75K","1.76%"
"03/12/2024","10,356.0","10,339.0","10,367.0","10,309.0","16.30K","0.65%"
"03/11/2024","10,289.0","10,233.0","10,300.0","10,226.0","12.95K","0.16%"
"03/08/2024","10,273.0","10,296.0","10,324.0","10,235.0","0.67K","-0.22%"
"03/07/2024","10,296.0","10,129.0","10,324.0","10,128.0","0.21K","1.30%"
"03/06/2024","10,164.0","10,141.0","10,201.0","10,141.0","0.73K","0.86%"
"03/05/2024","10,077.0","10,020.0","10,086.0","10,020.0","0.16K","0.45%"
"03/04/2024","10,032.0","10,000.0","10,036.0","10,000.0","0.01K","0.14%"
"03/01/2024","10,018.0","10,059.0","10,059.0","10,025.0","0.00K","0.43%"
"02/29/2024","9,975.0","10,025.0","10,025.0","9,953.0","0.10K","-0.58%"
"02/28/2024","10,033.0","10,055.0","10,055.0","10,055.0","0.57K","-0.53%"
"02/27/2024","10,086.0","10,025.0","10,072.0","10,025.0","0.01K","-0.23%"
"02/26/2024","10,109.0","10,143.0","10,179.0","10,124.0","6.64K","0.10%"
"02/23/2024","10,099.0","10,045.0","10,075.0","10,035.0","0.01K","-0.11%"
"02/22/2024","10,110.0","10,103.0","10,148.0","10,103.0","0.01K","0.34%"
"02/21/2024","10,076.0","10,045.0","10,091.0","10,044.0","0.01K","0.62%"
"02/20/2024","10,014.0","9,957.0","9,971.0","9,957.0","0.01K","0.94%"
"02/19/2024","9,921.0","9,927.0","9,927.0","9,922.0","0.01K","0.06%"
"02/16/2024","9,915.0","10,001.0","10,019.0","9,874.0","11.80K","-0.37%"
"02/15/2024","9,952.0","9,992.0","10,000.0","9,889.0","9.46K","-0.03%"
"02/14/2024","9,955.0","9,958.0","10,025.0","9,934.0","16.57K","-0.05%"
"02/13/2024","9,960.0","10,009.0","10,041.0","9,930.0","13.67K","-0.58%"
"02/12/2024","10,018.0","9,949.0","10,034.0","9,949.0","6.60K","0.79%"
"02/09/2024","9,939.0","9,920.0","9,975.0","9,896.0","0.18K","-0.10%"
"02/08/2024","9,949.0","9,937.0","9,988.0","9,937.0","0.36K","0.22%"
"02/07/2024","9,927.0","10,029.0","10,029.0","9,929.0","0.12K","-1.25%"
"02/06/2024","10,053.0","10,040.0","10,056.0","10,011.0","0.20K","0.76%"
"02/05/2024","9,977.0","10,096.0","10,104.0","9,990.0","0.03K","-1.29%"
"02/02/2024","10,107.0","10,110.0","10,110.0","10,102.0","0.00K","0.64%"
"02/01/2024","10,043.0","10,169.0","10,185.0","10,040.0","0.02K","-0.85%"
"01/31/2024","10,129.0","10,148.0","10,159.0","10,124.0","0.01K","0.32%"
"01/30/2024","10,097.0","10,015.0","10,105.0","10,015.0","0.07K","1.59%"
"01/29/2024","9,939.0","9,954.0","9,954.0","9,925.0","0.02K","-0.59%"
"01/26/2024","9,998.0","9,974.0","9,993.0","9,963.0","0.01K","0.31%"
"01/25/2024","9,967.0","10,014.0","10,014.0","9,930.0","0.01K","-0.55%"
"01/24/2024","10,022.0","9,957.0","10,030.0","9,957.0","0.01K","1.11%"
"01/23/2024","9,912.0","9,941.0","9,945.0","9,904.0","0.03K","-1.12%"
"01/22/2024","10,024.0","9,995.0","10,015.0","9,995.0","0.01K","1.36%"
"01/19/2024","9,889.2","9,940.0","9,961.0","9,856.0","11.39K","-0.16%"
"01/18/2024","9,905.0","9,907.0","9,932.0","9,825.0","12.05K","0.08%"
"01/17/2024","9,897.0","9,944.0","9,956.0","9,857.0","18.11K","-1.26%"
"01/16/2024","10,023.0","10,065.0","10,081.0","9,984.0","17.72K","-0.93%"
"01/15/2024","10,117.0","10,152.0","10,174.0","10,080.0","2.27K","0.00%"
"01/12/2024","10,117.0","10,094.0","10,160.0","10,065.0","1.81K","0.75%"
"01/11/2024","10,042.0","10,150.0","10,180.0","10,043.0","0.63K","-0.65%"
"01/10/2024","10,108.0","10,050.0","10,105.0","10,050.0","0.02K","0.06%"
"01/09/2024","10,102.0","10,200.0","10,200.0","10,025.0","0.04K","-1.01%"
"01/08/2024","10,205.0","10,102.0","10,215.0","10,102.0","0.01K","0.41%"
"01/05/2024","10,163.0","10,100.0","10,189.0","10,100.0","0.01K","-0.26%"
"01/04/2024","10,189.0","10,075.0","10,135.0","10,075.0","0.01K","1.30%"
"01/03/2024","10,058.0","10,182.0","10,182.0","10,069.0","0.04K","-1.24%"
"01/02/2024","10,184.0","10,164.0","10,255.0","10,139.0","0.02K","0.76%"
"12/29/2023","10,107.0","10,133.0","10,133.0","10,133.0","0.00K","0.05%"
"12/28/2023","10,102.0","10,141.0","10,146.0","10,060.0","0.01K","-0.42%"
"12/27/2023","10,145.0","10,175.0","10,175.0","10,175.0","0.01K","0.24%"
"12/22/2023","10,121.0","10,140.0","10,140.0","10,140.0","0.01K","0.01%"
"12/21/2023","10,120.0","10,080.0","10,085.0","10,080.0","0.01K","-0.03%"
"12/20/2023","10,123.0","10,133.0","10,154.0","10,030.0","7.94K","-0.02%"
