"Date","Price","Open","High","Low","Change %"
"05/28/2024","3.875","3.839","3.879","3.829","1.15%"
"05/27/2024","3.831","3.888","3.903","3.818","-1.21%"
"05/24/2024","3.878","3.888","3.925","3.859","-0.23%"
"05/23/2024","3.887","3.820","3.908","3.792","1.49%"
"05/22/2024","3.830","3.847","3.868","3.793","0.68%"
"05/21/2024","3.804","3.813","3.829","3.782","-0.31%"
"05/20/2024","3.816","3.827","3.846","3.774","0.03%"
"05/17/2024","3.815","3.764","3.816","3.758","1.44%"
"05/16/2024","3.761","3.719","3.763","3.689","1.02%"
"05/15/2024","3.723","3.855","3.869","3.723","-4.17%"
"05/14/2024","3.885","3.861","3.907","3.833","0.83%"
"05/13/2024","3.853","3.835","3.859","3.808","-0.26%"
"05/10/2024","3.863","3.794","3.863","3.779","0.86%"
"05/09/2024","3.830","3.824","3.863","3.804","0.90%"
"05/08/2024","3.796","3.791","3.816","3.771","0.88%"
"05/07/2024","3.763","3.782","3.803","3.748","-1.03%"
"05/06/2024","3.802","3.763","3.804","3.739","0.11%"
"05/03/2024","3.798","3.843","3.871","3.754","-1.35%"
"05/02/2024","3.850","3.873","3.901","3.831","-0.72%"
"05/01/2024","3.878","3.829","3.878","3.877","0.00%"
"04/30/2024","3.878","3.829","3.891","3.803","1.70%"
"04/29/2024","3.813","3.871","3.879","3.802","-1.85%"
"04/26/2024","3.885","3.944","3.991","3.860","-2.51%"
"04/25/2024","3.985","3.957","4.028","3.911","0.89%"
"04/24/2024","3.950","3.859","3.961","3.811","3.87%"
"04/23/2024","3.803","3.797","3.859","3.778","-0.39%"
"04/22/2024","3.818","3.896","3.914","3.811","-2.40%"
"04/19/2024","3.912","3.867","3.913","3.829","0.51%"
"04/18/2024","3.892","3.843","3.897","3.806","0.78%"
"04/17/2024","3.862","3.912","3.934","3.833","-1.10%"
"04/16/2024","3.905","3.862","3.933","3.832","1.98%"
"04/15/2024","3.829","3.756","3.847","3.736","2.68%"
"04/12/2024","3.729","3.795","3.831","3.692","-3.07%"
"04/11/2024","3.847","3.800","3.871","3.766","1.99%"
"04/10/2024","3.772","3.772","3.772","3.772","1.48%"
