"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","548.10","549.80","553.00","547.30","2.33K","0.40%"
"05/24/2024","545.90","538.80","546.90","535.60","4.20K","1.15%"
"05/23/2024","539.70","542.80","550.90","539.10","5.38K","-0.33%"
"05/22/2024","541.50","544.40","546.10","540.70","4.05K","-0.53%"
"05/21/2024","544.40","552.00","555.00","544.00","5.45K","-1.16%"
"05/20/2024","550.80","535.80","552.00","535.80","8.75K","3.01%"
"05/17/2024","534.70","538.30","542.00","533.20","4.23K","-0.30%"
"05/16/2024","536.30","541.60","542.80","527.70","7.75K","-1.29%"
"05/15/2024","543.30","552.60","553.80","541.30","8.60K","-1.75%"
"05/14/2024","553.00","550.40","555.90","541.60","7.97K","0.67%"
"05/13/2024","549.30","570.10","571.10","549.00","11.17K","-3.39%"
"05/10/2024","568.60","576.30","576.90","568.30","4.37K","-1.01%"
"05/09/2024","574.40","576.10","581.50","571.20","4.87K","-0.02%"
"05/08/2024","574.50","584.20","585.10","571.00","6.35K","-1.91%"
"05/07/2024","585.70","574.70","586.40","566.00","8.56K","2.22%"
"05/03/2024","573.00","570.20","576.80","568.70","4.31K","0.44%"
"05/02/2024","570.50","569.60","575.60","566.50","5.59K","0.39%"
"05/01/2024","568.30","568.90","572.50","565.00","5.22K","-0.18%"
"04/30/2024","569.30","572.30","573.90","565.10","3.73K","-0.78%"
"04/29/2024","573.80","566.60","574.00","561.10","7.74K","1.70%"
"04/26/2024","564.20","565.00","574.90","562.30","6.02K","0.11%"
"04/25/2024","563.60","573.20","573.90","560.40","7.19K","-2.25%"
"04/24/2024","576.60","573.60","577.90","572.40","5.76K","0.59%"
"04/23/2024","573.20","570.90","577.50","570.20","5.83K","0.49%"
"04/22/2024","570.40","568.50","576.00","568.30","6.78K","1.22%"
"04/19/2024","563.50","571.00","574.40","561.60","8.90K","-0.95%"
"04/18/2024","568.90","562.10","572.20","560.00","10.76K","1.72%"
"04/17/2024","559.30","568.00","568.70","555.80","14.27K","-1.88%"
"04/16/2024","570.00","580.30","580.30","565.60","11.87K","-7.35%"
