"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","23,039.00","23,090.00","23,144.00","23,028.00","","-0.27%"
"05/27/2024","23,100.45","23,150.00","23,271.25","23,032.60","3.34M","-0.04%"
"05/24/2024","23,109.15","23,105.00","23,185.00","23,045.50","1.67M","0.08%"
"05/23/2024","23,091.75","22,762.15","23,109.85","22,747.85","2.84M","1.48%"
"05/22/2024","22,754.10","22,693.80","22,777.00","22,646.15","971.38K","0.21%"
"05/21/2024","22,705.40","22,637.65","22,775.45","22,613.40","1.05M","0.72%"
"05/18/2024","22,543.90","22,530.25","22,549.70","22,502.10","770.75K","-0.26%"
"05/17/2024","22,602.45","22,583.00","22,644.00","22,512.50","1.22M","0.22%"
"05/16/2024","22,552.65","22,420.25","22,590.30","22,267.90","2.03M","0.72%"
"05/15/2024","22,390.35","22,438.30","22,485.00","22,325.15","916.33K","-0.13%"
"05/14/2024","22,418.55","22,325.00","22,469.90","22,267.00","1.64M","0.48%"
"05/13/2024","22,311.90","22,229.00","22,339.00","22,015.20","1.49M","0.27%"
"05/10/2024","22,252.85","22,235.00","22,342.00","22,170.35","887.65K","0.29%"
"05/09/2024","22,189.40","22,507.00","22,507.05","22,161.05","1.49M","-1.40%"
"05/08/2024","22,504.70","22,480.00","22,599.00","22,399.05","786.95K","0.05%"
"05/07/2024","22,494.05","22,640.00","22,697.15","22,425.00","816.18K","-0.72%"
"05/06/2024","22,656.60","22,702.70","22,790.95","22,618.80","483.48K","0.36%"
"05/03/2024","22,575.20","22,850.00","22,888.35","22,470.00","10.96M","-0.87%"
"05/02/2024","22,773.95","22,702.05","22,808.40","22,688.05","4.80M","0.24%"
"04/30/2024","22,718.30","22,773.45","22,850.00","22,698.00","5.50M","-0.14%"
"04/29/2024","22,750.55","22,610.00","22,764.80","22,564.00","5.76M","0.86%"
"04/26/2024","22,556.00","22,684.00","22,705.00","22,530.00","6.24M","-0.06%"
"04/25/2024","22,570.35","22,370.00","22,647.15","22,317.00","9.46M","0.69%"
"04/24/2024","22,414.70","22,440.00","22,488.00","22,382.00","5.55M","0.20%"
"04/23/2024","22,371.05","22,448.00","22,448.00","22,345.00","4.87M","0.06%"
"04/22/2024","22,358.20","22,261.25","22,399.00","22,186.00","5.88M","1.04%"
"04/19/2024","22,128.70","21,989.90","22,168.90","21,813.60","12.45M","0.33%"
"04/18/2024","22,055.20","22,229.90","22,342.90","22,027.55","13.52M","-0.66%"
"04/16/2024","22,200.75","22,176.55","22,249.80","22,113.85","7.85M","-0.70%"
"04/15/2024","22,357.30","22,420.00","22,517.70","22,342.00","8.98M","-1.08%"
"04/12/2024","22,601.45","22,738.05","22,767.40","22,590.00","8.51M","-0.92%"
"04/10/2024","22,812.40","22,785.90","22,829.00","22,753.00","3.98M","0.34%"
"04/09/2024","22,735.35","22,820.00","22,845.00","22,702.15","5.72M","-0.06%"
"04/08/2024","22,748.50","22,653.00","22,773.30","22,625.10","5.49M","0.68%"
"04/05/2024","22,595.50","22,570.00","22,618.00","22,505.10","4.34M","-0.07%"
"04/04/2024","22,612.25","22,640.05","22,669.00","22,420.05","10.92M","0.31%"
"04/03/2024","22,542.60","22,486.00","22,630.75","22,450.00","6.28M","-0.15%"
"04/02/2024","22,577.50","22,580.00","22,611.55","22,507.10","4.19M","-0.11%"
"04/01/2024","22,602.60","22,539.95","22,647.00","22,515.10","6.38M","1.23%"
"03/28/2024","22,326.90","22,194.35","22,528.80","22,183.95","8.17M","0.72%"
"03/27/2024","22,167.05","22,099.00","22,210.00","22,081.55","5.92M","0.36%"
"03/26/2024","22,088.55","22,026.25","22,150.00","21,850.00","6.60M","-0.35%"
"03/22/2024","22,165.45","22,060.00","22,258.00","21,953.85","8.48M","0.28%"
"03/21/2024","22,102.50","22,070.00","22,149.00","22,020.00","6.65M","0.88%"
"03/20/2024","21,910.05","21,900.00","21,988.80","21,798.05","6.89M","0.11%"
"03/19/2024","21,886.50","22,070.00","22,094.00","21,868.00","7.63M","-1.12%"
"03/18/2024","22,135.45","22,143.95","22,219.65","22,018.25","5.93M","0.01%"
"03/15/2024","22,133.20","22,185.65","22,192.75","22,000.00","8.99M","-0.59%"
"03/14/2024","22,264.55","22,080.00","22,329.60","22,034.80","8.93M","0.73%"
"03/13/2024","22,103.25","22,505.00","22,515.00","22,025.00","11.45M","-1.53%"
"03/12/2024","22,447.05","22,447.90","22,537.90","22,378.00","6.12M","0.11%"
"03/11/2024","22,421.35","22,608.00","22,608.00","22,392.50","6.20M","-0.58%"
"03/07/2024","22,552.35","22,602.05","22,619.90","22,526.30","5.31M","-0.18%"
"03/06/2024","22,593.05","22,398.00","22,605.00","22,322.00","9.38M","0.71%"
"03/05/2024","22,433.25","22,500.00","22,517.25","22,352.00","6.23M","-0.29%"
"03/04/2024","22,497.95","22,510.00","22,544.95","22,466.00","3.78M","-0.02%"
"03/02/2024","22,502.00","22,502.45","22,547.00","22,443.50","1.38M","0.26%"
"03/01/2024","22,443.20","22,203.00","22,453.45","22,180.20","9.03M","2.09%"
"02/29/2024","21,982.80","21,902.00","22,029.95","21,843.00","7.16M","0.28%"
"02/28/2024","21,921.35","22,196.85","22,225.00","21,890.00","7.36M","-1.27%"
"02/27/2024","22,203.05","22,120.00","22,229.30","22,095.10","6.17M","0.28%"
"02/26/2024","22,141.65","22,195.00","22,230.60","22,088.00","5.98M","-0.39%"
"02/23/2024","22,228.85","22,285.10","22,344.45","22,207.00","6.03M","-0.69%"
"02/22/2024","22,383.20","22,218.50","22,410.00","22,093.60","2.29M","0.77%"
"02/21/2024","22,211.80","22,397.95","22,409.00","22,175.00","1.35M","-0.66%"
"02/20/2024","22,359.15","22,307.00","22,372.75","22,225.40","701.70K","0.21%"
"02/19/2024","22,312.05","22,299.95","22,399.00","22,201.50","673.35K","0.31%"
