"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2024","116,790","118,300","118,630","116,520","78.10K","-1.33%"
"05/24/2024","118,360","119,200","119,560","116,910","98.69K","-0.68%"
"05/23/2024","119,170","118,720","119,440","117,510","63.16K","0.32%"
"05/22/2024","118,790","118,470","119,340","118,390","48.08K","0.25%"
"05/21/2024","118,490","119,030","119,030","116,500","103.76K","-0.42%"
"05/20/2024","118,990","120,170","120,880","118,880","79.18K","-1.02%"
"05/17/2024","120,220","119,210","120,450","119,180","90.92K","0.83%"
"05/16/2024","119,230","118,600","119,550","118,450","49.82K","0.51%"
"05/15/2024","118,630","117,430","118,760","117,330","48.18K","1.01%"
"05/14/2024","117,440","117,650","117,840","117,070","39.90K","-0.14%"
"05/13/2024","117,600","116,440","117,640","116,360","52.20K","0.97%"
"05/10/2024","116,470","116,230","116,740","115,950","29.17K","0.17%"
"05/08/2024","116,270","116,400","116,660","115,730","40.83K","-0.06%"
"05/07/2024","116,340","115,580","116,540","115,350","52.99K","0.59%"
"05/06/2024","115,660","115,700","116,130","114,480","59.58K","-0.11%"
"05/03/2024","115,790","115,250","115,870","114,910","37.39K","0.54%"
"05/02/2024","115,170","115,330","116,390","114,800","52.05K","-0.22%"
"04/30/2024","115,420","115,420","115,770","114,740","29.72K","-0.12%"
"04/29/2024","115,560","115,700","115,920","114,730","31.71K","-0.85%"
"04/26/2024","116,550","115,200","116,620","115,150","68.88K","1.10%"
"04/25/2024","115,280","114,920","115,380","114,080","64.17K","0.27%"
"04/24/2024","114,970","114,140","115,170","114,140","68.39K","0.69%"
"04/23/2024","114,180","115,550","116,370","114,060","70.39K","-1.16%"
"04/22/2024","115,520","115,780","116,200","115,110","46.43K","-0.23%"
"04/19/2024","115,790","114,750","116,030","114,570","59.93K","0.95%"
"04/18/2024","114,700","113,760","114,860","113,060","57.20K","0.80%"
"04/17/2024","113,790","113,740","114,250","113,190","58.22K","0.08%"
"04/16/2024","113,700","115,240","115,340","113,620","56.37K","-1.35%"
"04/15/2024","115,260","115,230","115,560","114,530","44.19K","0.01%"
"04/12/2024","115,250","114,350","115,590","113,850","51.16K","0.84%"
"04/11/2024","114,290","113,520","114,410","113,020","47.76K","0.70%"
"04/10/2024","113,490","113,250","113,850","112,420","70.72K","0.19%"
"04/09/2024","113,270","114,500","114,860","113,160","54.17K","-1.07%"
"04/08/2024","114,500","113,840","114,600","113,560","41.39K","0.59%"
"04/05/2024","113,830","114,400","114,640","113,300","48.80K","-0.56%"
"04/04/2024","114,470","113,980","114,550","113,760","44.69K","0.40%"
"04/03/2024","114,010","113,230","114,100","113,050","47.20K","0.79%"
"04/02/2024","113,120","113,050","113,330","112,380","44.87K","0.04%"
"04/01/2024","113,080","112,260","113,170","112,120","46.05K","0.71%"
"03/29/2024","112,280","111,600","112,420","111,510","49.33K","0.63%"
"03/28/2024","111,580","111,590","111,980","111,130","48.10K","0.04%"
"03/27/2024","111,530","110,120","111,620","110,050","61.66K","1.26%"
"03/26/2024","110,140","110,260","110,850","110,050","50.04K","-0.01%"
"03/25/2024","110,150","110,040","110,300","108,000","101.82K","0.11%"
"03/22/2024","110,030","111,970","112,060","109,820","75.83K","-2.08%"
"03/21/2024","112,366","111,870","113,040","111,810","25.07K","0.48%"
"03/20/2024","111,830","111,410","112,130","110,840","51.66K","0.33%"
"03/19/2024","111,460","113,250","113,350","110,870","71.70K","-1.44%"
"03/18/2024","113,090","112,030","113,830","111,710","55.32K","0.84%"
"03/15/2024","112,150","112,970","113,480","112,020","67.85K","-0.82%"
"03/14/2024","113,080","113,930","114,090","112,630","72.86K","-0.75%"
"03/13/2024","113,940","114,260","115,100","113,810","71.13K","-0.27%"
"03/12/2024","114,250","114,810","115,020","113,910","69.93K","-0.50%"
"03/11/2024","114,820","114,730","115,840","114,720","54.41K","0.03%"
"03/07/2024","114,780","114,890","115,080","114,030","47.34K","-0.13%"
"03/06/2024","114,930","114,930","115,450","114,420","60.41K","0.16%"
"03/05/2024","114,750","114,020","114,990","113,620","47.22K","0.71%"
"03/04/2024","113,940","112,550","114,060","112,510","50.46K","1.15%"
"03/01/2024","112,650","113,080","113,110","112,260","44.00K","-0.45%"
"02/29/2024","113,160","111,860","113,280","111,630","59.67K","1.12%"
"02/28/2024","111,910","110,250","111,930","110,140","63.03K","1.50%"
"02/27/2024","110,260","110,370","110,820","110,020","43.79K","-0.10%"
"02/26/2024","110,370","107,800","110,720","107,180","84.34K","2.37%"
"02/22/2024","107,810","107,800","109,000","107,250","77.79K","0.06%"
"02/21/2024","107,740","109,870","109,870","107,570","95.79K","-1.87%"
"02/20/2024","109,790","111,200","111,310","109,700","59.33K","-1.27%"
"02/19/2024","111,200","111,650","111,840","110,800","53.51K","-0.37%"
"02/16/2024","111,610","112,060","112,680","111,110","68.60K","-0.30%"
"02/15/2024","111,950","112,360","112,690","111,560","69.01K","-0.40%"
"02/14/2024","112,400","112,750","113,500","112,370","48.99K","-0.33%"
"02/13/2024","112,770","112,990","113,520","112,420","56.66K","-0.14%"
"02/12/2024","112,930","112,740","113,230","112,070","55.26K","0.07%"
"02/09/2024","112,850","113,590","113,700","112,600","50.03K","-0.60%"
"02/08/2024","113,530","113,190","113,590","112,350","53.53K","0.31%"
"02/07/2024","113,180","112,590","113,670","112,410","50.05K","0.54%"
"02/06/2024","112,570","112,960","113,190","112,360","33.21K","-0.36%"
"02/05/2024","112,980","112,500","113,340","111,320","65.00K","0.41%"
"02/02/2024","112,520","112,590","113,150","111,690","56.76K","-0.25%"
"02/01/2024","112,800","113,490","113,830","112,590","43.87K","-0.53%"
"01/31/2024","113,400","113,130","113,930","112,640","58.35K","0.24%"
