"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","2,048.60","2,050.50","2,051.60","2,046.20","6.18K","-0.03%"
"06/18/2024","2,049.30","2,046.70","2,059.30","2,036.30","0.74K","0.16%"
"06/17/2024","2,046.10","2,025.70","2,051.50","2,015.20","357.93K","0.84%"
"06/14/2024","2,029.00","2,060.10","2,061.00","2,020.50","186.69K","-1.68%"
"06/13/2024","2,063.60","2,082.20","2,097.10","2,048.70","75.73K","-0.94%"
"06/12/2024","2,083.20","2,049.00","2,118.20","2,048.10","20.82K","1.60%"
"06/11/2024","2,050.40","2,059.60","2,059.60","2,028.10","6.54K","-0.40%"
"06/10/2024","2,058.60","2,050.00","2,060.70","2,028.70","3.30K","1.45%"
"06/07/2024","2,029.20","2,054.80","2,060.30","2,020.60","175.12K","-1.16%"
"06/06/2024","2,053.00","2,069.30","2,069.30","2,047.70","133.89K","-0.76%"
"06/05/2024","2,068.70","2,038.60","2,069.80","2,035.60","162.99K","1.53%"
"06/04/2024","2,037.50","2,066.00","2,068.00","2,035.10","174.96K","-1.34%"
"06/03/2024","2,065.20","2,080.00","2,104.70","2,050.40","204.36K","-0.51%"
"05/31/2024","2,075.80","2,064.10","2,082.50","2,048.70","213.06K","0.72%"
"05/30/2024","2,061.00","2,041.20","2,070.00","2,031.20","170.39K","0.95%"
"05/29/2024","2,041.60","2,071.00","2,071.10","2,038.40","175.50K","-1.52%"
"05/28/2024","2,073.20","2,078.20","2,093.50","2,060.90","170.24K","-0.63%"
"05/27/2024","2,086.30","2,074.70","2,093.20","2,073.00","15.25K","0.56%"
"05/26/2024","2,074.60","2,077.90","2,078.80","2,073.40","0.70K","-0.09%"
"05/24/2024","2,076.50","2,056.40","2,078.40","2,055.70","145.81K","1.11%"
"05/23/2024","2,053.70","2,084.60","2,101.00","2,044.90","243.99K","-1.69%"
"05/22/2024","2,089.10","2,106.00","2,110.20","2,080.60","167.73K","-0.85%"
"05/21/2024","2,107.10","2,111.60","2,113.40","2,093.60","117.25K","-0.13%"
"05/20/2024","2,109.90","2,105.90","2,118.80","2,100.10","117.59K","0.26%"
"05/18/2024","2,104.50","2,104.50","2,104.50","2,104.50","","-0.05%"
"05/17/2024","2,105.50","2,103.40","2,109.20","2,097.40","132.83K","0.03%"
"05/16/2024","2,104.90","2,117.60","2,123.90","2,102.50","137.88K","-0.66%"
"05/15/2024","2,118.90","2,097.20","2,132.50","2,094.50","195.26K","1.14%"
"05/14/2024","2,095.00","2,071.90","2,103.50","2,058.30","195.23K","1.09%"
"05/13/2024","2,072.50","2,066.70","2,090.90","2,065.70","114.51K","0.31%"
"05/11/2024","2,066.00","2,066.00","2,066.00","2,066.00","","-0.09%"
"05/10/2024","2,067.90","2,085.30","2,096.30","2,061.90","138.79K","-0.78%"
"05/09/2024","2,084.10","2,063.40","2,086.90","2,054.30","117.96K","0.93%"
"05/08/2024","2,064.80","2,072.00","2,074.40","2,051.80","118.28K","-0.57%"
"05/07/2024","2,076.70","2,071.20","2,088.80","2,069.20","131.23K","0.27%"
"05/06/2024","2,071.10","2,052.90","2,075.50","2,047.50","132.24K","1.10%"
"05/04/2024","2,048.50","2,048.50","2,048.50","2,048.50","","0.13%"
"05/03/2024","2,045.80","2,026.40","2,070.00","2,019.10","197.74K","0.92%"
"05/02/2024","2,027.20","1,997.90","2,032.20","1,991.70","186.42K","1.88%"
"05/01/2024","1,989.70","1,982.70","2,031.30","1,972.10","254.99K","0.21%"
"04/30/2024","1,985.60","2,025.60","2,026.70","1,978.10","194.52K","-2.05%"
"04/29/2024","2,027.10","2,019.00","2,032.90","2,015.10","123.42K","0.55%"
"04/27/2024","2,016.10","2,016.10","2,016.10","2,016.10","","0.12%"
"04/26/2024","2,013.70","1,992.90","2,020.00","1,984.60","168.51K","1.03%"
"04/25/2024","1,993.20","2,010.50","2,023.50","1,965.70","225.34K","-0.68%"
"04/24/2024","2,006.80","2,016.00","2,019.10","1,993.90","169.19K","-0.40%"
"04/23/2024","2,014.90","1,985.10","2,023.90","1,973.90","187.51K","1.63%"
"04/22/2024","1,982.60","1,966.40","1,993.20","1,958.70","159.57K","0.94%"
"04/20/2024","1,964.10","1,964.10","1,964.10","1,964.10","","0.15%"
"04/19/2024","1,961.20","1,958.60","1,974.20","1,915.80","283.54K","0.16%"
"04/18/2024","1,958.10","1,963.80","1,987.40","1,951.90","219.66K","-0.20%"
"04/17/2024","1,962.00","1,983.30","2,000.90","1,959.20","232.31K","-1.05%"
"04/16/2024","1,982.80","1,992.20","1,994.70","1,965.30","255.91K","-0.41%"
"04/15/2024","1,991.00","2,019.80","2,035.80","1,982.20","258.84K","-1.46%"
"04/13/2024","2,020.50","2,020.50","2,020.50","2,020.50","","0.03%"
"04/12/2024","2,019.80","2,057.60","2,062.40","2,009.80","212.77K","-1.85%"
"04/11/2024","2,057.90","2,043.70","2,063.70","2,017.00","247.33K","0.72%"
"04/10/2024","2,043.20","2,102.40","2,114.00","2,027.90","368.12K","-2.72%"
"04/09/2024","2,100.30","2,092.80","2,106.70","2,081.10","159.90K","0.38%"
"04/08/2024","2,092.40","2,086.00","2,101.60","2,074.00","144.29K","0.49%"
"04/05/2024","2,082.30","2,075.20","2,094.40","2,059.40","204.00K","0.38%"
"04/04/2024","2,074.40","2,098.20","2,123.70","2,068.90","197.91K","-1.07%"
"04/03/2024","2,096.80","2,087.20","2,102.70","2,069.90","188.51K","0.68%"
"04/02/2024","2,082.70","2,126.00","2,129.50","2,072.10","234.06K","-1.90%"
"04/01/2024","2,123.00","2,150.60","2,167.00","2,119.50","177.31K","-1.07%"
"03/28/2024","2,145.90","2,140.60","2,161.80","2,132.40","191.41K","0.35%"
"03/27/2024","2,138.40","2,095.80","2,142.40","2,095.80","188.24K","2.19%"
"03/26/2024","2,092.60","2,098.80","2,118.20","2,091.50","132.79K","-0.22%"
"03/25/2024","2,097.30","2,092.60","2,111.90","2,089.20","104.37K","0.18%"
"03/22/2024","2,093.60","2,125.30","2,132.20","2,091.40","167.38K","-1.38%"
"03/21/2024","2,122.80","2,102.20","2,132.70","2,101.70","208.95K","1.15%"
"03/20/2024","2,098.60","2,059.60","2,108.70","2,047.80","236.47K","1.91%"
"03/19/2024","2,059.30","2,050.90","2,065.70","2,032.50","153.29K","0.46%"
"03/18/2024","2,049.80","2,064.10","2,076.40","2,047.10","155.24K","-0.65%"
"03/15/2024","2,063.30","2,058.40","2,069.60","2,049.70","201.89K","0.31%"
"03/14/2024","2,057.00","2,098.10","2,106.20","2,040.40","271.77K","-1.91%"
"03/13/2024","2,097.10","2,086.60","2,106.00","2,082.80","206.03K","0.38%"
"03/12/2024","2,089.20","2,095.20","2,109.30","2,073.20","319.89K","-0.17%"
"03/11/2024","2,092.70","2,114.90","2,114.90","2,088.30","380.03K","0.28%"
"03/09/2024","2,086.90","2,086.90","2,086.90","2,086.90","","-1.06%"
"03/08/2024","2,109.30","2,111.60","2,146.00","2,095.00","150.70K","-0.09%"
"03/07/2024","2,111.20","2,093.50","2,122.40","2,081.50","28.03K","0.84%"
"03/06/2024","2,093.70","2,077.90","2,103.00","2,076.90","3.59K","0.70%"
"03/05/2024","2,079.20","2,096.80","2,100.50","2,072.40","2.05K","0.16%"
"03/04/2024","2,075.80","2,076.00","2,096.80","2,073.10","176.22K","-0.12%"
"03/01/2024","2,078.20","2,053.60","2,082.10","2,044.90","185.78K","1.02%"
"02/29/2024","2,057.30","2,041.00","2,083.40","2,037.20","247.23K","0.68%"
"02/28/2024","2,043.40","2,059.10","2,059.90","2,038.20","153.41K","-0.80%"
"02/27/2024","2,059.90","2,031.00","2,062.40","2,027.10","166.75K","1.36%"
"02/26/2024","2,032.20","2,018.00","2,036.70","2,009.30","148.53K","0.74%"
"02/24/2024","2,017.30","2,017.30","2,017.30","2,017.30","","-0.16%"
"02/23/2024","2,020.50","2,013.70","2,031.90","2,003.60","178.82K","0.22%"
"02/22/2024","2,016.00","2,002.70","2,021.60","1,999.00","244.59K","0.77%"
"02/21/2024","2,000.50","2,013.00","2,013.80","1,985.00","167.56K","-0.48%"
"02/20/2024","2,010.20","2,037.50","2,044.80","2,001.70","208.40K","-0.69%"
"02/19/2024","2,024.20","2,042.10","2,044.40","2,023.10","23.86K","-0.85%"
"02/18/2024","2,041.50","2,037.10","2,044.80","2,037.10","1.79K","0.22%"
"02/17/2024","2,037.10","2,037.10","2,037.10","2,037.10","","-0.09%"
"02/16/2024","2,039.00","2,064.00","2,070.00","2,032.10","266.60K","-1.38%"
"02/15/2024","2,067.50","2,018.50","2,071.20","2,017.20","279.94K","2.51%"
"02/14/2024","2,016.80","1,972.30","2,021.80","1,970.40","259.66K","2.41%"
"02/13/2024","1,969.30","2,054.10","2,058.20","1,953.70","431.45K","-4.17%"
"02/12/2024","2,055.00","2,017.20","2,060.90","2,015.80","239.29K","1.78%"
"02/09/2024","2,019.10","1,985.70","2,020.80","1,983.80","221.57K","1.58%"
"02/08/2024","1,987.60","1,954.70","1,988.60","1,947.40","167.80K","1.54%"
"02/07/2024","1,957.50","1,961.10","1,971.60","1,944.90","192.42K","-0.18%"
"02/06/2024","1,961.00","1,942.70","1,963.40","1,934.50","172.18K","0.88%"
"02/05/2024","1,943.80","1,968.40","1,970.00","1,925.40","209.77K","-1.10%"
"02/03/2024","1,965.50","1,965.50","1,965.50","1,965.50","","-0.26%"
"02/02/2024","1,970.60","1,982.80","1,988.30","1,949.40","248.53K","-0.61%"
"02/01/2024","1,982.60","1,959.80","1,985.90","1,941.10","284.42K","1.37%"
"01/31/2024","1,955.90","2,009.50","2,019.60","1,953.50","314.78K","-2.49%"
"01/30/2024","2,005.90","2,019.10","2,025.50","1,999.30","161.49K","-0.84%"
"01/29/2024","2,022.80","1,985.50","2,023.30","1,979.30","161.80K","1.81%"
"01/27/2024","1,986.80","1,986.80","1,986.80","1,986.80","","-0.09%"
"01/26/2024","1,988.50","1,991.00","2,008.30","1,982.50","179.64K","0.04%"
"01/25/2024","1,987.70","1,973.40","2,006.00","1,970.80","213.54K","0.79%"
"01/24/2024","1,972.20","1,989.80","2,017.20","1,968.30","215.77K","-0.87%"
"01/23/2024","1,989.50","1,997.70","2,017.00","1,980.00","227.48K","-0.34%"
"01/22/2024","1,996.30","1,957.60","1,998.70","1,957.40","231.35K","2.11%"
"01/20/2024","1,955.10","1,955.10","1,955.10","1,955.10","","0.02%"
"01/19/2024","1,954.80","1,936.90","1,958.30","1,921.30","210.55K","0.96%"
"01/18/2024","1,936.20","1,925.00","1,941.80","1,911.20","217.26K","0.58%"
"01/17/2024","1,925.00","1,940.40","1,942.10","1,904.80","210.03K","-0.78%"
"01/16/2024","1,940.10","1,962.90","1,971.10","1,931.50","235.63K","-1.10%"
"01/15/2024","1,961.70","1,961.20","1,971.00","1,951.30","26.42K","0.04%"
"01/14/2024","1,960.90","1,962.50","1,962.90","1,958.30","0.87K","-0.08%"
"01/13/2024","1,962.50","1,962.50","1,962.50","1,962.50","","-0.07%"
"01/12/2024","1,963.90","1,966.70","2,003.30","1,957.30","209.89K","-0.26%"
"01/11/2024","1,969.10","1,984.60","2,003.10","1,944.70","265.84K","-0.75%"
"01/10/2024","1,984.00","1,980.90","1,988.70","1,963.40","185.49K","0.07%"
"01/09/2024","1,982.70","2,002.30","2,002.70","1,966.40","179.16K","-1.07%"
"01/08/2024","2,004.10","1,969.20","2,004.60","1,954.50","185.65K","1.78%"
"01/06/2024","1,969.00","1,969.00","1,969.00","1,969.00","","0.11%"
