"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","7,745.5","7,770.5","7,780.5","7,743.5","","-0.32%"
"06/18/2024","7,770.0","7,707.0","7,776.0","7,671.0","260.46K","0.88%"
"06/17/2024","7,702.0","7,718.0","7,726.0","7,660.0","114.35K","-0.41%"
"06/14/2024","7,734.0","7,760.0","7,763.0","7,708.0","57.04K","-0.30%"
"06/13/2024","7,757.0","7,726.0","7,801.0","7,725.0","41.27K","0.35%"
"06/12/2024","7,730.0","7,760.0","7,765.0","7,684.0","45.05K","-0.43%"
"06/11/2024","7,763.0","7,825.0","7,825.0","7,744.0","54.47K","-0.96%"
"06/10/2024","7,838.0","7,880.0","7,886.0","7,820.0","10.66K","-0.58%"
"06/07/2024","7,884.0","7,832.0","7,885.0","7,819.0","34.83K","0.64%"
"06/06/2024","7,834.0","7,767.0","7,856.0","7,760.0","37.40K","0.66%"
"06/05/2024","7,783.0","7,753.0","7,795.0","7,712.0","45.86K","0.36%"
"06/04/2024","7,755.0","7,781.0","7,789.0","7,735.0","35.18K","-0.33%"
"06/03/2024","7,781.0","7,717.0","7,801.0","7,685.0","49.09K","0.80%"
"05/31/2024","7,719.0","7,656.0","7,728.0","7,656.0","55.98K","0.84%"
"05/30/2024","7,655.0","7,693.0","7,699.0","7,614.0","51.62K","-0.48%"
"05/29/2024","7,692.0","7,795.0","7,797.0","7,681.0","52.03K","-1.28%"
"05/28/2024","7,792.0","7,818.0","7,837.0","7,790.0","26.90K","-0.33%"
"05/27/2024","7,818.0","7,753.0","7,821.0","7,747.0","28.74K","0.86%"
"05/24/2024","7,751.0","7,841.0","7,855.0","7,740.0","44.98K","-1.16%"
"05/23/2024","7,842.0","7,866.0","7,868.0","7,785.0","41.74K","-0.36%"
"05/22/2024","7,870.0","7,878.0","7,912.0","7,857.0","30.60K","-0.10%"
"05/21/2024","7,878.0","7,886.0","7,902.0","7,868.0","29.43K","-0.13%"
"05/20/2024","7,888.0","7,838.0","7,907.0","7,837.0","31.11K","0.60%"
"05/17/2024","7,841.0","7,920.0","7,921.0","7,838.0","43.97K","-0.98%"
"05/16/2024","7,919.0","7,791.0","7,936.0","7,780.0","55.75K","1.63%"
"05/15/2024","7,792.0","7,763.0","7,823.0","7,754.0","30.71K","0.37%"
"05/14/2024","7,763.0","7,785.0","7,804.0","7,751.0","31.59K","-0.27%"
"05/13/2024","7,784.0","7,788.0","7,809.0","7,760.0","37.49K","0.05%"
"05/10/2024","7,780.0","7,741.0","7,795.0","7,728.0","36.72K","0.46%"
"05/09/2024","7,744.0","7,825.0","7,837.0","7,741.0","41.61K","-1.04%"
"05/08/2024","7,825.0","7,814.0","7,839.0","7,797.0","45.00K","0.14%"
"05/07/2024","7,814.0","7,695.0","7,816.0","7,685.0","54.07K","1.53%"
"05/06/2024","7,696.0","7,639.0","7,697.0","7,625.0","35.40K","0.68%"
"05/03/2024","7,644.0","7,601.0","7,654.0","7,570.0","38.91K","0.57%"
"05/02/2024","7,601.0","7,577.0","7,631.0","7,539.0","46.87K","0.32%"
"05/01/2024","7,577.0","7,687.0","7,696.0","7,572.0","41.41K","-1.41%"
"04/30/2024","7,685.0","7,661.0","7,688.0","7,643.0","39.87K","0.34%"
"04/29/2024","7,659.0","7,591.0","7,668.0","7,578.0","40.47K","0.83%"
"04/26/2024","7,596.0","7,626.0","7,634.0","7,531.0","41.80K","-0.60%"
