"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","1,858.50","1,860.50","1,865.50","1,854.00","","0.11%"
"05/27/2024","1,856.50","1,830.50","1,860.50","1,829.50","73.35K","1.74%"
"05/24/2024","1,824.75","1,825.50","1,832.50","1,806.50","57.98K","-0.03%"
"05/23/2024","1,825.25","1,818.00","1,829.00","1,806.00","61.44K","0.44%"
"05/22/2024","1,817.25","1,794.25","1,820.25","1,792.25","43.43K","1.25%"
"05/21/2024","1,794.75","1,801.75","1,808.75","1,784.75","39.97K","-0.32%"
"05/20/2024","1,800.50","1,802.25","1,816.00","1,791.00","57.47K","-0.12%"
"05/17/2024","1,802.75","1,805.75","1,812.25","1,799.25","43.78K","-0.19%"
"05/16/2024","1,806.25","1,798.00","1,824.75","1,797.25","59.84K","0.46%"
"05/15/2024","1,798.00","1,782.25","1,810.00","1,775.50","62.92K","0.93%"
"05/14/2024","1,781.50","1,766.00","1,782.25","1,766.00","50.56K","0.83%"
"05/13/2024","1,766.75","1,763.75","1,777.00","1,762.75","55.48K","0.18%"
"05/10/2024","1,763.50","1,744.00","1,764.50","1,740.25","55.18K","1.12%"
"05/09/2024","1,744.00","1,748.75","1,756.75","1,742.25","49.59K","-0.27%"
"05/08/2024","1,748.75","1,742.50","1,751.00","1,739.50","48.63K","0.37%"
"05/07/2024","1,742.25","1,740.00","1,754.75","1,733.50","53.02K","0.09%"
"05/06/2024","1,740.75","1,716.25","1,749.25","1,712.75","69.24K","1.43%"
"05/03/2024","1,716.25","1,703.75","1,733.75","1,696.00","67.94K","0.67%"
"05/02/2024","1,704.75","1,693.25","1,714.50","1,685.00","58.88K","0.58%"
"05/01/2024","1,695.00","1,715.00","1,716.50","1,686.00","30.16K","-1.15%"
"04/30/2024","1,714.75","1,727.00","1,729.75","1,711.75","63.45K","-0.19%"
"04/29/2024","1,718.00","1,688.00","1,725.25","1,683.50","23.69K","1.81%"
"04/26/2024","1,687.50","1,662.25","1,694.50","1,648.00","100.62K","1.49%"
"04/25/2024","1,662.75","1,690.25","1,690.50","1,659.25","107.66K","-1.63%"
"04/24/2024","1,690.25","1,647.50","1,691.00","1,646.25","77.80K","2.55%"
"04/23/2024","1,648.25","1,637.50","1,654.50","1,633.50","69.12K","0.75%"
"04/22/2024","1,636.00","1,638.25","1,654.00","1,629.00","102.42K","-0.06%"
"04/19/2024","1,637.00","1,704.00","1,706.75","1,616.25","145.07K","-3.80%"
"04/18/2024","1,701.75","1,682.50","1,701.75","1,666.75","67.15K","0.87%"
"04/17/2024","1,687.00","1,674.00","1,690.00","1,662.00","84.04K","0.69%"
"04/16/2024","1,675.50","1,721.75","1,728.25","1,663.00","87.00K","-2.69%"
"04/15/2024","1,721.75","1,747.75","1,748.00","1,717.75","67.95K","-1.52%"
"04/12/2024","1,748.25","1,749.50","1,752.75","1,740.00","62.72K","-0.11%"
"04/11/2024","1,750.25","1,761.00","1,763.75","1,742.25","72.19K","-0.61%"
"04/10/2024","1,761.00","1,765.75","1,769.00","1,755.50","59.66K","-0.24%"
"04/09/2024","1,765.25","1,739.75","1,766.00","1,738.25","65.54K","1.54%"
"04/08/2024","1,738.50","1,717.75","1,745.50","1,710.75","57.47K","1.15%"
"04/05/2024","1,718.75","1,744.25","1,758.00","1,704.75","30.54K","-1.46%"
"04/04/2024","1,744.25","1,730.25","1,747.00","1,730.25","22.86K","0.71%"
"04/03/2024","1,732.00","1,752.00","1,753.00","1,725.25","66.17K","-1.09%"
"04/02/2024","1,751.00","1,732.25","1,751.00","1,730.25","54.87K","1.10%"
"04/01/2024","1,732.00","1,742.50","1,748.25","1,731.00","41.89K","-0.60%"
"03/29/2024","1,742.50","1,724.75","1,742.50","1,720.50","47.25K","0.97%"
"03/28/2024","1,725.75","1,719.75","1,726.75","1,707.00","17.98K","0.28%"
"03/27/2024","1,721.00","1,711.50","1,722.50","1,706.25","74.93K","0.57%"
"03/26/2024","1,711.25","1,719.75","1,738.00","1,697.75","111.01K","-0.51%"
"03/25/2024","1,720.00","1,723.00","1,725.50","1,717.25","85.31K","-0.20%"
"03/22/2024","1,723.50","1,727.00","1,733.75","1,713.75","79.75K","-0.16%"
"03/21/2024","1,726.25","1,691.75","1,726.75","1,691.25","64.60K","1.96%"
"03/20/2024","1,693.00","1,696.75","1,708.50","1,687.75","71.61K","-0.21%"
"03/19/2024","1,696.50","1,701.50","1,706.00","1,684.25","66.59K","-0.29%"
"03/18/2024","1,701.50","1,688.50","1,702.00","1,685.00","54.50K","0.75%"
"03/15/2024","1,688.75","1,699.50","1,702.50","1,687.50","73.87K","-0.60%"
"03/14/2024","1,699.00","1,697.00","1,703.75","1,690.00","64.70K","0.15%"
"03/13/2024","1,696.50","1,699.00","1,711.00","1,692.50","80.26K","-0.19%"
"03/12/2024","1,699.75","1,679.75","1,700.50","1,674.50","60.83K","1.18%"
"03/11/2024","1,680.00","1,684.00","1,700.00","1,673.50","90.85K","-0.25%"
"03/08/2024","1,684.25","1,674.00","1,703.00","1,670.50","91.90K","0.52%"
