"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","12,104.0","12,110.0","12,119.5","12,077.0","17.56K","0.12%"
"06/18/2024","12,089.0","12,094.0","12,121.0","12,049.0","74.56K","0.24%"
"06/17/2024","12,060.0","12,225.0","12,225.0","12,003.0","92.26K","-0.24%"
"06/14/2024","12,089.0","12,187.0","12,187.0","12,027.0","37.42K","-0.02%"
"06/13/2024","12,092.0","12,154.0","12,180.0","12,075.0","33.89K","-0.67%"
"06/12/2024","12,173.0","12,114.0","12,192.0","12,065.0","35.08K","0.81%"
"06/11/2024","12,075.0","12,144.0","12,188.0","12,036.0","25.72K","-0.48%"
"06/10/2024","12,133.0","12,218.0","12,233.0","12,102.0","26.65K","-1.11%"
"06/07/2024","12,269.0","12,238.0","12,307.0","12,217.0","22.11K","0.13%"
"06/06/2024","12,253.0","12,186.0","12,255.0","12,174.0","23.77K","0.76%"
"06/05/2024","12,160.0","12,070.0","12,180.0","12,069.0","23.36K","1.10%"
"06/04/2024","12,028.0","12,011.0","12,078.0","11,978.0","21.83K","0.17%"
"06/03/2024","12,008.0","12,093.0","12,109.0","11,975.0","27.39K","-0.14%"
"05/31/2024","12,025.0","11,891.0","12,042.0","11,891.0","45.78K","1.11%"
"05/30/2024","11,893.0","11,783.0","11,921.0","11,771.0","29.78K","0.75%"
"05/29/2024","11,805.0","11,824.0","11,856.0","11,793.0","24.31K","-0.47%"
"05/28/2024","11,861.0","11,980.0","12,004.0","11,828.0","23.85K","-0.92%"
"05/27/2024","11,971.0","11,946.0","11,993.0","11,929.0","10.52K","0.13%"
"05/24/2024","11,955.0","11,918.0","11,962.0","11,870.0","17.34K","-0.16%"
"05/23/2024","11,974.0","11,992.0","12,026.0","11,913.0","23.05K","0.13%"
"05/22/2024","11,958.0","12,018.0","12,018.0","11,940.0","19.82K","-0.50%"
"05/21/2024","12,018.0","12,063.0","12,092.0","11,981.0","27.01K","-0.17%"
"05/20/2024","12,038.0","12,038.0","12,038.0","12,038.0","","0.00%"
"05/17/2024","12,038.0","11,981.0","12,065.0","11,971.0","33.84K","0.69%"
"05/16/2024","11,955.0","11,920.0","11,989.0","11,920.0","40.46K","0.38%"
"05/15/2024","11,910.0","11,826.0","11,913.0","11,811.0","25.62K","0.98%"
"05/14/2024","11,794.0","11,720.0","11,819.0","11,706.0","28.16K","0.34%"
"05/13/2024","11,754.0","11,783.0","11,785.0","11,711.0","27.37K","0.12%"
"05/10/2024","11,740.0","11,636.0","11,758.0","11,634.0","31.48K","1.43%"
"05/09/2024","11,574.0","11,587.0","11,587.0","11,587.0","","0.00%"
"05/08/2024","11,574.0","11,519.0","11,596.0","11,504.0","28.64K","0.56%"
"05/07/2024","11,510.0","11,365.0","11,518.0","11,361.0","31.55K","1.70%"
"05/06/2024","11,318.0","11,268.0","11,372.0","11,265.0","16.98K","0.55%"
"05/03/2024","11,256.0","11,222.0","11,325.0","11,210.0","24.09K","0.62%"
"05/02/2024","11,187.0","11,295.0","11,295.0","11,175.0","38.53K","-0.49%"
"05/01/2024","11,242.0","11,242.0","11,242.0","11,242.0","","-0.20%"
"04/30/2024","11,265.0","11,307.0","11,357.0","11,241.0","25.93K","-0.43%"
"04/29/2024","11,314.0","11,358.0","11,372.0","11,287.0","21.90K","-0.18%"
"04/26/2024","11,334.0","11,301.0","11,337.0","11,271.0","23.43K","0.85%"
"04/25/2024","11,238.0","11,300.0","11,347.0","11,171.0","29.22K","-1.02%"
"04/24/2024","11,354.0","11,458.0","11,481.0","11,341.0","21.75K","-0.84%"
"04/23/2024","11,450.0","11,385.0","11,492.0","11,363.0","32.18K","1.37%"
"04/22/2024","11,295.0","11,279.0","11,359.0","11,237.0","27.46K","0.84%"
