"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","312.77","312.48","314.27","312.35","","0.67%"
"06/18/2024","310.70","310.20","312.20","309.60","18.82K","0.16%"
"06/17/2024","310.20","309.40","310.65","308.50","11.12K","0.24%"
"06/14/2024","309.45","311.55","312.55","309.40","22.34K","-0.69%"
"06/13/2024","311.60","310.35","312.85","309.85","20.90K","0.48%"
"06/12/2024","310.10","309.10","311.80","307.55","23.52K","0.36%"
"06/11/2024","309.00","310.10","311.70","308.70","27.65K","-0.42%"
"06/10/2024","310.30","309.70","311.90","308.25","25.38K","0.26%"
"06/07/2024","309.50","310.30","311.95","309.50","22.41K","-0.37%"
"06/06/2024","310.65","309.70","312.90","308.75","22.71K","0.36%"
"06/05/2024","309.55","309.40","311.90","308.30","26.19K","0.11%"
"06/04/2024","309.20","311.55","311.75","308.90","27.83K","-0.82%"
"06/03/2024","311.75","309.05","312.60","308.00","30.42K","0.92%"
"05/31/2024","308.90","308.60","310.75","308.50","35.21K","0.26%"
"05/30/2024","308.10","309.05","309.05","306.05","7.70K","-0.34%"
"05/29/2024","309.15","310.85","310.90","308.05","69.28K","-0.55%"
"05/28/2024","310.85","310.90","312.35","310.35","72.84K","-0.02%"
"05/27/2024","310.90","309.95","311.55","309.80","38.54K","0.32%"
"05/24/2024","309.90","311.75","312.65","306.95","40.56K","-0.56%"
"05/23/2024","311.65","310.30","312.15","309.35","24.60K","0.42%"
"05/22/2024","310.35","310.60","312.15","309.90","9.88K","-0.06%"
"05/21/2024","310.55","311.15","311.55","309.70","16.12K","-0.21%"
"05/20/2024","311.20","310.80","313.75","310.60","23.08K","0.11%"
"05/17/2024","310.85","308.80","311.05","308.65","24.16K","0.70%"
"05/16/2024","308.70","306.60","310.85","305.85","31.99K","0.68%"
"05/15/2024","306.60","306.20","309.20","305.95","31.99K","0.05%"
"05/14/2024","306.45","305.15","306.50","304.40","17.85K","0.29%"
"05/13/2024","305.55","305.65","306.75","302.85","27.44K","-0.10%"
"05/10/2024","305.85","302.85","306.65","302.85","26.03K","1.04%"
"05/09/2024","302.70","301.85","303.90","300.75","24.86K","0.36%"
"05/08/2024","301.60","303.55","304.65","300.70","31.46K","-0.76%"
"05/07/2024","303.90","305.20","306.30","303.15","26.25K","-0.49%"
"05/06/2024","305.40","303.20","306.05","302.90","22.28K","0.61%"
"05/03/2024","303.55","301.90","304.75","300.80","22.80K","0.48%"
"05/02/2024","302.10","299.00","304.80","297.65","34.02K","1.04%"
"05/01/2024","299.00","303.10","303.10","298.30","15.61K","-1.35%"
"04/30/2024","303.10","301.45","303.45","300.45","28.66K","-0.54%"
"04/29/2024","304.75","303.60","306.00","302.65","9.92K","0.33%"
"04/26/2024","303.75","304.45","305.10","301.25","47.61K","-0.30%"
"04/25/2024","304.65","303.75","304.65","300.35","74.68K","0.26%"
"04/24/2024","303.85","300.60","305.30","300.20","59.90K","1.10%"
"04/23/2024","300.55","294.40","300.90","294.20","57.57K","2.05%"
"04/22/2024","294.50","290.50","295.25","290.25","30.36K","1.38%"
"04/19/2024","290.50","290.00","291.60","287.30","32.93K","0.17%"
"04/18/2024","290.00","287.80","291.45","285.90","31.80K","0.87%"
"04/17/2024","287.50","284.30","288.40","283.85","34.76K","1.13%"
"04/16/2024","284.30","288.15","289.10","283.35","39.09K","-1.23%"
"04/15/2024","287.85","291.85","292.30","285.45","37.47K","-1.54%"
"04/12/2024","292.35","292.75","293.70","291.20","23.74K","-0.27%"
"04/11/2024","293.15","296.05","296.20","291.30","32.02K","-1.05%"
"04/10/2024","296.25","294.40","296.45","293.15","16.43K","0.66%"
"04/09/2024","294.30","291.95","295.65","291.85","24.42K","0.82%"
"04/08/2024","291.90","290.30","293.25","290.10","18.51K","0.48%"
"04/05/2024","290.50","292.90","295.05","287.95","32.91K","-0.75%"
"04/04/2024","292.70","291.20","294.25","291.10","26.83K","0.41%"
"04/03/2024","291.50","293.10","293.15","289.10","29.72K","-0.56%"
"04/02/2024","293.15","291.00","293.65","289.90","30.58K","0.77%"
"04/01/2024","290.90","291.95","293.45","290.80","18.81K","-0.44%"
"03/29/2024","292.20","290.80","292.30","290.15","8.06K","0.46%"
"03/28/2024","290.85","293.90","294.95","290.30","27.17K","-1.92%"
"03/27/2024","296.55","295.20","297.05","294.00","12.34K","0.58%"
"03/26/2024","294.85","291.35","295.40","290.15","56.17K","1.06%"
"03/25/2024","291.75","293.55","293.70","291.10","97.36K","-0.68%"
"03/22/2024","293.75","294.15","295.05","292.05","59.22K","0.00%"
"03/21/2024","293.75","290.00","295.55","289.70","45.80K","1.31%"
"03/20/2024","289.95","290.45","290.95","289.20","25.40K","-0.12%"
"03/19/2024","290.30","290.25","290.85","289.35","23.71K","0.03%"
"03/18/2024","290.20","291.55","291.90","289.10","20.23K","-0.51%"
"03/15/2024","291.70","293.55","293.85","288.75","34.94K","-0.68%"
"03/14/2024","293.70","289.15","293.85","288.60","26.98K","1.50%"
"03/13/2024","289.35","286.15","289.65","285.55","23.73K","1.08%"
"03/12/2024","286.25","286.15","287.70","285.70","27.39K","0.00%"
"03/11/2024","286.25","288.30","289.25","285.00","22.48K","-0.66%"
"03/08/2024","288.15","287.00","289.25","286.65","19.80K","0.44%"
"03/07/2024","286.90","286.50","289.05","286.00","23.35K","0.19%"
"03/06/2024","286.35","281.25","287.80","281.25","35.12K","1.83%"
