"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2024","74,885","73,995","75,281","73,995","11.81K","1.49%"
"06/18/2024","73,783","71,270","74,220","71,270","54.79K","3.43%"
"06/14/2024","71,335","71,040","72,091","70,764","17.22K","1.82%"
"06/13/2024","70,061","70,751","70,751","69,954","20.89K","-1.14%"
"06/12/2024","70,867","70,131","71,033","69,905","20.11K","1.29%"
"06/11/2024","69,963","70,350","70,456","69,570","14.39K","-0.18%"
"06/10/2024","70,091","70,284","70,368","69,786","13.57K","-0.86%"
"06/07/2024","70,699","71,177","71,315","70,488","13.72K","-0.61%"
"06/06/2024","71,131","71,095","71,448","70,763","10.49K","0.44%"
"06/05/2024","70,820","71,250","71,250","70,458","17.65K","-0.03%"
"06/04/2024","70,843","71,744","71,744","70,755","17.22K","-1.19%"
"06/03/2024","71,697","71,341","71,846","71,271","19.75K","1.32%"
"05/31/2024","70,762","71,295","71,395","70,667","21.52K","-0.66%"
"05/30/2024","71,230","71,720","71,789","70,800","22.74K","-1.85%"
"05/28/2024","72,575","73,194","73,292","72,515","15.88K","-0.57%"
"05/27/2024","72,994","73,394","73,406","72,953","7.25K","-0.22%"
"05/24/2024","73,152","72,870","73,895","72,582","17.80K","0.11%"
"05/23/2024","73,075","73,480","74,097","72,933","15.24K","-0.72%"
"05/22/2024","73,608","74,008","74,199","73,503","12.66K","-0.47%"
"05/21/2024","73,955","73,898","74,050","73,626","12.88K","-0.41%"
"05/20/2024","74,259","74,105","74,466","73,900","14.08K","0.59%"
"05/17/2024","73,824","73,625","73,992","73,194","14.80K","0.00%"
"05/16/2024","73,825","74,294","74,294","73,704","13.72K","0.14%"
"05/15/2024","73,721","73,360","73,900","73,360","16.02K","0.87%"
"05/14/2024","73,088","73,012","73,389","72,820","14.89K","0.02%"
"05/13/2024","73,070","72,788","73,254","72,644","14.71K","0.40%"
"05/10/2024","72,780","72,312","73,152","72,239","15.26K","1.14%"
"05/09/2024","71,959","71,560","72,091","71,281","13.05K","0.54%"
"05/08/2024","71,572","71,222","71,676","71,126","13.69K","0.16%"
"05/07/2024","71,455","71,275","71,650","71,240","13.78K","0.15%"
"05/06/2024","71,351","71,370","71,930","71,299","16.76K","0.18%"
"05/03/2024","71,223","71,200","71,556","71,027","17.28K","0.63%"
"05/02/2024","70,774","71,050","71,499","70,527","19.82K","-0.30%"
"04/30/2024","70,987","70,902","71,458","70,761","17.28K","-0.04%"
"04/29/2024","71,018","70,210","71,174","70,100","15.45K","1.30%"
"04/26/2024","70,104","69,350","70,222","69,350","17.62K","1.52%"
"04/25/2024","69,055","69,447","69,489","68,468","19.43K","-0.37%"
"04/24/2024","69,308","69,201","69,505","69,081","14.82K","0.79%"
"04/23/2024","68,768","68,400","68,910","68,225","14.75K","0.86%"
"04/22/2024","68,179","68,693","68,693","67,971","13.75K","0.30%"
"04/19/2024","67,975","67,394","68,024","67,141","17.29K","0.00%"
"04/18/2024","67,972","68,007","68,146","67,412","16.72K","0.42%"
"04/17/2024","67,690","67,300","68,192","67,129","16.75K","0.45%"
"04/16/2024","67,387","68,311","68,320","67,296","22.80K","-2.24%"
"04/15/2024","68,930","69,448","69,724","68,795","17.81K","-0.99%"
"04/12/2024","69,621","70,001","70,349","69,430","20.47K","0.02%"
"04/11/2024","69,604","70,144","70,214","69,276","16.95K","-0.38%"
"04/10/2024","69,867","70,190","70,650","69,303","21.67K","0.12%"
"04/09/2024","69,786","69,624","70,270","69,450","18.95K","0.21%"
"04/08/2024","69,639","68,980","69,825","68,978","14.14K","0.78%"
"04/05/2024","69,101","69,305","69,305","68,634","22.88K","-0.83%"
"04/04/2024","69,677","68,531","69,844","68,440","20.76K","1.70%"
"04/03/2024","68,510","68,450","68,688","68,164","18.88K","-0.22%"
"04/02/2024","68,660","68,960","69,347","68,462","25.44K","-0.39%"
"03/28/2024","68,927","68,505","68,983","68,288","16.07K","0.99%"
"03/27/2024","68,254","67,995","68,340","67,732","13.99K","0.56%"
"03/26/2024","67,873","67,520","68,080","67,340","14.04K","0.49%"
"03/25/2024","67,539","67,417","67,764","67,048","14.44K","0.13%"
"03/22/2024","67,450","67,200","67,609","66,983","16.88K","1.16%"
"03/20/2024","66,679","66,360","66,748","66,085","16.51K","0.88%"
"03/19/2024","66,097","66,501","66,865","65,905","24.18K","-0.81%"
"03/18/2024","66,635","67,451","67,722","66,533","42.34K","-0.76%"
"03/15/2024","67,147","66,900","67,645","66,900","20.17K","-0.55%"
"03/14/2024","67,519","68,420","68,543","68,036","1.15K","-1.45%"
"03/13/2024","68,510","67,756","68,593","67,637","2.01K","1.33%"
"03/12/2024","67,610","68,501","68,501","67,543","0.17K","0.13%"
"03/11/2024","67,524","67,572","67,606","67,350","0.08K","-0.36%"
"03/08/2024","67,766","67,540","67,717","67,476","0.01K","0.18%"
"03/07/2024","67,641","67,125","67,575","67,125","0.01K","0.06%"
"03/06/2024","67,599","66,658","67,465","66,630","0.02K","1.75%"
"03/05/2024","66,437","66,369","66,369","66,369","0.01K","-0.39%"
"03/04/2024","66,698","67,600","67,600","66,752","0.00K","-0.19%"
"03/01/2024","66,822","67,088","67,088","66,806","0.00K","-0.07%"
"02/29/2024","66,871","65,900","66,579","65,900","16.18K","0.68%"
"02/28/2024","66,421","66,550","66,669","65,700","14.98K","-1.60%"
"02/27/2024","67,499","66,990","67,328","66,640","0.00K","-0.82%"
"02/26/2024","68,054","67,548","67,640","67,010","16.42K","-1.15%"
"02/23/2024","68,845","67,815","68,070","67,541","11.90K","1.10%"
"02/22/2024","68,097","66,800","67,864","66,755","17.24K","1.29%"
"02/21/2024","67,230","66,637","66,913","66,163","13.33K","-0.47%"
"02/20/2024","67,549","66,822","67,000","66,410","11.80K","-0.52%"
"02/19/2024","67,905","67,135","67,585","66,844","12.50K","0.37%"
"02/16/2024","67,653","67,200","67,595","67,105","12.62K","0.19%"
"02/15/2024","67,523","66,590","66,964","66,373","10.90K","0.47%"
"02/14/2024","67,209","66,695","66,780","66,212","13.47K","-0.27%"
"02/13/2024","67,389","67,425","67,572","66,443","14.17K","-1.08%"
"02/12/2024","68,123","67,111","67,533","66,788","11.29K","0.06%"
"02/09/2024","68,082","67,405","67,554","66,905","11.23K","0.02%"
"02/08/2024","68,070","67,849","67,969","67,313","10.50K","-0.88%"
"02/07/2024","68,676","68,392","68,465","67,865","10.26K","-0.65%"
"02/06/2024","69,125","68,211","68,712","67,820","13.30K","0.95%"
"02/05/2024","68,474","68,347","68,362","67,516","13.46K","-0.51%"
"02/02/2024","68,828","68,840","69,286","67,980","15.13K","-0.62%"
"02/01/2024","69,259","67,990","68,357","67,201","18.73K","0.87%"
"01/31/2024","68,664","68,823","68,823","68,823","0.00K","-0.80%"
"01/30/2024","69,219","68,402","68,845","68,255","9.75K","0.06%"
"01/29/2024","69,176","68,988","69,087","68,337","10.10K","-0.99%"
"01/26/2024","69,870","67,556","69,162","67,437","14.45K","1.48%"
"01/25/2024","68,848","68,595","68,784","67,813","13.84K","0.22%"
"01/24/2024","68,696","67,615","68,660","67,431","13.26K","0.69%"
"01/23/2024","68,224","67,138","67,671","67,033","14.41K","0.36%"
"01/22/2024","67,979","66,800","66,892","66,253","9.82K","0.72%"
"01/19/2024","67,496","66,648","67,239","66,526","11.99K","-0.05%"
"01/18/2024","67,529","66,251","66,750","66,251","14.52K","0.94%"
"01/17/2024","66,898","66,688","66,700","65,826","16.53K","-1.27%"
"01/16/2024","67,759","67,405","67,630","67,050","11.78K","-1.04%"
"01/15/2024","68,470","68,492","68,597","67,596","10.76K","-0.87%"
"01/12/2024","69,071","68,195","68,660","67,855","10.44K","0.60%"
"01/11/2024","68,657","68,295","68,610","67,811","14.71K","0.48%"
"01/10/2024","68,331","68,077","68,270","67,610","12.39K","-0.50%"
"01/09/2024","68,672","68,714","68,970","68,013","10.95K","-0.60%"
"01/08/2024","69,087","68,602","68,768","67,924","13.08K","-0.73%"
"01/05/2024","69,594","68,605","69,378","68,220","13.76K","0.07%"
"01/04/2024","69,545","69,302","69,642","68,840","13.53K","-0.29%"
"01/03/2024","69,744","70,520","70,568","69,081","13.37K","-1.86%"
"01/02/2024","71,068","71,350","71,377","70,136","15.73K","-1.36%"
"12/29/2023","72,048","71,000","72,020","70,958","5.73K","0.31%"
"12/28/2023","71,823","71,776","71,845","71,000","15.17K","-0.51%"
"12/27/2023","72,190","69,990","71,710","69,990","23.01K","3.33%"
"12/22/2023","69,864","69,300","69,740","69,077","8.87K","-1.49%"
