"Date","Price","Open","High","Low","Change %"
"05/28/2024","3.325","3.297","3.329","3.292","0.62%"
"05/27/2024","3.304","3.343","3.356","3.283","-0.80%"
"05/24/2024","3.330","3.349","3.375","3.326","-0.16%"
"05/23/2024","3.336","3.302","3.365","3.272","1.11%"
"05/22/2024","3.299","3.269","3.322","3.249","0.78%"
"05/21/2024","3.274","3.280","3.292","3.253","-0.35%"
"05/20/2024","3.286","3.280","3.295","3.259","0.26%"
"05/17/2024","3.277","3.205","3.280","3.204","1.79%"
"05/16/2024","3.220","3.155","3.223","3.150","1.31%"
"05/15/2024","3.178","3.335","3.354","3.166","-4.16%"
"05/14/2024","3.316","3.299","3.339","3.273","0.62%"
"05/13/2024","3.296","3.305","3.312","3.269","-0.29%"
"05/11/2024","3.305","3.305","3.305","3.305","0.12%"
"05/10/2024","3.301","3.283","3.316","3.241","1.07%"
"05/09/2024","3.266","3.265","3.297","3.257","0.52%"
"05/08/2024","3.249","3.199","3.259","3.198","0.98%"
"05/07/2024","3.217","3.249","3.250","3.197","-0.42%"
"05/06/2024","3.231","3.246","3.254","3.203","-0.63%"
"05/03/2024","3.251","3.297","3.315","3.221","-1.59%"
"05/02/2024","3.304","3.309","3.348","3.289","-1.31%"
"05/01/2024","3.348","3.349","3.349","3.348","-0.09%"
"04/30/2024","3.351","3.306","3.364","3.299","1.48%"
"04/29/2024","3.302","3.334","3.340","3.286","-1.70%"
"04/26/2024","3.359","3.396","3.409","3.338","-2.18%"
"04/25/2024","3.434","3.382","3.454","3.364","1.48%"
"04/24/2024","3.384","3.306","3.396","3.291","3.33%"
"04/23/2024","3.275","3.249","3.306","3.240","0.37%"
"04/22/2024","3.263","3.319","3.337","3.260","-1.33%"
"04/19/2024","3.307","3.282","3.331","3.261","-0.24%"
"04/18/2024","3.315","3.270","3.316","3.262","0.24%"
"04/17/2024","3.307","3.325","3.337","3.280","-0.75%"
"04/16/2024","3.332","3.284","3.352","3.272","1.52%"
"04/15/2024","3.282","3.210","3.286","3.206","2.95%"
"04/12/2024","3.188","3.242","3.253","3.146","-2.98%"
"04/11/2024","3.286","3.267","3.311","3.229","1.42%"
"04/10/2024","3.240","3.193","3.260","3.147","1.85%"
"04/09/2024","3.181","3.238","3.249","3.174","-2.24%"
"04/08/2024","3.254","3.271","3.280","3.245","0.53%"
"04/05/2024","3.237","3.185","3.247","3.179","1.38%"
"04/04/2024","3.193","3.234","3.243","3.173","-2.24%"
"04/03/2024","3.266","3.249","3.306","3.233","0.09%"
"04/02/2024","3.263","3.221","3.284","3.184","3.46%"
"04/01/2024","3.154","3.154","3.154","3.154","0.03%"
"03/29/2024","3.153","3.153","3.153","3.153","0.00%"
"03/28/2024","3.153","3.147","3.188","3.145","0.77%"
"03/27/2024","3.129","3.160","3.173","3.126","-1.63%"
"03/26/2024","3.181","3.195","3.204","3.162","-0.84%"
"03/25/2024","3.208","3.162","3.218","3.149","1.68%"
"03/22/2024","3.155","3.195","3.201","3.147","-1.56%"
"03/21/2024","3.205","3.235","3.242","3.185","-1.35%"
"03/20/2024","3.249","3.215","3.252","3.206","-0.28%"
"03/19/2024","3.258","3.241","3.260","3.222","0.52%"
"03/18/2024","3.241","3.232","3.262","3.227","0.12%"
"03/16/2024","3.237","3.237","3.237","3.237","-0.03%"
"03/15/2024","3.238","3.262","3.265","3.218","0.40%"
"03/14/2024","3.225","3.165","3.230","3.123","2.25%"
"03/13/2024","3.154","3.112","3.174","3.111","0.54%"
"03/12/2024","3.137","3.117","3.157","3.089","0.32%"
"03/11/2024","3.127","3.060","3.145","3.053","1.49%"
"03/08/2024","3.081","3.095","3.110","3.052","-0.90%"
"03/07/2024","3.109","3.158","3.190","3.062","-1.58%"
"03/06/2024","3.159","3.183","3.206","3.149","-0.60%"
"03/05/2024","3.178","3.236","3.249","3.148","-2.87%"
"03/04/2024","3.272","3.319","3.320","3.262","-1.30%"
"03/01/2024","3.315","3.317","3.364","3.284","1.04%"
"02/29/2024","3.281","3.318","3.395","3.276","-1.91%"
"02/28/2024","3.345","3.356","3.359","3.324","-0.30%"
"02/27/2024","3.355","3.319","3.356","3.303","0.78%"
"02/26/2024","3.329","3.254","3.329","3.252","2.40%"
"02/23/2024","3.251","3.342","3.381","3.248","-2.64%"
"02/22/2024","3.339","3.374","3.420","3.314","-0.71%"
"02/21/2024","3.363","3.304","3.367","3.281","2.50%"
"02/20/2024","3.281","3.303","3.312","3.269","-1.09%"
"02/19/2024","3.317","3.301","3.324","3.282","0.64%"
"02/16/2024","3.296","3.290","3.327","3.281","0.73%"
"02/15/2024","3.272","3.231","3.272","3.211","0.15%"
"02/14/2024","3.267","3.331","3.331","3.262","-2.16%"
"02/13/2024","3.339","3.327","3.375","3.279","0.48%"
"02/12/2024","3.323","3.331","3.335","3.320","-1.42%"
"02/09/2024","3.371","3.366","3.378","3.309","2.71%"
"02/08/2024","3.282","3.242","3.291","3.218","1.20%"
"02/07/2024","3.243","3.199","3.243","3.196","0.81%"
"02/06/2024","3.217","3.212","3.254","3.196","-0.59%"
"02/05/2024","3.236","3.117","3.251","3.082","2.15%"
"02/02/2024","3.168","3.117","3.177","3.082","2.96%"
"02/01/2024","3.077","3.119","3.152","3.061","-0.39%"
"01/31/2024","3.089","3.112","3.156","3.081","-2.80%"
"01/30/2024","3.178","3.104","3.202","3.104","1.47%"
"01/29/2024","3.132","3.166","3.174","3.129","-2.16%"
"01/26/2024","3.201","3.157","3.219","3.148","-0.06%"
"01/25/2024","3.203","3.270","3.295","3.189","-1.96%"
"01/24/2024","3.267","3.245","3.267","3.201","-0.09%"
"01/23/2024","3.270","3.228","3.274","3.218","2.00%"
"01/22/2024","3.206","3.209","3.222","3.185","-1.20%"
"01/19/2024","3.245","3.254","3.269","3.212","-0.76%"
"01/18/2024","3.270","3.242","3.272","3.219","0.65%"
"01/17/2024","3.249","3.231","3.262","3.180","2.40%"
"01/16/2024","3.173","3.156","3.180","3.123","0.57%"
"01/15/2024","3.155","3.132","3.175","3.120","2.07%"
"01/12/2024","3.091","3.118","3.144","3.072","-2.25%"
