"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2024","2,769.50","2,740.50","2,769.50","2,738.50","34.39K","1.00%"
"05/24/2024","2,742.00","2,753.50","2,763.00","2,712.50","50.12K","-0.44%"
"05/23/2024","2,754.00","2,735.00","2,758.50","2,723.00","43.48K","0.66%"
"05/22/2024","2,736.00","2,763.00","2,764.00","2,733.50","38.61K","-0.87%"
"05/21/2024","2,760.00","2,771.00","2,787.00","2,756.00","35.81K","-0.34%"
"05/20/2024","2,769.50","2,745.00","2,786.00","2,737.00","47.28K","0.89%"
"05/17/2024","2,745.00","2,734.00","2,749.50","2,719.50","46.63K","0.35%"
"05/16/2024","2,735.50","2,730.00","2,750.00","2,719.00","52.00K","0.18%"
"05/15/2024","2,730.50","2,725.50","2,759.50","2,724.50","41.27K","0.07%"
"05/14/2024","2,728.50","2,719.00","2,743.50","2,712.00","39.55K","0.33%"
"05/13/2024","2,719.50","2,732.00","2,742.00","2,712.00","44.88K","-0.35%"
"05/10/2024","2,729.00","2,710.50","2,755.50","2,706.50","54.39K","0.72%"
"05/09/2024","2,709.50","2,713.00","2,732.00","2,706.50","42.41K","0.00%"
"05/08/2024","2,709.50","2,748.50","2,752.50","2,705.00","63.35K","-1.47%"
"05/07/2024","2,750.00","2,720.00","2,757.00","2,689.50","74.87K","1.03%"
"05/02/2024","2,722.00","2,727.50","2,744.00","2,707.50","43.34K","-0.22%"
"05/01/2024","2,728.00","2,746.50","2,754.00","2,716.00","48.56K","-0.69%"
"04/30/2024","2,747.00","2,695.50","2,758.00","2,682.50","88.83K","2.14%"
"04/26/2024","2,689.50","2,661.50","2,695.00","2,636.50","51.09K","1.01%"
"04/25/2024","2,662.50","2,709.00","2,709.00","2,659.50","50.02K","-1.75%"
"04/24/2024","2,710.00","2,668.00","2,713.50","2,664.50","52.91K","1.73%"
"04/23/2024","2,664.00","2,660.00","2,689.00","2,651.50","42.53K","0.04%"
"04/22/2024","2,663.00","2,636.50","2,675.50","2,631.00","65.77K","1.41%"
"04/19/2024","2,626.00","2,681.00","2,683.00","2,594.00","94.29K","-1.91%"
"04/18/2024","2,677.00","2,661.00","2,690.50","2,651.50","60.64K","0.85%"
"04/17/2024","2,654.50","2,691.00","2,707.00","2,654.50","78.48K","-1.45%"
"04/16/2024","2,693.50","2,751.50","2,770.00","2,690.50","74.07K","-2.11%"
"04/15/2024","2,751.50","2,760.00","2,760.00","2,717.00","56.73K","-0.24%"
"04/12/2024","2,758.00","2,750.00","2,770.00","2,727.00","46.57K","0.31%"
"04/11/2024","2,749.50","2,741.00","2,753.00","2,712.00","47.00K","0.31%"
