"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","3,447.00","3,452.00","3,455.00","3,447.00","","-0.07%"
"05/27/2024","3,449.50","3,449.00","3,452.50","3,448.00","0.02K","0.13%"
"05/24/2024","3,445.00","3,443.50","3,443.50","3,443.00","0.01K","-0.38%"
"05/23/2024","3,458.00","3,473.00","3,473.50","3,470.50","0.01K","-0.17%"
"05/22/2024","3,464.00","3,448.50","3,458.50","3,447.50","0.01K","0.55%"
"05/21/2024","3,445.00","3,451.00","3,451.00","3,451.00","0.01K","-0.69%"
"05/20/2024","3,469.00","3,458.00","3,465.50","3,454.50","0.01K","0.74%"
"05/17/2024","3,443.50","3,434.00","3,451.50","3,412.00","0.06K","-0.43%"
"05/16/2024","3,458.50","3,486.50","3,486.50","3,460.00","0.02K","-0.57%"
"05/15/2024","3,478.50","3,460.00","3,481.50","3,460.00","0.05K","1.16%"
"05/14/2024","3,438.50","3,416.00","3,470.00","3,416.00","","0.79%"
"05/13/2024","3,411.50","3,424.50","3,424.50","3,416.00","0.01K","-0.37%"
"05/10/2024","3,424.00","3,420.50","3,424.50","3,414.00","0.05K","0.72%"
"05/09/2024","3,399.50","3,374.00","3,396.00","3,374.00","0.01K","0.86%"
"05/08/2024","3,370.50","3,375.50","3,390.00","3,369.00","0.07K","-0.28%"
"05/07/2024","3,380.00","3,317.00","3,379.00","3,317.00","0.06K","1.82%"
"05/06/2024","3,319.50","3,280.50","3,303.50","3,280.50","0.02K","1.00%"
"05/03/2024","3,286.50","3,278.50","3,279.00","3,278.50","0.00K","0.77%"
"05/02/2024","3,261.50","3,286.50","3,286.50","3,261.50","0.03K","-0.99%"
"05/01/2024","3,294.00","3,294.00","3,294.00","3,294.00","","-0.03%"
"04/30/2024","3,295.00","3,321.00","3,321.00","3,294.00","0.03K","-1.17%"
"04/29/2024","3,334.00","3,349.50","3,355.00","3,334.00","0.06K","-0.36%"
"04/26/2024","3,346.00","3,324.50","3,327.00","3,324.50","0.00K","1.66%"
"04/25/2024","3,291.50","3,307.50","3,320.50","3,288.00","0.04K","-0.92%"
