"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","223.00","219.50","223.48","219.38","","2.18%"
"05/24/2024","218.25","215.30","220.20","213.05","15.83K","1.21%"
"05/23/2024","215.65","221.00","221.80","212.05","24.02K","-2.18%"
"05/22/2024","220.45","218.65","221.15","216.65","22.05K","1.50%"
"05/21/2024","217.20","207.00","219.10","206.35","29.46K","3.77%"
"05/20/2024","209.30","205.90","207.95","203.65","19.96K","0.55%"
"05/17/2024","208.15","198.40","207.15","197.90","18.36K","4.31%"
"05/16/2024","199.55","199.40","200.35","196.75","10.99K","-0.84%"
"05/15/2024","201.25","202.30","202.30","202.30","0.00K","-0.79%"
"05/14/2024","202.85","199.25","199.25","199.00","0.00K","1.22%"
"05/13/2024","200.40","200.00","200.00","200.00","0.00K","-1.96%"
"05/10/2024","204.40","201.00","203.60","198.80","20.65K","0.34%"
"05/09/2024","203.70","202.30","205.40","202.30","0.00K","1.72%"
"05/08/2024","200.25","201.65","201.65","200.20","0.01K","0.63%"
"05/07/2024","199.00","196.60","196.60","196.60","0.00K","-0.85%"
"05/06/2024","200.70","203.00","203.00","199.45","0.01K","-0.02%"
"05/03/2024","200.75","205.95","208.45","200.05","27.32K","-2.60%"
"05/02/2024","206.10","216.50","216.80","204.50","30.90K","-4.58%"
"05/01/2024","216.00","214.65","218.00","212.75","24.63K","-0.30%"
"04/30/2024","216.65","227.40","227.90","213.40","30.86K","-7.24%"
"04/29/2024","233.55","234.00","234.00","234.00","0.02K","4.26%"
"04/26/2024","224.00","226.00","226.95","221.35","18.79K","-3.43%"
"04/25/2024","231.95","230.85","231.50","230.85","0.03K","1.53%"
"04/24/2024","228.45","229.25","229.25","226.35","0.07K","1.76%"
"04/23/2024","224.50","226.65","226.65","224.10","0.13K","-1.38%"
"04/22/2024","227.65","231.50","234.50","223.50","24.03K","-1.81%"
"04/19/2024","231.85","233.25","238.90","228.80","26.95K","-3.34%"
"04/18/2024","239.85","252.10","253.70","239.50","5.47K","-3.27%"
"04/17/2024","247.95","237.40","249.30","236.40","8.75K","4.73%"
"04/16/2024","236.75","235.75","239.50","232.85","12.61K","2.25%"
"04/15/2024","231.55","221.65","235.45","219.30","15.67K","3.07%"
"04/12/2024","224.65","220.95","236.20","219.50","31.23K","1.95%"
"04/11/2024","220.35","215.30","221.80","214.10","26.11K","2.66%"
"04/10/2024","214.65","213.85","215.90","211.55","24.66K","0.52%"
"04/09/2024","213.55","209.60","214.75","209.60","40.36K","1.16%"
"04/08/2024","211.10","212.15","216.40","209.45","45.97K","-0.66%"
"04/05/2024","212.50","205.10","214.00","204.20","45.07K","2.78%"
"04/04/2024","206.75","206.30","207.95","202.50","32.10K","1.55%"
"04/03/2024","203.60","196.70","207.15","196.30","40.34K","2.96%"
"04/02/2024","197.75","190.95","198.40","190.75","39.26K","3.10%"
"04/01/2024","191.80","188.00","192.70","187.70","19.15K","1.56%"
"03/28/2024","188.85","191.05","191.20","187.55","21.24K","-0.94%"
"03/27/2024","190.65","188.05","192.50","187.15","32.26K","1.38%"
"03/26/2024","188.05","185.65","189.45","185.30","21.86K","1.29%"
"03/25/2024","185.65","185.15","186.25","183.35","19.00K","0.43%"
"03/22/2024","184.85","186.00","188.20","184.55","21.36K","-0.46%"
"03/21/2024","185.70","183.85","188.40","183.05","23.12K","1.81%"
"03/20/2024","182.40","182.65","184.40","181.65","14.72K","-0.36%"
"03/19/2024","183.05","181.25","183.35","179.35","21.06K","0.66%"
"03/18/2024","181.85","182.75","186.15","181.40","16.94K","-0.55%"
"03/15/2024","182.85","183.95","185.10","182.05","15.28K","-4.44%"
"03/14/2024","191.35","190.00","191.25","189.05","0.02K","-0.16%"
"03/13/2024","191.65","195.70","196.00","192.00","0.04K","-1.92%"
"03/12/2024","195.40","196.70","197.90","195.35","0.01K","0.54%"
"03/11/2024","194.35","193.30","194.90","191.50","0.03K","1.54%"
"03/08/2024","191.40","195.85","195.85","191.00","0.00K","-3.50%"
"03/07/2024","198.35","186.70","194.75","184.75","30.46K","2.01%"
"03/06/2024","194.45","194.80","194.90","190.00","0.04K","-0.28%"
"03/05/2024","195.00","198.75","198.75","195.80","0.03K","-1.22%"
"03/04/2024","197.40","199.20","199.40","199.20","0.02K","1.86%"
"03/01/2024","193.80","193.55","193.55","192.00","0.02K","-1.05%"
"02/29/2024","195.85","181.10","185.70","180.25","19.19K","1.29%"
"02/28/2024","193.35","192.80","193.40","192.05","0.10K","-0.36%"
"02/27/2024","194.05","191.10","192.55","188.55","0.09K","2.08%"
"02/26/2024","190.10","190.80","191.85","190.00","0.05K","-0.47%"
"02/23/2024","191.00","193.90","193.90","190.70","0.14K","-1.47%"
"02/22/2024","193.85","197.45","198.00","193.50","0.14K","-2.27%"
"02/21/2024","198.35","197.60","198.95","195.35","0.40K","3.52%"
"02/20/2024","191.60","192.40","197.95","189.60","10.72K","0.39%"
"02/16/2024","190.85","191.00","191.75","188.15","10.45K","0.82%"
"02/15/2024","189.30","188.80","190.60","187.20","8.21K","1.20%"
"02/14/2024","187.05","192.00","192.00","186.65","10.60K","-3.08%"
"02/13/2024","193.00","195.05","197.10","191.65","10.71K","-1.33%"
"02/12/2024","195.60","195.35","198.65","192.05","14.81K","-0.36%"
"02/09/2024","196.30","190.25","197.00","190.05","36.01K","3.97%"
"02/08/2024","188.80","190.45","190.50","188.35","38.55K","-1.00%"
"02/07/2024","190.70","189.40","191.80","188.70","36.79K","1.33%"
"02/06/2024","188.20","188.85","189.20","186.00","24.11K","-0.69%"
"02/05/2024","189.50","190.75","192.30","188.50","19.51K","-1.28%"
"02/02/2024","191.95","194.20","195.05","190.50","21.29K","-1.16%"
"02/01/2024","194.20","193.40","195.30","191.15","25.79K","0.08%"
"01/31/2024","194.05","194.00","195.55","192.05","19.76K","0.03%"
"01/30/2024","194.00","190.10","197.45","189.05","24.47K","2.51%"
"01/29/2024","189.25","192.85","194.35","188.65","18.40K","-2.37%"
"01/26/2024","193.85","187.20","194.80","186.00","20.94K","3.69%"
"01/25/2024","186.95","189.95","190.50","184.35","22.14K","-1.32%"
"01/24/2024","189.45","193.80","195.75","188.10","24.25K","-1.81%"
"01/23/2024","192.95","192.25","194.50","188.60","22.04K","0.36%"
"01/22/2024","192.25","184.45","193.15","183.50","24.81K","3.83%"
