"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","156.65","156.84","157.00","156.59","","-0.14%"
"05/27/2024","156.86","157.04","157.04","156.66","","-0.08%"
"05/24/2024","156.99","156.93","157.16","156.82","","0.04%"
"05/23/2024","156.93","156.79","157.20","156.53","","0.10%"
"05/22/2024","156.77","156.16","156.85","156.11","","0.40%"
"05/21/2024","156.15","156.26","156.56","155.84","","-0.06%"
"05/20/2024","156.24","155.60","156.32","155.49","","0.38%"
"05/17/2024","155.65","155.40","156.01","155.24","","0.17%"
"05/16/2024","155.38","154.88","155.54","153.59","","0.33%"
"05/15/2024","154.87","156.43","156.57","154.69","","-0.99%"
"05/14/2024","156.42","156.18","156.77","156.15","","0.14%"
"05/13/2024","156.20","155.74","156.30","155.55","","0.31%"
"05/10/2024","155.72","155.47","155.92","155.26","","0.17%"
"05/09/2024","155.46","155.49","155.97","155.16","","-0.01%"
"05/08/2024","155.48","154.70","155.68","154.56","","0.46%"
"05/07/2024","154.77","154.24","154.85","153.88","","0.34%"
"05/06/2024","154.26","153.66","154.29","153.32","","0.83%"
"05/03/2024","152.98","153.65","153.80","151.86","","-0.42%"
"05/02/2024","153.63","154.93","156.29","153.05","","-0.54%"
"05/01/2024","154.47","157.81","158.04","153.18","","-2.11%"
"04/30/2024","157.80","156.35","157.85","156.07","","0.94%"
"04/29/2024","156.33","157.82","160.04","154.52","","-1.26%"
"04/26/2024","158.33","155.62","158.45","154.98","","1.72%"
"04/25/2024","155.65","155.32","155.76","155.20","","0.20%"
"04/24/2024","155.34","154.83","155.38","154.73","","0.34%"
"04/23/2024","154.82","154.85","154.88","154.55","","-0.01%"
"04/22/2024","154.84","154.63","154.88","154.46","","0.14%"
"04/19/2024","154.63","154.65","154.68","153.58","","0.00%"
"04/18/2024","154.63","154.38","154.71","153.96","","0.16%"
"04/17/2024","154.38","154.71","154.76","154.16","","-0.21%"
"04/16/2024","154.71","154.27","154.80","153.90","","0.29%"
"04/15/2024","154.27","153.09","154.46","152.99","","0.65%"
"04/12/2024","153.28","153.27","153.40","152.59","","0.01%"
"04/11/2024","153.27","153.16","153.33","152.76","","0.07%"
"04/10/2024","153.17","151.74","153.24","151.68","","0.92%"
