"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","2,517.50","2,547.50","2,552.50","2,517.50","","-0.89%"
"05/27/2024","2,540.00","2,548.00","2,558.00","2,533.00","14.41K","-0.12%"
"05/24/2024","2,543.00","2,532.00","2,543.00","2,520.00","20.98K","-0.47%"
"05/23/2024","2,555.00","2,568.00","2,578.00","2,541.00","26.90K","-0.23%"
"05/22/2024","2,561.00","2,578.00","2,581.00","2,550.00","18.94K","-0.81%"
"05/21/2024","2,582.00","2,595.00","2,597.00","2,566.00","23.79K","-0.77%"
"05/20/2024","2,602.00","2,586.00","2,613.00","2,586.00","22.58K","0.81%"
"05/17/2024","2,581.00","2,571.00","2,589.00","2,548.00","26.32K","0.12%"
"05/16/2024","2,578.00","2,578.00","2,592.00","2,563.00","22.42K","0.31%"
"05/15/2024","2,570.00","2,567.00","2,572.00","2,546.00","23.32K","0.31%"
"05/14/2024","2,562.00","2,554.00","2,568.00","2,526.00","28.47K","0.27%"
"05/13/2024","2,555.00","2,531.00","2,555.00","2,522.00","21.01K","1.35%"
"05/10/2024","2,521.00","2,576.00","2,583.00","2,520.00","33.53K","-1.87%"
"05/09/2024","2,569.00","2,546.00","2,580.00","2,546.00","23.28K","0.78%"
"05/08/2024","2,549.00","2,538.00","2,551.00","2,528.00","19.92K","0.24%"
"05/07/2024","2,543.00","2,555.00","2,572.00","2,532.00","29.12K","-0.35%"
"05/06/2024","2,552.00","2,498.00","2,561.00","2,482.00","39.43K","2.90%"
"05/02/2024","2,480.00","2,470.00","2,499.00","2,465.00","23.86K","0.32%"
"04/30/2024","2,472.00","2,519.00","2,519.00","2,472.00","27.96K","-1.87%"
"04/29/2024","2,519.00","2,500.00","2,519.00","2,464.00","25.76K","1.16%"
"04/26/2024","2,490.00","2,475.00","2,495.00","2,470.00","27.85K","1.34%"
"04/25/2024","2,457.00","2,470.00","2,483.00","2,436.00","29.60K","-0.89%"
"04/24/2024","2,479.00","2,513.00","2,516.00","2,471.00","25.75K","-0.64%"
"04/23/2024","2,495.00","2,498.00","2,529.00","2,483.00","33.91K","-0.08%"
"04/22/2024","2,497.00","2,455.00","2,499.00","2,455.00","26.83K","2.17%"
"04/19/2024","2,444.00","2,421.00","2,448.00","2,415.00","29.16K","0.08%"
"04/18/2024","2,442.00","2,426.00","2,446.00","2,398.00","38.44K","1.08%"
"04/17/2024","2,416.00","2,371.00","2,429.00","2,368.00","38.37K","1.56%"
"04/16/2024","2,379.00","2,412.00","2,415.00","2,366.00","45.26K","-2.42%"
"04/15/2024","2,438.00","2,449.00","2,462.00","2,430.00","28.85K","0.37%"
"04/12/2024","2,429.00","2,475.00","2,489.00","2,428.00","31.92K","-1.26%"
"04/11/2024","2,460.00","2,484.00","2,496.00","2,456.00","29.72K","-1.05%"
"04/10/2024","2,486.00","2,477.00","2,505.00","2,466.00","36.71K","1.06%"
"04/09/2024","2,460.00","2,505.00","2,522.00","2,454.00","34.10K","-1.60%"
"04/08/2024","2,500.00","2,471.00","2,507.00","2,468.00","25.50K","1.50%"
"04/05/2024","2,463.00","2,440.00","2,463.00","2,427.00","31.43K","0.00%"
"04/04/2024","2,463.00","2,427.00","2,465.00","2,423.00","22.82K","1.65%"
"04/03/2024","2,423.00","2,423.00","2,446.00","2,408.00","31.11K","0.00%"
"04/02/2024","2,423.00","2,436.00","2,468.00","2,419.00","30.71K","-0.29%"
"03/28/2024","2,430.00","2,389.00","2,435.00","2,385.00","23.21K","1.72%"
"03/27/2024","2,389.00","2,388.00","2,395.00","2,375.00","17.74K","0.04%"
"03/26/2024","2,388.00","2,341.00","2,396.00","2,331.00","35.14K","2.09%"
"03/25/2024","2,339.00","2,365.00","2,377.00","2,337.00","24.69K","-1.47%"
"03/22/2024","2,374.00","2,397.00","2,415.00","2,368.00","31.60K","-1.29%"
"03/21/2024","2,405.00","2,365.00","2,407.00","2,362.00","39.37K","2.91%"
"03/20/2024","2,337.00","2,340.00","2,352.00","2,310.00","34.10K","-0.13%"
"03/19/2024","2,340.00","2,343.00","2,361.00","2,298.00","39.55K","-0.43%"
"03/18/2024","2,350.00","2,374.00","2,389.00","2,336.00","36.96K","0.34%"
"03/15/2024","2,342.00","2,405.00","2,407.00","2,327.00","16.39K","-2.86%"
"03/14/2024","2,411.00","2,412.00","2,428.00","2,400.00","1.50K","0.00%"
"03/13/2024","2,411.00","2,426.00","2,439.00","2,399.00","53.56K","-0.82%"
"03/12/2024","2,431.00","2,384.00","2,431.00","2,366.00","6.88K","2.36%"
"03/11/2024","2,375.00","2,347.00","2,375.00","2,341.00","58.11K","0.81%"
"03/08/2024","2,356.00","2,338.00","2,360.00","2,315.00","4.90K","0.81%"
"03/07/2024","2,337.00","2,353.00","2,357.00","2,322.00","39.08K","-1.39%"
"03/06/2024","2,370.00","2,361.00","2,386.00","2,361.00","34.31K","0.42%"
"03/05/2024","2,360.00","2,389.00","2,394.00","2,360.00","40.66K","-1.67%"
"03/04/2024","2,400.00","2,442.00","2,448.00","2,398.00","30.94K","-1.23%"
"03/01/2024","2,430.00","2,433.00","2,449.00","2,409.00","36.31K","0.41%"
"02/29/2024","2,420.00","2,423.00","2,453.00","2,420.00","31.23K","-0.08%"
"02/28/2024","2,422.00","2,464.00","2,466.00","2,416.00","33.26K","-1.86%"
"02/27/2024","2,468.00","2,475.00","2,502.00","2,458.00","32.02K","-0.28%"
"02/26/2024","2,475.00","2,490.00","2,495.00","2,473.00","25.16K","-0.68%"
"02/23/2024","2,492.00","2,470.00","2,506.00","2,462.00","41.53K","1.14%"
"02/22/2024","2,464.00","2,450.00","2,466.00","2,443.00","32.40K","1.82%"
"02/21/2024","2,420.00","2,448.00","2,458.00","2,419.00","35.98K","-0.90%"
"02/20/2024","2,442.00","2,391.00","2,443.00","2,391.00","39.15K","1.83%"
"02/19/2024","2,398.00","2,380.00","2,408.00","2,379.00","16.31K","0.59%"
"02/16/2024","2,384.00","2,372.00","2,404.00","2,370.00","23.39K","0.76%"
"02/15/2024","2,366.00","2,363.00","2,375.00","2,342.00","27.31K","0.42%"
"02/14/2024","2,356.00","2,307.00","2,360.00","2,307.00","25.57K","1.73%"
"02/13/2024","2,316.00","2,362.00","2,366.00","2,301.00","31.13K","-2.07%"
"02/12/2024","2,365.00","2,328.00","2,372.00","2,316.00","25.65K","1.72%"
"02/09/2024","2,325.00","2,331.00","2,339.00","2,317.00","23.07K","-0.34%"
"02/08/2024","2,333.00","2,371.00","2,372.00","2,326.00","31.78K","-1.31%"
